연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2018/01","NAVER","035420","STK","910000","950000","871000","2.008792","-0.436008","0.376671","0.672382","0.000016778","116174.2126","0","2360347","107289","2146161950697","97552815941"
"2018/02","NAVER","035420","STK","803000","923000","800000","1.824166","0.079104","0.326445","1.018778","0.000016059","265172.9159","5.555556","2268562","126031","1875374850838","104187491713"
"2018/03","NAVER","035420","STK","792000","820000","779000","1.367776","-0.758265","0.344709","0.93287","0.000015239","141063.3231","4.761905","1837221","87487","1460833542534","69563502025"
"2018/04","NAVER","035420","STK","716000","785000","716000","1.640644","0.8111","0.350226","0.997397","0.000016555","105354.6658","9.52381","2124097","101147","1588874717768","75660700846"
"2018/05","NAVER","035420","STK","669000","738000","652000","1.441081","0.911352","0.36599","0.60648","0.000017441","102709.836","5","1919350","95968","1340880978810","67044048941"
"2018/06","NAVER","035420","STK","763000","763000","673000","1.684982","-0.543819","0.40913","0.689546","0.000015589","148302.244","0","2411664","126930","1715662878070","90298046214"
"2018/07","NAVER","035420","STK","716000","782000","716000","1.549056","0.106955","0.413256","-0.165511","0.00001792","125567.2861","9.090909","2015945","91634","1520805933303","69127542423"
"2018/08","NAVER","035420","STK","752000","779000","728000","1.516857","0.656134","0.406246","0.717905","0.000021372","72017.5166","13.636364","1519656","69075","1140961539264","51861888148"
"2018/09","NAVER","035420","STK","716000","755000","713000","0.915226","0.745695","-0.137719","0.301361","0.00001297","136825.4384","5.882353","1159506","68206","844512419027","49677201119"
"2018/10","NAVER","035420","STK","114500","713000","109500","2.624415","-0.763637","-0.764515","0.753876","0.000020726","366925.8441","14.285714","17025596","945866","2281930061166","126773892287"
"2018/11","NAVER","035420","STK","126500","130500","106500","2.971594","1.309016","-0.726492","1.661042","0.00003116","317170.6561","9.090909","13151670","597803","1535663741444","69802897338"
"2018/12","NAVER","035420","STK","122000","127500","119000","2.347768","-0.094","-0.729236","1.14491","0.000036753","472687.4212","5.263158","8068362","424651","991901621250","52205348487"
"2019/01","NAVER","035420","STK","136000","137500","118000","2.543504","-0.553478","-0.731818","1.459512","0.000038884","187694.4314","18.181818","9422160","428280","1236883188205","56221963100"
"2019/02","NAVER","035420","STK","133000","133500","123500","1.980312","0.220646","-0.77545","-0.159938","0.000023806","477907.2947","5.882353","8896771","523339","1140226264193","67072133188"
"2019/03","NAVER","035420","STK","124000","138500","122000","1.726395","0.888544","-0.770932","0.610928","0.000027599","505522.5581","5","7973932","398697","1038758857200","51937942860"
"2019/04","NAVER","035420","STK","119500","124500","118000","1.029057","0.59085","-0.781238","0.395087","0.000009563","625356.9252","31.818182","13118460","596294","1581658996816","71893590764"
"2019/05","NAVER","035420","STK","111500","124000","108500","1.838001","-0.649216","-0.737528","0.48509","0.000023801","404390.5682","14.285714","11584207","551629","1356388576854","64589932231"
"2019/06","NAVER","035420","STK","114000","115500","109000","1.550492","0.655144","-0.731351","1.478147","0.000025584","482722.7819","0","8389144","441534","940077719750","49477774724"
"2019/07","NAVER","035420","STK","138000","141000","114500","2.357796","4.410686","-0.545691","0.67696","0.000026318","323860.9652","13.043478","10514757","457163","1327189963000","57703911435"
"2019/08","NAVER","035420","STK","146500","148500","137500","1.866708","0.617372","-0.529521","0.878986","0.00002236","538239.9324","4.761905","9862835","469659","1405608472359","66933736779"
"2019/09","NAVER","035420","STK","157000","159000","147000","1.41221","-0.149246","-0.5261","0.26166","0.000019326","402956.5442","15.789474","6833096","359637","1050685403869","55299231783"
"2019/10","NAVER","035420","STK","164000","164000","150500","2.262799","1.291306","-0.551457","1.250732","0.000031823","233786.6396","9.52381","7253683","345413","1128065193500","53717390167"
"2019/11","NAVER","035420","STK","172000","180000","158000","3.708885","9.22001","-0.560743","0.982378","0.000017888","520751.5367","4.761905","12493696","594938","2121743911000","101035424333"
"2019/12","NAVER","035420","STK","186500","186500","170500","1.258192","-0.31674","-0.59249","0.332906","0.000020108","445604.8455","5","6038326","301916","1074703288358","53735164418"
"2020/01","NAVER","035420","STK","179500","191500","178500","1.690482","-0.16126","-0.576038","0.972158","0.000016554","412980.8737","15","8845190","442260","1630630669354","81531533468"
