연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2018/01","넷마블","251270","STK","174000","188500","161500","2.466504","1.064554",,"0.77056","0.000036969","196270.2605","9.090909","6353752","288807","1076156730827","48916215038"
"2018/02","넷마블","251270","STK","147500","173500","136000","3.74011","-0.844338",,"2.627871","0.000068134","135920.3567","5.555556","6259253","347736","932704873711","51816937428"
"2018/03","넷마블","251270","STK","153000","153000","142000","2.242459","0.227448",,"1.253848","0.000050678","183744.0811","4.761905","4924099","234481","730688884757","34794708798"
"2018/04","넷마블","251270","STK","147500","159000","127500","3.092817","2.284131",,"2.307729","0.000035226","207852.2846","14.285714","7739274","368537","1090270335750","51917635036"
"2018/05","넷마블","251270","STK","157000","158000","134500","2.285419","0.471144",,"1.329748","0.00004481","336865.7801","5","6078141","303907","895422262000","44771113100"
"2018/06","넷마블","251270","STK","152500","158000","148000","1.749213","-0.489288",,"0.189217","0.000042487","150839.0961","15.789474","4070226","214222","622819628500","32779980447"
"2018/07","넷마블","251270","STK","144500","166500","141000","2.513312","-0.405781",,"0.355743","0.000068977","147379.1592","4.545455","4097638","186256","627890686542","28540485752"
"2018/08","넷마블","251270","STK","116500","145500","116000","3.401527","3.328439",,"1.84765","0.00006232","161165.7687","0","6732545","306025","830245052500","37738411477"
"2018/09","넷마블","251270","STK","115000","119000","111000","2.080682","0.378634",,"1.585232","0.000053717","201445.9553","5.882353","4677280","275134","540371836000","31786578588"
"2018/10","넷마블","251270","STK","112000","126000","91800","5.14733","3.894128",,"0.972235","0.000061913","188050.4581","9.52381","9412424","448211","1062546476448","50597451259"
"2018/11","넷마블","251270","STK","130500","132500","109500","2.077685","-0.034455",,"0.847099","0.000061942","182165.0402","0","5248501","238568","639484233500","29067465159"
"2018/12","넷마블","251270","STK","111500","127000","103500","3.999216","2.235672",,"2.294315","0.000070405","175310.7114","0","8001012","421106","891161111000","46903216368"
"2019/01","넷마블","251270","STK","107000","115500","103500","2.388734","-0.704091",,"1.495908","0.000088745","124520.6323","4.545455","4714865","214312","515079885500","23412722068"
"2019/02","넷마블","251270","STK","118000","124000","109500","3.032367","2.076892",,"0.217821","0.000054817","190710.4854","23.529412","5786653","340391","686549961500","40385291853"
"2019/03","넷마블","251270","STK","125000","125000","112000","1.956879","1.316633",,"0.68747","0.00006263","147426.4435","15","3366147","168307","397880723000","19894036150"
"2019/04","넷마블","251270","STK","127500","136000","120500","2.052105","0.345315",,"1.109634","0.000064756","170855.8459","0","4004437","182020","517841300000","23538240909"
"2019/05","넷마블","251270","STK","114500","131000","109500","2.661897","0.463565",,"0.756702","0.000077042","157381.4564","4.761905","4940370","235256","590032727000","28096796524"
"2019/06","넷마블","251270","STK","113000","129500","113000","3.111802","1.139287",,"1.712781","0.000045443","263179.8823","10.526316","6728263","354119","827501903520","43552731764"
"2019/07","넷마블","251270","STK","90800","101500","89500","3.109293","4.663638",,"0.166257","0.000041074","688309.8191","4.347826","10489219","456053","1008513192400","43848399670"
"2019/08","넷마블","251270","STK","94200","94800","84600","2.664737","2.948767",,"1.290917","0.000070099","342551.9084","0","4786611","227934","430314775200","20491179771"
"2019/09","넷마블","251270","STK","94500","99000","94100","1.568767","-0.342329",,"1.292972","0.000089217","254347.344","10.526316","2603112","137006","251332729700","13228038405"
"2019/10","넷마블","251270","STK","89900","96600","86400","2.589922","0.068994",,"1.156762","0.000085752","285549.3694","0","6093973","290189","554264734850","26393558802"
"2019/11","넷마블","251270","STK","88000","94100","87000","1.857706","-0.005106",,"1.243315","0.000083754","264962.886","9.52381","3955194","188343","357709812200","17033800581"
"2019/12","넷마블","251270","STK","92400","92400","86500","1.336873","-0.26711",,"0.508974","0.000094936","261860.6919","5","2652086","132604","237658411600","11882920580"
"2020/01","넷마블","251270","STK","89600","98900","87300","2.642832","2.735883",,"1.335115","0.000091712","185274.3146","0","4691713","234586","437178326000","21858916300"
"2020/02","넷마블","251270","STK","88600","97700","88600","1.926044","1.037203",,"0.824156","0.000063816","247564.577","0","4945067","247253","460714645300","23035732265"
"2020/03","넷마블","251270","STK","93200","96300","87000","3.062895","0.01523",,"0.308755","0.000062882","421400.9719","0","9484465","431112","869630681500","39528667341"
"2020/04","넷마블","251270","STK","95500","97300","90900","1.616524","-0.693879",,"0.359497","0.000036656","595293.9799","5","8207035","410352","781364324750","39068216238"
"2020/05","넷마블","251270","STK","92300","105500","92300","3.189803","2.258198",,"1.01246","0.000050261","373702.3742","0","8697616","457769","849384690500","44704457395"
"2020/06","넷마블","251270","STK","100500","101500","92600","2.616014","0.225731",,"0.877351","0.000048735","577136.3997","4.545455","8836975","401681","864802367000","39309198500"
"2020/07","넷마블","251270","STK","128000","135000","97100","3.699477","0.920625",,"1.228658","0.000032658","410894.2745","0","16187640","703810","1977563472200","85981020530"
"2020/08","넷마블","251270","STK","166500","166500","127500","3.303191","0.77816",,"0.408592","0.000026502","412524.9214","10","13024914","651246","1955856563000","97792828150"
"2020/09","넷마블","251270","STK","166000","197500","162500","3.73162","5.551503",,"1.351542","0.00001424","685764.4926","0","22440198","1068581","4123605258500","196362155167"
"2020/10","넷마블","251270","STK","117000","163500","117000","2.87582","2.38113",,"1.552092","0.000033227","552645.8527","0","11921186","627431","1695656730500","89245091079"
"2020/11","넷마블","251270","STK","125000","131000","121000","1.874867","-0.592703",,"1.004751","0.000032741","328988.3102","4.761905","7532152","358674","956444825500","45544991690"
"2020/12","넷마블","251270","STK","131500","132000","122500","1.557391","1.823737",,"0.865931","0.00002528","275320.1193","19.047619","6623410","315400","846820597500","40324790357"
"2021/01","넷마블","251270","STK","131500","135000","120500","2.519554","-0.228916",,"0.523115","0.000021913","349350.9501","15","12796526","639826","1650650011000","82532500550"
"2021/02","넷마블","251270","STK","123500","145500","123500","3.044171","0.153412",,"1.541773","0.00004238","312142.6051","0","8851993","491777","1208289699000","67127205500"
"2021/03","넷마블","251270","STK","129000","129000","118500","1.558203","-1.62364",,"0.86102","0.000059067","133346.3716","9.090909","4401218","200055","543149025000","24688592045"
"2021/04","넷마블","251270","STK","129500","147500","125500","2.517131","0.416534",,"0.844139","0.00003984","298798.2759","0","8395825","381628","1160644603500","52756572886"
"2021/05","넷마블","251270","STK","139500","139500","125500","1.725477","-0.980773",,"0.744384","0.000048407","262950.6724","0","4802829","252780","634130711500","33375300605"
"2021/06","넷마블","251270","STK","134000","144500","130500","1.917025","1.65119",,"-0.814649","0.000027539","202342.2449","22.727273","8179329","371788","1122760870000","51034585000"
"2021/07","넷마블","251270","STK","138500","143000","133500","1.868945","-0.451239",,"1.022324","0.000033117","281530.8179","0","7579148","344507","1056140067000","48006366682"
"2021/08","넷마블","251270","STK","129000","137000","125000","2.716978","0.245064",,"1.77722","0.000054367","217426.0063","0","7006040","333621","927966610500","44188886214"
"2021/09","넷마블","251270","STK","118000","127500","114500","1.296722","2.463484",,"1.258134","0.00005207","86144.1554","31.578947","2985255","157119","363700494000","19142131263"
"2021/10","넷마블","251270","STK","123500","129000","114000","2.349077","0.731408",,"1.011868","0.000073884","132104.9108","10.526316","3456934","181944","424943701000","22365457947"
"2021/11","넷마블","251270","STK","117000","135000","117000","2.357552","0.780923",,"0.033776","0.000045425","244919.7888","4.545455","8050088","365913","1042151052500","47370502386"
"2021/12","넷마블","251270","STK","125000","125000","118000","1.731176","1.259318",,"-0.141969","0.00005554","169802.4291","9.090909","4230305","192287","508792432000","23126928727"
"2022/01","넷마블","251270","STK","109500","127500","105500","3.554299","3.080129",,"1.584411","0.000086107","141643.5743","5","5621704","281085","650592195500","32529609775"
"2022/02","넷마블","251270","STK","102500","103500","98600","2.701881","4.869534",,"0.437478","0.000059165","151549.9228","22.222222","4739993","263333","481549207900","26752733772"
"2022/03","넷마블","251270","STK","111500","112000","100000","1.748075","-0.523908",,"0.631882","0.000071251","138999.3518","9.52381","3536458","168403","380243817100","18106848433"
"2022/04","넷마블","251270","STK","95600","111500","94200","2.047589","-0.479547","-0.004837","1.773805","0.000105475","120163.7782","9.52381","2882487","137261","294357612500","14017029167"
"2022/05","넷마블","251270","STK","83500","93100","72300","3.846529","6.598695","0.053544","-0.444082","0.00009012","237453.8731","9.52381","5685811","270753","457840526900","21801929852"
"2022/06","넷마블","251270","STK","68900","82300","68900","2.574968","0.282668","-0.028641","1.44328","0.000169304","214803.5821","0","3583783","179189","265671897900","13283594895"
"2022/07","넷마블","251270","STK","72100","72100","67200","1.623372","-0.637089","-0.055897","0.690409","0.000122225","195122.4877","0","3457406","164638","240607124600","11457482124"
"2022/08","넷마블","251270","STK","63500","73500","61800","2.55158","-0.562921","-0.035894","1.816715","0.000129483","231292.5638","0","5133444","233338","349632783200","15892399236"
"2022/09","넷마블","251270","STK","51300","62500","51300","2.197764","0.792237","-0.112454","1.02127","0.000188249","160753.8132","0","3864038","193202","224791767900","11239588395"
"2022/10","넷마블","251270","STK","44600","53600","41950","4.05312","-0.228629","-0.086361","1.914838","0.000284248","105684.9527","5.263158","4301201","226379","197079282200","10372593800"
"2022/11","넷마블","251270","STK","48950","53400","45000","3.716178","-0.597083","-0.082109","1.1881","0.000217105","209938.289","0","6886293","313013","341772691450","15535122339"
"2022/12","넷마블","251270","STK","50300","54300","47450","4.748583","-0.645728",,"0.071482","0.000222401","89463.0837","8.333333","4323261","360272","220186417300","18348868108"
