연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","한국항공우주","047810","STK","47450","50400","46100","1.866371","1.706872","0.128071","0.786124","0.000048208","658469.4611","0","13103845","689676","625018753080","32895723846"
"2018/01","한국항공우주","047810","STK","52600","55400","47250","2.281154","1.61167","0.111847","0.36972","0.000042626","850758.8665","0","16427814","746719","848146303209","38552104691"
"2018/02","한국항공우주","047810","STK","50300","51700","45400","2.349706","0.177523","0.099005","1.4855","0.00006648","678692.5239","0","10865041","603613","532438632950","29579924053"
"2018/03","한국항공우주","047810","STK","49950","52600","47450","2.523808","1.53852","0.112395","1.066757","0.000064522","540421.4597","4.761905","11191754","532941","562015872050","26762660574"
"2018/04","한국항공우주","047810","STK","43200","49100","43200","1.539531","0.410848","0.121478","0.455128","0.000048561","910513.1228","0","10906007","519334","505570863480","24074803023"
"2018/05","한국항공우주","047810","STK","44000","45450","41350","2.898808","-0.130116","0.126663","-1.024137","0.000069957","481524.0142","0","14391468","719573","634095675650","31704783783"
"2018/06","한국항공우주","047810","STK","41200","47700","40300","2.910511","1.563464","0.112723","0.583727","0.000069201","357244.8422","5.263158","13323151","701218","587712606799","30932242463"
"2018/07","한국항공우주","047810","STK","35150","43250","32200","3.403393","1.045993","0.110877","0.776258","0.000053515","1111631.7799","0","33325037","1514774","1242718646120","56487211187"
"2018/08","한국항공우주","047810","STK","41750","41750","34500","1.750763","-0.147588","0.07795","0.085352","0.000069584","730569.6199","0","13286889","603950","513028463250","23319475602"
"2018/09","한국항공우주","047810","STK","35100","50000","35100","7.89026","13.444775","0.196333","4.419141","0.000045782","793774.1024","5.882353","27492350","1617197","1134335415800","66725612694"
"2018/10","한국항공우주","047810","STK","28950","33500","28900","2.16625","-0.162712","-0.292918","1.063447","0.000043679","1436907.3455","9.52381","32011091","1524338","1036453918500","49354948500"
"2018/11","한국항공우주","047810","STK","31700","33050","29300","2.737656","1.088314","-0.288263","1.084784","0.000077699","773704.9804","0","17977724","817169","570219443050","25919065593"
"2018/12","한국항공우주","047810","STK","31900","32400","30750","1.596065","0.461898","-0.291553","1.19805","0.000092761","410207.5109","5.263158","7993129","420691","254116673950","13374561787"
"2019/01","한국항공우주","047810","STK","34100","34750","32500","1.341876","-0.557081","-0.289848","-0.204762","0.000063072","686358.9054","0","12234828","556129","412679965150","18758180234"
"2019/02","한국항공우주","047810","STK","36800","37650","33150","1.990511","1.239679","-0.293416","1.129383","0.000064511","881810.5521","0","11083248","651956","393257287350","23132781609"
"2019/03","한국항공우주","047810","STK","35350","38000","34800","1.821867","0.108227","-0.276713","1.123248","0.000082585","894112.8302","5","8712803","435640","319659316950","15982965848"
"2019/04","한국항공우주","047810","STK","35000","37100","34700","1.166662","-0.544685","-0.288282","0.999727","0.000094842","436729.0108","9.090909","5450757","247762","196178307800","8917195809"
"2019/05","한국항공우주","047810","STK","33150","35350","30600","2.220665","3.716129","-0.266608","1.309644","0.000116009","363252.0981","9.52381","8003997","381143","257298346100","12252302195"
"2019/06","한국항공우주","047810","STK","35950","36500","33200","1.056112","0.467865","-0.281887","0.083553","0.000087554","602758.1882","5.263158","5140553","270555","181310902000","9542679053"
"2019/07","한국항공우주","047810","STK","36950","36950","33400","2.030585","-0.296106","-0.232595","1.365103","0.000146072","352385.9888","0","7620521","331327","270453736900","11758858126"
"2019/08","한국항공우주","047810","STK","39300","39300","35500","1.724285","2.225727","-0.205968","0.721616","0.000048782","644863.8673","19.047619","11254739","535940","424385750400","20208845257"
"2019/09","한국항공우주","047810","STK","39100","41750","38400","1.866561","3.244193","-0.19387","0.689192","0.000057551","652289.1016","5.263158","9085078","478162","366499545250","19289449750"
"2019/10","한국항공우주","047810","STK","38000","39100","36900","1.521784","-0.525306","-0.213045","0.962443","0.000113259","444872.0352","0","5941598","282933","225882502650","10756309650"
"2019/11","한국항공우주","047810","STK","37300","38950","37200","1.140217","0.086349","-0.21572","0.638474","0.000117551","312511.3479","4.761905","4651006","221476","177212392950","8438685379"
"2019/12","한국항공우주","047810","STK","34050","36700","33700","0.90846","-0.166337","-0.228349","0.244431","0.000073717","607990.9463","10","5831437","291572","202987342050","10149367103"
"2020/01","한국항공우주","047810","STK","30100","33950","30100","1.50755","0.873268","-0.248628","0.906702","0.000097051","592373.4194","0","6765856","338293","220645889300","11032294465"
"2020/02","한국항공우주","047810","STK","25650","31400","25650","2.212219","0.913003","-0.241909","1.262489","0.00013672","271806.0481","10","7797859","389893","225773004300","11288650215"
