연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","한국가스공사","036460","STK","42550","44600","41500","1.854289","0.134635","0.208539","1.279295","0.000200445","242237.4075","0","3427135","180376","146343211100","7702274268"
"2018/01","한국가스공사","036460","STK","49350","51600","43300","2.366055","1.432099","0.175687","0.07318","0.000111639","260707.697","4.545455","7184360","326562","343573221550","15616964616"
"2018/02","한국가스공사","036460","STK","45900","50000","44350","2.083862","4.797637","0.169007","0.851006","0.00017327","230359.0861","0","3297226","183179","155114688300","8617482683"
"2018/03","한국가스공사","036460","STK","48450","49450","46200","2.500442","0.415965","0.161291","0.160663","0.000183872","234796.4375","0","4092514","194882","197035848050","9382659431"
"2018/04","한국가스공사","036460","STK","54800","54800","48300","2.050418","0.118995","0.148431","-0.03131","0.000142216","209267.6762","0","5027950","239426","258567083500","12312718262"
"2018/05","한국가스공사","036460","STK","60300","62000","53700","3.241927","0.620419","0.091444","1.312031","0.000088666","504092.5595","0","8703026","435151","512843987100","25642199355"
"2018/06","한국가스공사","036460","STK","64200","64500","60400","3.10502","-0.991852","0.125051","2.169981","0.000116227","284272.4495","0","6756270","355593","424696812217","22352463801"
"2018/07","한국가스공사","036460","STK","58300","61300","57000","2.506208","0.814413","0.164693","2.079331","0.00012819","266649.6265","0","4930180","224099","289565834100","13162083368"
"2018/08","한국가스공사","036460","STK","52600","59100","52600","1.680607","1.933553","0.187328","0.198418","0.000107096","368500.447","4.545455","4759365","216335","259676301614","11803468255"
"2018/09","한국가스공사","036460","STK","60700","61200","52300","1.952894","-0.781229","0.057042","1.447849","0.00011921","253420.3348","0","3936203","231541","224500511000","13205912412"
"2018/10","한국가스공사","036460","STK","52100","62400","51000","2.284947","-0.249577","-0.420054","0.697114","0.000145653","180331.7653","9.52381","4624970","220237","263226546850","12534597469"
"2018/11","한국가스공사","036460","STK","51000","53600","48650","2.101278","1.636799","-0.439048","0.30529","0.000130974","286528.3683","4.545455","4880421","221837","246197939800","11190815445"
"2018/12","한국가스공사","036460","STK","48200","53000","46900","2.340205","0.209304","-0.437443","0.593599","0.000166297","178162.1702","5.263158","3956807","208253","198953619150","10471243113"
"2019/01","한국가스공사","036460","STK","54100","54300","46350","1.820991","1.175007","-0.431219","0.918806","0.000145446","255377.2591","9.090909","3864755","175671","198804061300","9036548241"
"2019/02","한국가스공사","036460","STK","50100","54700","50100","1.36759","6.069764","-0.41703","1.003512","0.000099775","227696.375","11.764706","2436071","143298","129863675603","7639039741"
"2019/03","한국가스공사","036460","STK","45100","51100","44950","1.276202","-1.086188","-0.418617","0.477547","0.000123433","271913.8446","5","3769299","188465","182318379300","9115918965"
"2019/04","한국가스공사","036460","STK","46150","48950","45800","2.105798","0.339271","-0.431094","1.283825","0.000098581","333248.9787","4.545455","6534201","297009","306940626161","13951846644"
"2019/05","한국가스공사","036460","STK","41300","42950","39850","2.196474","3.114099","-0.441138","0.604136","0.00010826","322155.5549","0","7131720","339606","298531643167","14215792532"
"2019/06","한국가스공사","036460","STK","42200","42500","40750","1.180568","-0.079964","-0.458497","0.711944","0.000138875","440879.8902","5.263158","3327453","175129","139110798350","7321620966"
"2019/07","한국가스공사","036460","STK","42750","44800","41950","1.635711","0.043086","-0.405894","0.857635","0.000154318","256084.1452","4.347826","4700510","204370","204808543400","8904719278"
"2019/08","한국가스공사","036460","STK","39050","42450","37150","1.557081","-0.013268","-0.367452","0.770188","0.000167899","215603.6491","0","3900475","185737","152484906950","7261186045"
"2019/09","한국가스공사","036460","STK","39600","42000","39050","1.421131","1.338822","-0.378168","1.210933","0.000170279","339757.9858","0","2688526","141501","108843007850","5728579361"
"2019/10","한국가스공사","036460","STK","39300","40900","39000","1.440186","1.244375","-0.392877","1.144149","0.000197583","176428.3586","9.52381","2879938","137140","115263259750","5488726655"
"2019/11","한국가스공사","036460","STK","37400","40950","37400","1.115257","0.047747","-0.364092","0.887515","0.000133733","307010.3512","4.761905","3661188","174342","144563696450","6883985545"
"2019/12","한국가스공사","036460","STK","37850","38850","37450","1.040968","2.297894","-0.392403","0.399403","0.000108977","502700.2491","0","3398960","169948","129842942900","6492147145"
"2020/01","한국가스공사","036460","STK","32500","37350","32500","1.52826","3.015005","-0.353149","0.857719","0.000111316","357081.6177","10","4572441","228622","160335719400","8016785970"
"2020/02","한국가스공사","036460","STK","28100","33700","28100","1.694626","-0.41201","-0.340948","0.678233","0.000185817","261046.1524","5","4989007","249450","156598793000","7829939650"
"2020/03","한국가스공사","036460","STK","21500","27750","16600","5.789267","2.895384","-0.550502","1.201619","0.000416084","276559.9254","4.545455","9930075","451367","219380500850","9971840948"
"2020/04","한국가스공사","036460","STK","26950","27400","21100","2.551804","-0.735736","0.08676","0.617481","0.000231653","216584.0792","5","8077247","403862","204834854300","10241742715"
