연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","KT&G","033780","STK","115500","122500","115000","1.478485","1.276456","0.111273","0.553743","0.000031368","300455.9583","15.789474","5520560","290556","655298739475","34489407341"
"2018/01","KT&G","033780","STK","106500","115000","105500","1.286278","-0.184508","0.065452","-0.293186","0.000028306","345338.4421","9.090909","7203781","327445","779370393038","35425926956"
"2018/02","KT&G","033780","STK","99800","107500","99300","1.64717","1.023317","0.052596","0.346342","0.000029234","316984.4003","16.666667","7828260","434903","798241875570","44346770865"
"2018/03","KT&G","033780","STK","100000","101000","97000","0.988846","-0.333893","0.056764","0.298818","0.000024042","554618.8768","9.52381","6531531","311025","645775490853","30751213850"
"2018/04","KT&G","033780","STK","97800","101500","97700","0.844803","0.013753","0.060679","0.377857","0.000023008","497418.9552","14.285714","5646376","268875","562389111713","26780433891"
"2018/05","KT&G","033780","STK","96000","100500","96000","1.330758","7.903269","0.065432","1.037427","0.000030614","407170.5511","10","5113691","255685","502868643441","25143432172"
"2018/06","KT&G","033780","STK","107000","107000","96000","1.471981","0.437955","0.12257","0.051075","0.000029782","354896.9316","10.526316","6522847","343308","663116744565","34900881293"
"2018/07","KT&G","033780","STK","110500","110500","106000","1.003124","-0.416906","0.143801","0.34125","0.000034982","261693.8117","22.727273","5316826","241674","573560637500","26070938068"
"2018/08","KT&G","033780","STK","101000","109500","99600","1.575971","2.015561","0.161747","0.452343","0.000039891","206230.4622","22.727273","5023072","228321","525776091924","23898913269"
"2018/09","KT&G","033780","STK","104000","105500","99600","1.179656","0.389143","0.035234","0.546064","0.000048143","217634.7334","17.647059","3350160","197068","342706461962","20159203645"
"2018/10","KT&G","033780","STK","101500","102500","96300","1.620498","-0.653786","-0.076312","0.383573","0.000039545","384827.616","4.761905","7100906","338138","712080031604","33908572934"
"2018/11","KT&G","033780","STK","104000","105500","97500","1.230257","-0.947329","-0.088223","-0.121605","0.000036473","279269.6612","13.636364","6095595","277073","617251755562","28056897980"
"2018/12","KT&G","033780","STK","101500","109000","101500","1.46404","0.848225","-0.088922","-0.153431","0.000034507","256862.033","15.789474","5703940","300207","606566845771","31924570830"
