연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","한국전력","015760","STK","38150","39250","37850","1.159908","0.038456","-0.199925","0.199355","0.00002159","1848611.0789","0","22944177","1207588","886452722950","46655406471"
"2018/01","한국전력","015760","STK","35750","37750","34650","0.924036","-0.64275","-0.188002","0.765757","0.000014696","1769863.9861","13.636364","29676239","1348920","1074132987332","48824226697"
"2018/02","한국전력","015760","STK","33100","36100","33100","1.187042","-0.420146","-0.22279","-0.006997","0.000024819","1673573.5111","11.111111","23736457","1318692","813985307322","45221405962"
"2018/03","한국전력","015760","STK","32850","33100","30850","1.499877","0.115922","-0.238691","0.434705","0.000029871","1384539.6165","9.52381","26144453","1244974","839391411986","39971019618"
"2018/04","한국전력","015760","STK","37450","37450","33250","1.960986","-0.29713","-0.23525","0.034529","0.000025206","1756158.8238","4.761905","41279422","1965687","1463804474404","69704974972"
"2018/05","한국전력","015760","STK","33150","37750","33150","1.765042","1.962148","-0.250008","0.820729","0.000031716","2026631.884","0","27480986","1374049","988835906276","49441795314"
"2018/06","한국전력","015760","STK","32000","35100","32000","2.370786","1.832751","-0.251994","1.453087","0.000026568","1861832.2396","10.526316","29827723","1569880","1012695782849","53299778045"
"2018/07","한국전력","015760","STK","33300","33300","30850","1.548834","-0.479511","-0.228928","-0.6197","0.000029878","1553478.8421","9.090909","29950840","1361402","954978838265","43408129012"
"2018/08","한국전력","015760","STK","30500","32350","30350","1.462813","-0.158916","-0.218362","-0.194977","0.000028199","1493271.4384","9.090909","26152952","1188771","808887507250","36767613966"
"2018/09","한국전력","015760","STK","29350","30350","28700","0.813103","-0.072223","-0.159885","-0.237987","0.000018736","2923324.2124","5.882353","19324336","1136726","572706740750","33688631809"
"2018/10","한국전력","015760","STK","27100","29350","23850","3.094768","-1.403512","-0.472896","1.467978","0.000058426","820137.0218","4.761905","37546439","1787926","997919626024","47519982192"
"2018/11","한국전력","015760","STK","29700","30800","26600","2.3817","-0.014547","-0.421305","-0.039646","0.000048646","874640.6112","4.545455","30753924","1397906","872185612736","39644800579"
"2018/12","한국전력","015760","STK","33100","34350","29750","1.535685","-0.423574","-0.429938","-0.262002","0.000025007","2569788.7207","0","32338673","1702035","1043783062510","54935950658"
"2019/01","한국전력","015760","STK","34500","35450","32550","2.227263","1.036327","-0.425798","-1.437284","0.000024233","1939431.074","4.545455","36526591","1660300","1238980774028","56317307910"
"2019/02","한국전력","015760","STK","34850","34950","33000","1.390908","0.144448","-0.432473","0.070027","0.00002491","2189097.8694","0","20799258","1223486","707555249524","41620897031"
"2019/03","한국전력","015760","STK","29900","35800","29900","1.556936","-0.205545","-0.382429","0.2563","0.000034034","1638943.6756","5","23966287","1198314","798203926725","39910196336"
"2019/04","한국전력","015760","STK","28300","30350","27850","1.48958","0.819443","-0.358701","1.140711","0.000024335","3173614.3905","4.545455","33981243","1544602","990372903271","45016950149"
"2019/05","한국전력","015760","STK","26000","28050","24700","1.527313","2.808999","-0.378267","0.668232","0.000031408","1816234.9639","0","30284634","1442125","792182005550","37722952645"
"2019/06","한국전력","015760","STK","25550","26650","25350","1.473398","0.572732","-0.388435","1.097339","0.000031533","1390172.8416","5.263158","23886383","1257178","619024302289","32580226436"
"2019/07","한국전력","015760","STK","27900","27950","25250","1.515774","2.044629","-0.304429","0.082068","0.000033298","1757981.1334","4.347826","28100796","1221774","742601055950","32287002433"
"2019/08","한국전력","015760","STK","25550","27100","24700","1.811252","1.574743","-0.289081","0.493212","0.000044984","1443114.5515","4.761905","23324317","1110682","602356336250","28683635060"
"2019/09","한국전력","015760","STK","25900","26750","24950","1.194015","0.920398","-0.267288","0.610624","0.00002823","1829174.4297","10.526316","24231475","1275341","622622472200","32769603800"
"2019/10","한국전력","015760","STK","25450","26300","25100","1.26576","0.557547","-0.275729","0.573925","0.000037603","1518495.0474","0","22610109","1076672","578862239050","27564868526"
"2019/11","한국전력","015760","STK","27900","28150","25250","1.636989","7.167028","-0.299025","-0.04271","0.000017423","3890367.8686","0","39114956","1862617","1063549463100","50645212529"
"2019/12","한국전력","015760","STK","27800","29250","27450","1.369124","0.029722","-0.310731","-0.733751","0.000021582","1710335.8484","10","32611998","1630600","919810918480","45990545924"
"2020/01","한국전력","015760","STK","25350","28500","25350","1.353241","0.849595","-0.318281","0.556703","0.000029842","1584509.7979","5","23898269","1194913","642321413800","32116070690"
"2020/02","한국전력","015760","STK","21300","26100","21300","2.226475","4.041354","-0.338499","0.780582","0.000023126","2440459.194","5","42891301","2144565","1054067955850","52703397793"
"2020/03","한국전력","015760","STK","19250","22800","16250","4.046753","-0.041791","-0.437764","0.59701","0.000037903","2325604.029","4.545455","98761788","4489172","1958153403000","89006972864"
"2020/04","한국전력","015760","STK","23850","23850","19000","2.592358","-0.142202","0.372536","0.499952","0.000025062","4287055.2926","0","76739588","3836979","1631068717400","81553435870"
"2020/05","한국전력","015760","STK","21600","23150","21250","2.33061","1.254255","0.375393","0.662975","0.000024716","2794831.1723","5.263158","55017955","2895682","1213372614750","63861716566"
"2020/06","한국전력","015760","STK","19500","22550","19050","2.302683","0.860655","0.325781","1.031173","0.000031543","2362844.7789","4.545455","60226330","2737560","1269301341850","57695515539"
"2020/07","한국전력","015760","STK","19100","20000","18700","1.763746","11.83419","0.326748","0.764316","0.000017091","3869530.0363","8.695652","65967723","2868162","1286329096200","55927352009"
"2020/08","한국전력","015760","STK","20500","21950","19050","3.102768","1.646851","0.295224","1.29165","0.000016817","4489809.3653","5","112323482","5616174","2333094135316","116654706766"
"2020/09","한국전력","015760","STK","20400","21300","19700","1.424761","1.821566","0.309442","0.727271","0.0000198","4592725.4195","0","56573154","2693960","1163417096450","55400814117"
"2020/10","한국전력","015760","STK","19950","21750","19950","1.629093","-0.329724","0.328731","0.589707","0.000021841","2483724.1663","5.263158","57407676","3021457","1209877381850","63677756939"
"2020/11","한국전력","015760","STK","21450","22550","20300","1.755168","0.008391","0.334948","0.617637","0.000016975","3950531.4492","0","89590101","4266195","1925212799150","91676799960"
"2020/12","한국전력","015760","STK","27400","28300","21500","3.645955","1.06121","0.287529","0.58019","0.000011475","6026622.2668","9.52381","207370668","9874794","5340040488850","254287642326"
"2021/01","한국전력","015760","STK","22850","27150","22850","1.271649","-1.197754","0.291665","0.343156","0.000009279","7400223.0505","5","112292547","5614627","2882636009150","144131800458"
"2021/02","한국전력","015760","STK","22700","24300","22700","1.354425","-0.042965","0.299194","0.251272","0.000012656","3601144.7562","16.666667","63811600","3545089","1506324758850","83684708825"
"2021/03","한국전력","015760","STK","23150","24750","22750","2.047653","4.790776","0.295545","0.78438","0.000014487","4714816.1017","4.545455","71907250","3268511","1691753560750","76897889125"
"2021/04","한국전력","015760","STK","23650","24750","23450","1.155148","-0.476865","0.282235","0.942413","0.000012716","3521009.5983","9.090909","57702495","2622841","1387746649650","63079393166"
"2021/05","한국전력","015760","STK","25800","26250","23350","2.15615","1.185059","0.259575","0.511451","0.00001382","4471595.8231","5.263158","88186508","4641395","2185375510450","115019763708"
"2021/06","한국전력","015760","STK","24850","27150","24550","2.203367","4.65211","0.246986","2.13492","0.000009228","4988580.1988","18.181818","102023095","4637413","2648317034800","120378047036"
"2021/07","한국전력","015760","STK","24900","25650","24300","1.015471","0.032775","0.253637","0.621197","0.000015391","2306164.0521","13.636364","45438861","2065403","1136112643650","51641483802"
"2021/08","한국전력","015760","STK","24000","25450","23650","1.095359","1.693111","0.249573","0.822074","0.000015865","2391016.9339","14.285714","38115509","1815024","936737261000","44606536238"
"2021/09","한국전력","015760","STK","23550","24500","23150","1.060818","-0.649472","0.248164","0.594453","0.000018292","3260139.4242","0","43377825","2283043","1041198567250","54799924592"
"2021/10","한국전력","015760","STK","22600","23450","22250","1.169828","1.639096","0.252389","0.551948","0.000023178","2261484.0862","10.526316","28948307","1523595","663724459600","34932866295"
"2021/11","한국전력","015760","STK","20750","23750","20750","1.524659","0.468259","0.217344","0.884268","0.000030106","1830896.2336","9.090909","35282104","1603732","798638661000","36301757318"
"2021/12","한국전력","015760","STK","22100","22500","20950","1.532824","3.105399","0.193053","1.280508","0.000031874","1659821.7554","9.090909","35085645","1594802","770077956000","35003543455"
"2022/01","한국전력","015760","STK","20600","22350","20100","1.450297","-0.60808","0.168378","0.887526","0.000045562","1217132.3007","5","24241495","1212075","515872190350","25793609518"
"2022/02","한국전력","015760","STK","23200","23200","21100","2.299453","0.566819","0.147819","0.854543","0.000045075","1468244.6419","5.555556","33934899","1885272","758630146050","42146119225"
"2022/03","한국전력","015760","STK","22650","24750","22550","2.014551","1.586105","0.156696","0.979768","0.000018223","3669208.0404","4.761905","56123467","2672546","1331776132750","63417911083"
"2022/04","한국전력","015760","STK","23100","23250","21050","2.371618","7.731765","0.155803","1.612624","0.000045534","1400285.9977","0","32603911","1552567","721983369350","34380160445"
"2022/05","한국전력","015760","STK","23350","23800","22100","1.623511","0.735274","0.202663","0.015506","0.000026852","2277469.3105","14.285714","39060677","1860032","898322456616","42777259839"
"2022/06","한국전력","015760","STK","22550","23600","21350","2.415732","0.142363","0.189578","0.832572","0.000043888","1574589.4089","0","37399691","1869985","841098845950","42054942298"
"2022/07","한국전력","015760","STK","22350","22950","21500","1.257175","1.40066","0.199875","0.668178","0.000039923","1116006.8512","19.047619","21787061","1037479","480904651350","22900221493"
"2022/08","한국전력","015760","STK","20950","22100","20350","1.16828","-0.153767","0.193517","0.675703","0.000039722","1445992.5966","9.090909","24952987","1134227","532023377550","24182880798"
"2022/09","한국전력","015760","STK","20100","20350","18900","2.24857","-0.862589","0.169945","0.613509","0.000071475","1077677.9814","5","26989496","1349475","534859675650","26742983783"
"2022/10","한국전력","015760","STK","16750","19850","16650","1.697623","2.347023","0.194628","0.790023","0.000044674","1298757.0928","21.052632","25667043","1350897","451353568800","23755450989"
"2022/11","한국전력","015760","STK","20700","20700","16700","2.451981","3.923031","0.209001","1.297417","0.000053406","1558570.8898","0","37091835","1685993","695316265000","31605284773"
