楷岿,辆格疙,辆格内靛,矫厘酒捞叼,辆啊,弥绊啊(辆啊),弥历啊(辆啊),钎霖祈瞒,梅档,傍恐档,海鸥,Amihud,Amivest,Zeros,芭贰樊_钦拌,芭贰樊_老乞闭,芭贰措陛_钦拌,芭贰措陛_老乞闭
"2017/12","BGF府抛老","282330","STK","210000","248500","194000","11.167685","3.453138",,"2.282617","0.00034094","51115.6856","7.142857","1559115","111365","358335376699","25595384050"
"2018/01","BGF府抛老","282330","STK","220000","227000","199000","2.43806","-0.938563",,"1.105095","0.000357922","33608.8191","0","682600","31027","143246134765","6511187944"
"2018/02","BGF府抛老","282330","STK","174000","218000","170000","2.348004","0.091367",,"-0.39253","0.000228978","28332.5373","11.111111","827726","45985","155378390413","8632132801"
"2018/03","BGF府抛老","282330","STK","169000","169500","152500","3.225622","5.786079",,"0.847417","0.000312048","43590.4292","0","1008121","48006","163801661510","7800079120"
"2018/04","BGF府抛老","282330","STK","191000","191000","169500","3.345936","-0.600635",,"-0.030175","0.000361758","25267.5969","4.761905","849773","40465","153058450320","7288497634"
"2018/05","BGF府抛老","282330","STK","182500","206500","177500","3.10747","1.118369",,"0.438107","0.000322666","29643.4038","0","869634","43482","167610672379","8380533619"
"2018/06","BGF府抛老","282330","STK","195000","209000","182500","3.36032","-0.704301",,"-0.441413","0.000366494","28231.6878","0","754833","39728","148883026732","7835948775"
"2018/07","BGF府抛老","282330","STK","169000","187500","149500","3.163074","-0.140555",,"1.569793","0.000335026","29276.4526","4.545455","1053377","47881","174754240786","7943374581"
"2018/08","BGF府抛老","282330","STK","171500","180000","159000","2.663053","2.861165",,"0.45201","0.000515453","20476.016","4.545455","507506","23068","85142032900","3870092405"
"2018/09","BGF府抛老","282330","STK","205500","212500","172500","2.664797","-0.729473",,"0.639172","0.000427955","20497.5939","0","481003","28294","93040319800","5472959988"
"2018/10","BGF府抛老","282330","STK","168500","210000","168500","2.661104","-0.396184",,"0.094783","0.000414752","19496.8765","4.761905","626829","29849","120506663152","5738412531"
"2018/11","BGF府抛老","282330","STK","194500","196500","166000","2.362845","-0.689252",,"0.788423","0.000516156","42216.4777","0","1314257","59739","236993605658","10772436621"
"2018/12","BGF府抛老","282330","STK","204000","218000","190500","2.202048","-0.362757",,"-0.097008","0.000357125","24070.1356","10.526316","544698","28668","110252119020","5802743106"
"2019/01","BGF府抛老","282330","STK","184000","214000","180500","2.548652","6.712375",,"0.289491","0.000303674","25955.7357","0","577691","26259","111660572130","5075480551"
"2019/02","BGF府抛老","282330","STK","213000","218000","182500","2.510174","-0.416743",,"1.391476","0.000404429","12997.6139","17.647059","379472","22322","76278756000","4486985647"
"2019/03","BGF府抛老","282330","STK","218500","219500","201500","1.546838","0.13941",,"0.345388","0.000247037","27671.5605","0","514652","25733","108940847871","5447042394"
"2019/04","BGF府抛老","282330","STK","218500","232500","211000","1.508088","0.492792",,"0.202365","0.000277847","27437.4745","4.545455","438598","19936","97652202359","4438736471"
"2019/05","BGF府抛老","282330","STK","186500","216500","186500","1.780198","0.273069",,"1.042873","0.000316618","30366.2064","4.761905","571473","27213","114972593878","5474885423"
"2019/06","BGF府抛老","282330","STK","211000","211000","185500","2.42298","0.554846",,"0.339403","0.000301763","31985.1256","0","613064","32267","120428612324","6338348017"
"2019/07","BGF府抛老","282330","STK","204500","208000","188500","2.188431","-1.016247",,"1.00002","0.000478205","16601.6329","8.695652","487676","21203","96867179250","4211616489"
"2019/08","BGF府抛老","282330","STK","203500","215500","195500","2.350869","0.377804",,"-0.228243","0.000357392","26436.785","4.761905","521441","24831","107052768750","5097750893"
"2019/09","BGF府抛老","282330","STK","197000","207500","192000","1.491106","-0.32072",,"0.562718","0.00025848","27412.1159","15.789474","432772","22777","86197367132","4536703533"
"2019/10","BGF府抛老","282330","STK","178000","197000","178000","1.733868","-0.384891",,"1.302014","0.000468082","12245.9414","9.52381","372683","17747","70683382500","3365875357"
"2019/11","BGF府抛老","282330","STK","168000","189500","168000","1.773757","1.360677",,"1.437345","0.000249207","38693.3959","4.761905","735848","35040","129801600730","6181028606"
"2019/12","BGF府抛老","282330","STK","169500","169500","159000","1.25934","-0.735802",,"0.061179","0.000170898","50115.9356","10","736709","36835","119941406612","5997070331"
"2020/01","BGF府抛老","282330","STK","165000","174000","163000","1.627344","-0.171302",,"0.334327","0.00026381","21379.3528","20","550897","27545","93323975651","4666198783"
"2020/02","BGF府抛老","282330","STK","151500","169000","151500","1.756734","-0.758477",,"0.548163","0.000246663","36925.0109","5","761625","38081","123713552302","6185677615"
"2020/03","BGF府抛老","282330","STK","132000","163000","109000","4.924847","0.734754",,"0.952347","0.000611937","22276.2907","4.545455","1080769","49126","143269494500","6512249750"
"2020/04","BGF府抛老","282330","STK","158000","159000","127500","3.861539","1.512489",,"1.696893","0.000457573","40573.4371","0","909863","45493","134018669027","6700933451"
"2020/05","BGF府抛老","282330","STK","167000","167000","149000","2.812857","2.295712",,"0.580452","0.000203231","49844.2281","0","1034872","54467","161081054210","8477950222"
"2020/06","BGF府抛老","282330","STK","139000","162000","135000","1.808991","1.498044",,"0.571149","0.000250078","43131.7036","9.090909","876543","39843","128073404250","5821518375"
"2020/07","BGF府抛老","282330","STK","124500","142500","124500","1.520522","2.21583",,"0.544527","0.000261544","38033.0337","4.347826","798278","34708","105519200347","4587791319"
"2020/08","BGF府抛老","282330","STK","127500","134000","121500","2.082106","-0.149936",,"0.542197","0.000268545","53871.0232","5","1099229","54961","141051351547","7052567577"
"2020/09","BGF府抛老","282330","STK","123500","125000","116000","1.532403","-0.186497",,"0.464935","0.000263419","38892.867","4.761905","785823","37420","95030964229","4525284011"
"2020/10","BGF府抛老","282330","STK","118000","136000","118000","2.396676","-0.209654",,"1.475401","0.000310485","43666.6834","0","1072857","56466","136277545762","7172502409"
"2020/11","BGF府抛老","282330","STK","125500","141000","120000","2.449292","0.961403",,"1.503518","0.00039063","21752.7334","19.047619","974076","46385","128814151597","6134007219"
"2020/12","BGF府抛老","282330","STK","135500","138500","125500","1.827739","-0.304861",,"0.131028","0.000226288","59767.4692","0","1077964","51332","141343327500","6730634643"
"2021/01","BGF府抛老","282330","STK","170000","170000","132000","3.151294","-1.052162",,"0.410905","0.000270094","34778.1859","0","1710887","85544","257401718396","12870085920"
"2021/02","BGF府抛老","282330","STK","159000","177500","159000","2.492322","-0.689508",,"0.497497","0.000287642","35280.6932","0","861943","47886","143647273750","7980404097"
"2021/03","BGF府抛老","282330","STK","158000","174500","158000","2.2368","2.519042",,"1.006524","0.000218645","34638.4703","9.090909","968131","44006","162461300920","7384604587"
