연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","코웨이","021240","STK","97700","110500","95700","3.24584","0.225793","-0.25555","1.161401","0.00013404","74315.5178","15.789474","3462682","182246","358630665830","18875298202"
"2018/01","코웨이","021240","STK","95200","98800","94700","1.340473","2.059464","-0.246399","0.538179","0.000075039","253504.1481","9.090909","3218990","146318","311674023177","14167001054"
"2018/02","코웨이","021240","STK","86600","95800","83000","2.693194","-0.275052","-0.278368","0.300093","0.000118403","139764.6019","5.555556","3529780","196099","311480113295","17304450739"
"2018/03","코웨이","021240","STK","89800","92300","84500","2.282643","1.00082","-0.290724","1.222177","0.00012215","239578.6195","0","3371481","160547","294195800532","14009323835"
"2018/04","코웨이","021240","STK","87500","90700","86000","1.56521","-0.016144","-0.281203","-0.524025","0.00012732","204908.1326","0","2046907","97472","181515667734","8643603225"
"2018/05","코웨이","021240","STK","87300","93100","85000","2.16045","3.015382","-0.282645","0.455626","0.000112961","274950.7884","0","3240406","162020","288611500695","14430575035"
"2018/06","코웨이","021240","STK","86600","94800","86600","1.875834","-0.090342","-0.301348","0.62637","0.000111506","224694.1354","5.263158","2782695","146458","251068001193","13214105326"
"2018/07","코웨이","021240","STK","93800","94300","81000","2.385503","-0.714358","-0.265722","1.519444","0.00017311","128381.2901","0","3805551","172980","341031035256","15501410693"
"2018/08","코웨이","021240","STK","91400","94200","90200","1.313308","0.657295","-0.263882","0.232614","0.000120724","180445.5128","4.545455","2212020","100546","204440738950","9292760861"
"2018/09","코웨이","021240","STK","86800","95000","83400","2.475063","6.009121","-0.310122","1.05472","0.00011024","255374.6184","0","7882705","463689","677867553024","39874561943"
"2018/10","코웨이","021240","STK","70300","86500","63000","6.036272","14.031597","-1.10393","1.812615","0.00006738","879362.322","4.761905","7708574","367075","568210262866","27057631565"
"2018/11","코웨이","021240","STK","78400","78400","66300","2.188406","1.673917","-1.022606","0.27839","0.000121045","418546.6121","4.545455","4574239","207920","322879700208","14676350009"
"2018/12","코웨이","021240","STK","74100","78600","73500","2.428345","-1.231291","-1.016552","-0.138009","0.0001571","168712.8447","0","3608169","189904","276464980762","14550788461"
"2019/01","코웨이","021240","STK","83400","84500","74100","1.746273","0.4513","-0.971409","-0.167504","0.000124006","181960.8544","4.545455","3447270","156694","273320573000","12423662409"
"2019/02","코웨이","021240","STK","94600","94600","82600","1.568313","-1.278944","-0.973967","0.334016","0.000102307","162554.873","0","2936574","172740","258119170486","15183480617"
"2019/03","코웨이","021240","STK","94500","97000","90800","1.656131","0.759639","-0.963646","1.557825","0.00005598","8364757.3993","5","21099305","1054965","2126816365085","106340818254"
"2019/04","코웨이","021240","STK","87800","95500","86500","1.584665","0.108833","-0.938353","1.288095","0.000088272","248350.1004","4.545455","4615600","209800","427879654300","19449075195"
"2019/05","코웨이","021240","STK","80100","81400","74900","2.768877","0.767124","-0.897807","1.31791","0.000117387","219684.5061","0","4574374","217827","360261096682","17155290318"
"2019/06","코웨이","021240","STK","77400","83900","77400","2.408864","4.972393","-0.893671","1.136303","0.000086644","289154.7604","5.263158","4150349","218439","336496814686","17710358668"
"2019/07","코웨이","021240","STK","83900","85600","77000","2.028079","1.447094","-0.765484","0.259716","0.000102358","270293.3354","0","4360859","189603","358011354059","15565711046"
"2019/08","코웨이","021240","STK","84200","89100","79600","2.302068","1.546657","-0.735564","0.596522","0.000115678","241930.8852","0","3536547","168407","295073483284","14051118252"
"2019/09","코웨이","021240","STK","84600","85200","79500","1.257355","0.527013","-0.740442","-0.556569","0.000086777","353507.7679","0","2548516","134132","209313891112","11016520585"
"2019/10","코웨이","021240","STK","91800","91800","80700","1.836256","2.653225","-0.788005","-0.465187","0.000077048","869838.1058","0","5443419","259210","469606531429","22362215782"
"2019/11","코웨이","021240","STK","89600","96500","88700","2.122841","0.226329","-0.772625","1.250224","0.000108546","207406.9428","4.761905","3499781","166656","324167950000","15436569048"
"2019/12","코웨이","021240","STK","93100","93600","88900","1.600176","-0.397773","-0.816488","-0.334689","0.000109426","231649.4756","5","2914769","145738","265392538594","13269626930"
"2020/01","코웨이","021240","STK","87800","92800","87000","1.800913","-0.142572","-0.803684","0.439405","0.000094891","283720.817","0","3342090","167105","299258999600","14962949980"
"2020/02","코웨이","021240","STK","68900","91600","68900","4.351058","13.58194","-0.767194","0.609958","0.00006423","1974280.7007","5","25982271","1299114","2315801859333","115790092967"
"2020/03","코웨이","021240","STK","57800","71600","48250","4.518516","2.195987","-0.882513","0.718348","0.000136304","303311.2313","0","7889764","358626","481639765860","21892716630"
"2020/04","코웨이","021240","STK","61400","64400","55200","3.177095","3.057225","-0.560534","1.364502","0.000144874","359198.6034","5","5395042","269752","325624283161","16281214158"
"2020/05","코웨이","021240","STK","66600","70500","60000","3.665255","3.183492","-0.559095","1.58505","0.000095188","398869.7301","5.263158","7048220","370959","452905146594","23837112979"
"2020/06","코웨이","021240","STK","72200","76500","68500","3.134199","-0.205602","-0.530298","1.134184","0.000136126","156344.2121","0","6050688","275031","441419277769","20064512626"
"2020/07","코웨이","021240","STK","76700","80100","70000","2.283203","-0.763813","-0.52435","0.45712","0.000114588","267892.0377","0","4847461","210759","366093376702","15917103335"
"2020/08","코웨이","021240","STK","79800","88700","74200","3.95134","1.34916","-0.579594","1.360454","0.000119203","262642.1868","0","5337981","266899","439234508108","21961725405"
"2020/09","코웨이","021240","STK","79300","81100","74400","1.596109","2.896937","-0.565587","0.865618","0.000083097","456068.9943","4.761905","3248812","154705","256267100000","12203195238"
"2020/10","코웨이","021240","STK","69400","84500","69400","1.970248","3.991363","-0.521586","0.803025","0.000104979","393071.0029","0","3971840","209044","305603646674","16084402457"
