연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","이마트","139480","STK","271000","282000","257000","2.110269","1.340242","0.413807","1.176062","0.000069681","85003.4852","5.263158","1412572","74346","379469234374","19972064967"
"2018/01","이마트","139480","STK","291000","299000","256000","3.725645","11.944931","0.392255","0.547595","0.000066973","71103.5842","9.090909","2407788","109445","660671309877","30030514085"
"2018/02","이마트","139480","STK","304000","317500","278500","2.12354","-0.209059","0.417106","1.296047","0.000057064","128151.5862","0","1800295","100016","527781160713","29321175595"
"2018/03","이마트","139480","STK","273500","312000","269500","2.18012","1.48949","0.438678","0.095207","0.000051043","118354.4908","4.761905","2082121","99149","592577668904","28217984234"
"2018/04","이마트","139480","STK","270000","290500","264500","1.69796","0.0776","0.434583","-0.389932","0.000061267","102482.3106","4.761905","1637353","77969","454423591508","21639218643"
"2018/05","이마트","139480","STK","250000","277000","250000","2.631975","-0.371986","0.434112","0.861368","0.00009517","77711.4663","0","1704618","85231","449303236528","22465161826"
"2018/06","이마트","139480","STK","254500","256000","238000","1.780862","-0.09164","0.440613","0.208122","0.000053488","96018.4285","10.526316","1885126","99217","465208757628","24484671454"
"2018/07","이마트","139480","STK","218500","253500","216000","2.497424","0.423216","0.440079","0.6602","0.000109907","60747.6197","0","2045689","92986","464417423622","21109882892"
"2018/08","이마트","139480","STK","214500","226500","204000","2.285296","-0.351014","0.443054","0.686484","0.000085314","97772.5912","4.545455","2110244","95920","456404192889","20745645131"
"2018/09","이마트","139480","STK","207500","211500","188000","2.300143","0.834824","0.033791","0.24563","0.000060826","91321.9407","11.764706","2133368","125492","425501568146","25029504009"
"2018/10","이마트","139480","STK","204500","219500","193500","2.616568","-0.574574","0.010618","0.883992","0.000106746","72795.4349","0","2097634","99887","436594045772","20790192656"
"2018/11","이마트","139480","STK","195000","208500","186500","1.781665","1.238014","-0.019813","0.651669","0.000069917","103986.7346","13.636364","1887180","85781","368471870000","16748721364"
"2018/12","이마트","139480","STK","182500","194000","181500","1.802576","0.628753","-0.015807","0.759037","0.000095834","77973.6982","10.526316","1499540","78923","279787172382","14725640652"
"2019/01","이마트","139480","STK","192000","199500","180000","1.858809","-0.337734","-0.027814","0.41433","0.000083186","99231.709","4.545455","1919805","87264","368845165888","16765689359"
"2019/02","이마트","139480","STK","180000","182000","172500","2.119374","3.342472","-0.010793","1.113549","0.000048582","161896.3234","0","2545954","149762","454063723196","26709630776"
"2019/03","이마트","139480","STK","172000","182500","170500","1.175351","-0.151586","-0.009876","0.557602","0.000053441","117021.8895","15","1899857","94993","335609652750","16780482638"
"2019/04","이마트","139480","STK","172000","181500","171000","1.37706","10.136233","-0.022735","0.504779","0.000037059","184091.5397","9.090909","2446662","111212","431387471506","19608521432"
"2019/05","이마트","139480","STK","144000","173000","142500","1.642285","2.08652","-0.120919","1.172669","0.000052451","152836.9828","4.761905","3072789","146323","467840989068","22278142337"
"2019/06","이마트","139480","STK","140000","149000","140000","1.387948","-1.360883","-0.119312","1.767492","0.000095563","84699.3466","5.263158","1623835","85465","234695484000","12352393895"
"2019/07","이마트","139480","STK","122000","144000","122000","1.671757","0.527243","-0.143795","0.868904","0.000085283","127264.0575","8.695652","2919077","126916","387353280370","16841446973"
"2019/08","이마트","139480","STK","116000","120500","105500","2.501343","1.897464","-0.128371","0.500233","0.000072323","122650.3783","19.047619","4708493","224214","530798082500","25276099167"
"2019/09","이마트","139480","STK","113000","116000","112000","1.316348","0.928583","-0.141516","-0.151969","0.000058367","140454.9787","26.315789","2843795","149673","325768968000","17145735158"
"2019/10","이마트","139480","STK","111500","122500","107500","2.224616","2.879868","-0.130658","1.593877","0.000090414","116769.8877","9.52381","3191683","151985","367522136000","17501054095"
"2019/11","이마트","139480","STK","131000","134500","113500","3.103964","-0.258432","-0.143015","0.996667","0.000071306","150397.6227","4.761905","5202800","247752","662015082500","31524527738"
"2019/12","이마트","139480","STK","127500","132500","123500","1.409354","-0.673821","-0.151511","0.639154","0.000069435","138446.7899","10","2412553","120628","310499463875","15524973194"
"2020/01","이마트","139480","STK","111000","125500","111000","1.565261","1.504742","-0.158307","0.878659","0.000056729","243516.2385","5","3964786","198239","472148723405","23607436170"
"2020/02","이마트","139480","STK","105000","114500","99300","2.303492","-0.725399","-0.14253","0.783785","0.000089641","125073.0966","0","4251336","212567","459030044520","22951502226"
"2020/03","이마트","139480","STK","106500","117000","97900","3.298737","-0.223704","-0.068957","0.50629","0.000093834","213669.0861","0","6197332","281697","668190451374","30372293244"
"2020/04","이마트","139480","STK","120000","120500","102500","3.324836","2.841191","0.3185","1.206755","0.000079032","205673.6601","5","4605932","230297","522387502500","26119375125"
"2020/05","이마트","139480","STK","113500","118500","108500","1.770934","-0.081344","0.330684","0.881333","0.000057841","185619.6922","10.526316","4430832","233202","499563748000","26292828842"
"2020/06","이마트","139480","STK","105500","118500","104500","1.967942","0.473504","0.28813","0.876169","0.000048653","301136.0017","9.090909","6244715","283851","709031639000","32228710864"
"2020/07","이마트","139480","STK","114000","118000","105500","1.954343","0.163087","0.283115","1.080714","0.000052492","129367.2916","26.086957","5208525","226458","585162461750","25441846163"
"2020/08","이마트","139480","STK","120000","130500","113500","3.181873","-0.183814","0.257947","1.023553","0.000051692","189680.0591","5","7394528","369726","898163575000","44908178750"
"2020/09","이마트","139480","STK","141500","150000","125500","2.528778","-0.539984","0.227898","0.40763","0.000035613","242042.5178","9.52381","8609729","409987","1204284111000","57346862429"
"2020/10","이마트","139480","STK","142000","157000","142000","1.740825","0.388497","0.215094","0.416852","0.000035315","201566.3811","10.526316","5027791","264621","759671152500","39982692237"
"2020/11","이마트","139480","STK","154000","165000","146000","2.234171","4.535959","0.24119","0.473749","0.000037569","270430.8044","0","5937060","282717","926710506500","44129071738"
"2020/12","이마트","139480","STK","151500","159000","149500","1.359477","-0.348558","0.205979","0.702329","0.000040733","161256.4821","9.52381","3615988","172190","555959364500","26474255452"
"2021/01","이마트","139480","STK","164000","183500","151500","3.71471","-0.269772","0.162144","1.355749","0.000031779","203146.506","10","10535150","526758","1825547401500","91277370075"
"2021/02","이마트","139480","STK","169000","189000","168000","2.476735","0.440201","0.156144","0.898575","0.000037327","182596.4692","5.555556","5262958","292387","934303986000","51905777000"
"2021/03","이마트","139480","STK","171000","185000","170500","2.24633","9.417976","0.148692","1.29805","0.000031006","256520.9439","9.090909","6252170","284190","1116512280500","50750558205"
"2021/04","이마트","139480","STK","168000","172000","167500","0.770663","-0.30102","0.138985","0.120337","0.000021337","301118.7597","9.090909","3671918","166905","621849197748","28265872625"
"2021/05","이마트","139480","STK","159000","168500","151000","1.602386","-0.812553","0.132346","0.707884","0.000040764","191882.7393","5.263158","3768336","198333","596472319250","31393279961"
"2021/06","이마트","139480","STK","160000","166500","157000","1.798945","1.776215","0.114184","1.83172","0.000041497","258106.5246","4.545455","5129240","233147","833219670200","37873621373"
"2021/07","이마트","139480","STK","168500","170500","152000","1.477287","0.426305","0.097867","1.164152","0.000045867","166540.4489","4.545455","3938065","179003","637926623740","28996664715"
"2021/08","이마트","139480","STK","179000","179000","169000","2.006211","0.569717","0.077657","0.769518","0.000034389","209187.2546","14.285714","4734038","225430","826409199500","39352819024"
"2021/09","이마트","139480","STK","164500","181000","164500","1.407722","-0.658261","0.091892","0.78604","0.00004297","158299.526","15.789474","2734097","143900","472575686065","24872404530"
"2021/10","이마트","139480","STK","168000","171500","152500","2.140212","-0.084581","0.08673","1.428017","0.00006647","129667.2803","0","2821160","148482","456832432036","24043812212"
"2021/11","이마트","139480","STK","143000","170500","143000","1.539023","0.50555","0.056066","0.991791","0.000066957","120738.8785","9.090909","2400894","109132","384573489824","17480613174"
"2021/12","이마트","139480","STK","151000","156000","144500","0.97386","-0.020931","0.039659","0.676998","0.000063235","93436.111","18.181818","1836651","83484","277603397500","12618336250"
"2022/01","이마트","139480","STK","132000","150500","126000","2.075515","2.550329","0.009689","1.311126","0.000096085","89762.6286","10","2043073","102154","286574232000","14328711600"
"2022/02","이마트","139480","STK","130000","141000","121500","2.457634","0.754972","0.013148","1.476164","0.000094556","145009.2005","0","2816604","156478","366300305500","20350016972"
"2022/03","이마트","139480","STK","141000","142500","130500","2.198733","0.353556","-0.008203","0.664383","0.000052501","146299.1501","14.285714","4140745","197178","568974384492","27094018309"
"2022/04","이마트","139480","STK","132000","141500","130000","1.351312","0.429396","0.031635","0.417755","0.000066753","127453.7354","9.52381","2270412","108115","311228290500","14820394786"
"2022/05","이마트","139480","STK","116000","131500","113500","2.095978","0.516018","0.062165","0.936839","0.000097676","130194.6317","0","3128574","148980","377815406000","17991209810"
"2022/06","이마트","139480","STK","105500","117000","100500","1.852881","0.352102","0.013193","0.957264","0.000111128","107629.65","10","2439991","122000","261905336000","13095266800"
"2022/07","이마트","139480","STK","113000","115500","101500","2.480416","4.511332","0.011786","0.968176","0.000088045","107938.6117","9.52381","3719984","177142","403245876850","19202184612"
"2022/08","이마트","139480","STK","97800","108000","96700","1.648723","3.561123","0.004938","0.864343","0.000061439","156958.5433","13.636364","3588571","163117","371611859000","16891448136"
"2022/09","이마트","139480","STK","83900","97700","83900","1.633635","1.881961","-0.077222","0.874938","0.000094678","245570.513","0","2733225","136661","249944436500","12497221825"
"2022/10","이마트","139480","STK","84600","87200","82500","1.923608","1.518795","-0.070786","0.697997","0.000136914","165888.378","10.526316","2032351","106966","172045880500","9055046342"
