楷岿,辆格疙,辆格内靛,矫厘酒捞叼,辆啊,弥绊啊(辆啊),弥历啊(辆啊),钎霖祈瞒,梅档,傍恐档,海鸥,Amihud,Amivest,Zeros,芭贰樊_钦拌,芭贰樊_老乞闭,芭贰措陛_钦拌,芭贰措陛_老乞闭
"2017/12","GS府抛老","007070","STK","40300","43500","37850","3.143413","-0.858375","0.137153","2.158904","0.00022285","178992.7198","0","6084185","320220","248120686672","13058983509"
"2018/01","GS府抛老","007070","STK","38950","42950","38750","2.193095","1.147089","0.107411","1.190408","0.000187667","204707.742","4.545455","4766629","216665","193884317650","8812923530"
"2018/02","GS府抛老","007070","STK","36000","39150","35950","1.02262","-0.102421","0.091675","0.535662","0.000127876","249492.0002","11.111111","2804358","155798","103671253738","5759514097"
"2018/03","GS府抛老","007070","STK","32650","35000","30700","2.38651","2.600447","0.110666","0.595761","0.000217207","282326.755","4.761905","4507743","214654","149665605300","7126933586"
"2018/04","GS府抛老","007070","STK","37200","37200","33550","3.10075","1.503031","0.101125","0.937695","0.000293347","188526.858","0","4707244","224154","165732816400","7892038876"
"2018/05","GS府抛老","007070","STK","37750","40650","36350","3.002561","1.18629","0.096539","-0.600307","0.000205399","273604.5341","5","6345226","317261","245802793629","12290139681"
"2018/06","GS府抛老","007070","STK","43950","43950","37900","2.300419","0.25901","0.098878","0.100918","0.000139309","311446.9265","5.263158","6018286","316752","251559606650","13239979297"
"2018/07","GS府抛老","007070","STK","33250","42500","29750","3.60914","1.086299","0.111166","0.527685","0.000195013","263148.134","13.636364","9744530","442933","330554028001","15025183091"
"2018/08","GS府抛老","007070","STK","37200","39400","32300","2.394878","0.935042","0.090946","-0.343857","0.000163449","409457.2109","0","6690340","304106","237647271325","10802148697"
"2018/09","GS府抛老","007070","STK","38500","39850","35950","2.335509","0.911851","0.135458","0.227698","0.000218011","210089.3089","5.882353","3365448","197968","128365929712","7550937042"
"2018/10","GS府抛老","007070","STK","35900","40800","35900","2.55532","3.010371","-0.096776","-0.304604","0.000188477","445746.4889","4.761905","5033325","239682","194896136963","9280768427"
"2018/11","GS府抛老","007070","STK","38000","38000","34950","2.429827","0.633278","-0.104471","1.83441","0.000258076","183073.3567","0","4467839","203084","162729767158","7396807598"
"2018/12","GS府抛老","007070","STK","40500","41600","37950","1.471029","1.415124","-0.110068","0.489224","0.000165088","304910.9227","10.526316","3073328","161754","121869089100","6414162584"
"2019/01","GS府抛老","007070","STK","36050","39950","35350","2.303434","1.024965","-0.141044","0.948587","0.000206529","427482.7375","0","5358282","243558","196442098268","8929186285"
"2019/02","GS府抛老","007070","STK","38700","38700","34950","1.522549","0.118873","-0.1477","0.18339","0.000178839","207673.8009","0","2994435","176143","110016917947","6471583409"
"2019/03","GS府抛老","007070","STK","39150","39550","37350","1.671847","-0.305629","-0.150985","0.412504","0.000252023","234724.816","0","2613461","130673","100682687816","5034134391"
"2019/04","GS府抛老","007070","STK","39150","41200","37600","1.67828","1.877167","-0.146659","0.511507","0.000222345","316107.3194","0","2962316","134651","116206793600","5282126982"
"2019/05","GS府抛老","007070","STK","34000","39100","34000","1.310641","0.68488","-0.215251","0.619291","0.000202607","342541.2463","4.761905","3336590","158885","119898764798","5709464990"
"2019/06","GS府抛老","007070","STK","39300","39500","34350","1.300435","-0.673143","-0.22397","0.79757","0.000255104","135069.0662","5.263158","2452881","129099","90351431150","4755338482"
"2019/07","GS府抛老","007070","STK","37300","39400","37300","1.236368","-1.015392","-0.20942","0.830491","0.000247992","194928.3483","4.347826","2921648","127028","113268330325","4924710014"
"2019/08","GS府抛老","007070","STK","38700","40600","37200","2.097077","-0.324836","-0.195653","-0.110604","0.000227493","316594.3506","0","4100734","195273","160529436862","7644258898"
"2019/09","GS府抛老","007070","STK","41250","42000","39200","1.299705","-0.309669","-0.193491","0.372375","0.000216318","270342.0683","0","2370525","124764","97056329950","5108227892"
"2019/10","GS府抛老","007070","STK","38250","41600","38250","1.271875","-0.289479","-0.189675","0.049653","0.000266841","255243.9994","0","2128379","101351","85575530896","4075025281"
"2019/11","GS府抛老","007070","STK","38100","40700","38100","1.541189","-0.214435","-0.187695","0.243759","0.000222634","185025.5978","4.761905","2589377","123304","102100364400","4861922114"
"2019/12","GS府抛老","007070","STK","39250","39550","37250","1.056779","4.148456","-0.212515","0.057638","0.000168015","236592.8011","5","2230163","111508","85304515650","4265225783"
