¿¬¿ù,Á¾¸ñ¸í,Á¾¸ñÄÚµå,½ÃÀå¾ÆÀÌµð,Á¾°¡,ÃÖ°í°¡(Á¾°¡),ÃÖÀú°¡(Á¾°¡),Ç¥ÁØÆíÂ÷,Ã·µµ,°ø¿Öµµ,º£Å¸,Amihud,Amivest,Zeros,°Å·¡·®_ÇÕ°è,°Å·¡·®_ÀÏÆò±Õ,°Å·¡´ë±Ý_ÇÕ°è,°Å·¡´ë±Ý_ÀÏÆò±Õ
"2017/12","·Ôµ¥¼îÇÎ","023530","STK","199000","214500","191500","1.635132","1.27383","0.48989","0.307997","0.000042571","123597.6682","21.052632","2216548","116660","448048425720","23581496091"
"2018/01","·Ôµ¥¼îÇÎ","023530","STK","241500","241500","200500","2.022635","1.551364","0.448171","-0.13825","0.000044965","170029.5155","4.545455","3053782","138808","690306927500","31377587614"
"2018/02","·Ôµ¥¼îÇÎ","023530","STK","206500","255500","206500","3.151149","0.009418","0.372706","1.066165","0.000060745","102655.5847","11.111111","3332278","185127","753516938587","41862052144"
"2018/03","·Ôµ¥¼îÇÎ","023530","STK","234500","234500","199000","2.369435","2.944031","0.349909","0.816254","0.000043576","168688.1269","19.047619","2506436","119354","557704211250","26557343393"
"2018/04","·Ôµ¥¼îÇÎ","023530","STK","256000","264000","246500","2.355607","0.889105","0.339156","0.443428","0.000075304","53583.0481","9.52381","1965647","93602","497365173500","23684055881"
"2018/05","·Ôµ¥¼îÇÎ","023530","STK","224000","254000","216000","2.145594","-0.110496","0.340696","1.488153","0.00006829","97495.9094","0","2165419","108271","501991896250","25099594813"
"2018/06","·Ôµ¥¼îÇÎ","023530","STK","210000","227000","203000","1.791367","-1.096882","0.363468","0.44861","0.000074124","99978.7573","5.263158","1806947","95102","387989513406","20420500706"
"2018/07","·Ôµ¥¼îÇÎ","023530","STK","206000","214500","198000","1.799154","1.294497","0.373447","1.029269","0.000092674","56643.056","18.181818","1380943","62770","282439008275","12838136740"
"2018/08","·Ôµ¥¼îÇÎ","023530","STK","180000","210000","179000","2.040142","4.64454","0.390686","1.770535","0.000056165","134793.4807","9.090909","2104889","95677","396284015207","18012909782"
"2018/09","·Ôµ¥¼îÇÎ","023530","STK","209500","210000","179000","1.911101","2.597779","0.128056","0.472154","0.000061026","112274.5844","11.764706","1659337","97608","323857256554","19050426856"
"2018/10","·Ôµ¥¼îÇÎ","023530","STK","193500","215000","193500","1.920174","0.696903","-0.111772","0.472781","0.000107053","51445.7216","23.809524","1313339","62540","268747387500","12797494643"
"2018/11","·Ôµ¥¼îÇÎ","023530","STK","215500","229000","196000","1.842286","0.126679","-0.090319","0.570674","0.000081466","79494.659","13.636364","1806698","82123","393130885000","17869585682"
"2018/12","·Ôµ¥¼îÇÎ","023530","STK","211000","224500","210000","1.53184","-1.194135","-0.090864","0.135969","0.000109294","79932.9517","0","1134855","59729","246863964000","12992840211"
"2019/01","·Ôµ¥¼îÇÎ","023530","STK","196000","206500","193500","1.379024","1.949658","-0.117884","0.761356","0.000055798","78984.5928","27.272727","1719656","78166","340333825103","15469719323"
