연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2018/01","CJ ENM","035760","KSQ","224700","255000","212500","3.149582","2.728496","-0.036145","0.069713","0.000191276","42909.7564","0","1044464","47476","240119474000","10914521545"
"2018/02","CJ ENM","035760","KSQ","210800","235700","201500","2.699669","0.073607","-0.047552","0.52908","0.000264294","28991.5841","5.555556","756681","42038","163502722200","9083484567"
"2018/03","CJ ENM","035760","KSQ","223400","224500","210800","1.733336","0.295997","-0.057861","0.473135","0.000310542","30619.09","9.52381","455187","21676","99056258500","4716964690"
"2018/04","CJ ENM","035760","KSQ","223600","234600","221000","1.603516","-0.713204","-0.051705","0.320219","0.000273312","97682.5759","0","469509","22358","107238426648","5106591745"
"2018/05","CJ ENM","035760","KSQ","222700","225000","215000","1.617779","-0.886393","-0.056341","0.58914","0.00031649","21604.7764","0","424559","21228","93324228700","4666211435"
"2018/06","CJ ENM","035760","KSQ","279600","279600","214000","3.613819","1.249064","-0.115077","1.160766","0.000182347","54308.8024","5.263158","1025772","53988","247559946600","13029470874"
"2018/07","CJ ENM","035760","KSQ","231900","286400","223100","3.804559","2.064912","-0.136749","1.262534","0.000124926","153834.6793","4.545455","2699645","122711","654679548655","29758161303"
"2018/08","CJ ENM","035760","KSQ","252000","266500","235100","2.685028","-0.929036","-0.109162","0.8565","0.000091619","73879.4354","0","2353014","106955","582499909800","26477268627"
"2018/09","CJ ENM","035760","KSQ","248000","259000","234000","2.208024","-1.234822","-0.111635","1.338988","0.000080633","103289.7906","0","1673856","98462","414343564200","24373150835"
"2018/10","CJ ENM","035760","KSQ","226000","255700","226000","2.173825","-1.059311","-0.423216","0.376961","0.000094025","101412.4641","0","1765299","84062","424845674300","20230746395"
"2018/11","CJ ENM","035760","KSQ","233000","233000","206700","2.905659","0.79045","-0.401979","0.676717","0.000133064","79223.0978","0","1697388","77154","371174567100","16871571232"
"2018/12","CJ ENM","035760","KSQ","201900","234000","199900","1.788734","-0.119489","-0.373747","0.921716","0.000117561","139646.6596","5.263158","1328010","69895","282115836100","14848201900"
"2019/01","CJ ENM","035760","KSQ","212300","216000","191200","1.969881","0.037269","-0.375362","1.307251","0.000114704","122238.6174","0","1330011","60455","273472892400","12430586018"
"2019/02","CJ ENM","035760","KSQ","238300","238300","212700","1.827676","1.264803","-0.384218","0.344988","0.000063781","116735.1344","5.882353","1597785","93987","359958330600","21174019447"
"2019/03","CJ ENM","035760","KSQ","233000","243800","219500","2.058987","-0.955597","-0.410921","0.727056","0.000116778","97924.9085","0","1317929","65896","307288646900","15364432345"
"2019/04","CJ ENM","035760","KSQ","218900","236500","212700","1.336569","0.362507","-0.398358","0.395109","0.000107109","198047.4318","4.545455","1176377","53472","264155187600","12007053982"
"2019/05","CJ ENM","035760","KSQ","191600","223700","181100","2.244749","1.153952","-0.405179","0.787156","0.000132078","78313.3453","0","1450052","69050","282401039500","13447668548"
"2019/06","CJ ENM","035760","KSQ","177000","189100","169700","1.560716","1.536512","-0.386773","-0.075921","0.000075045","154181.1836","0","1529232","80486","273395235900","14389222942"
"2019/07","CJ ENM","035760","KSQ","165700","177900","162200","1.56562","0.680425","-0.366358","0.385341","0.000131862","105968.7742","4.347826","1225802","53296","209453150900","9106658735"
"2019/08","CJ ENM","035760","KSQ","160900","164300","150900","2.605956","-0.017314","-0.359183","0.811178","0.000217155","50468.4139","0","1356781","64609","214755028000","10226429905"
"2019/09","CJ ENM","035760","KSQ","169400","171500","156200","1.932398","1.293667","-0.395582","-0.394873","0.000147552","52858.3848","5.263158","1205314","63438","198558810200","10450463695"
"2019/10","CJ ENM","035760","KSQ","165000","169600","155200","1.708882","2.360237","-0.445588","0.984468","0.000116159","168718.3987","0","1219350","58064","197550559985","9407169523"
"2019/11","CJ ENM","035760","KSQ","152600","174000","148400","2.232056","4.207959","-0.436052","0.668795","0.000110376","113014.2727","0","1976848","94136","308070446400","14670021257"
"2019/12","CJ ENM","035760","KSQ","159600","159600","149400","0.980877","-0.170616","-0.426808","0.116995","0.000081876","197414.4266","0","1360579","68029","209894649700","10494732485"
"2020/01","CJ ENM","035760","KSQ","138200","160800","138200","2.36819","2.379916","-0.317237","0.854798","0.000134848","110974.5293","0","1762798","88140","267910066800","13395503340"
"2020/02","CJ ENM","035760","KSQ","125800","164500","125800","3.526874","1.293729","-0.305942","1.06208","0.000108702","150610.2129","0","4375078","218754","670716723100","33535836155"
"2020/03","CJ ENM","035760","KSQ","104100","129900","81500","5.524423","0.219463","-0.352856","0.954034","0.000283675","113227.5568","0","3165448","143884","324219960200","14737270918"
"2020/04","CJ ENM","035760","KSQ","127900","127900","98100","3.436684","-0.52663","-0.001246","1.113946","0.000186908","103765.0876","0","2805002","140250","312976038200","15648801910"
"2020/05","CJ ENM","035760","KSQ","121000","123300","112800","2.216257","-0.878182","-0.046483","0.808089","0.000122429","210905.4172","0","2152629","113296","255528178000","13448851474"
"2020/06","CJ ENM","035760","KSQ","110300","123500","105000","2.936827","1.393874","-0.040506","0.954226","0.00014479","225604.8121","4.545455","2484107","112914","286318749700","13014488623"
"2020/07","CJ ENM","035760","KSQ","115100","128300","109100","2.12418","4.302849","-0.045552","1.315471","0.000097565","118782.5038","4.347826","2745147","119354","330836544300","14384197578"
"2020/08","CJ ENM","035760","KSQ","118700","133600","112500","3.24669","1.733741","-0.07514","1.161207","0.000119918","214300.4022","0","3654523","182726","453520516500","22676025825"
"2020/09","CJ ENM","035760","KSQ","142300","147200","124400","3.560552","-0.458936","-0.125938","1.280878","0.000109811","141036.2741","0","4574595","217838","627364117900","29874481805"
"2020/10","CJ ENM","035760","KSQ","131500","147200","130400","2.569171","-0.507367","-0.119304","1.305168","0.000125097","330771.4325","0","3382201","178011","469213514500","24695448132"
"2020/11","CJ ENM","035760","KSQ","133200","137900","131200","1.314165","-0.203104","-0.118324","0.357514","0.000079755","156551.1974","0","2036768","96989","275225570900","13105979567"
"2020/12","CJ ENM","035760","KSQ","139500","140000","133300","1.423157","0.505532","-0.123787","-0.039103","0.000054226","327724.6995","0","2858244","136107","390804847500","18609754643"
"2021/01","CJ ENM","035760","KSQ","152900","172800","141800","3.259167","-0.95119","-0.144474","1.417122","0.000059867","178769.7915","0","5262036","263102","840727764900","42036388245"
"2021/02","CJ ENM","035760","KSQ","138300","161900","138300","2.226597","0.364362","-0.130387","0.636251","0.000069268","179690.7812","0","3638582","202143","537550179400","29863898856"
"2021/03","CJ ENM","035760","KSQ","142300","145300","139400","1.125227","0.955752","-0.128399","0.645969","0.000065193","202933.1121","9.090909","1891767","85989","269057131600","12229869618"
"2021/04","CJ ENM","035760","KSQ","144000","149000","140300","1.131667","0.520643","-0.133298","0.511364","0.000048689","246798.2671","9.090909","2374393","107927","342029570600","15546798664"
"2021/05","CJ ENM","035760","KSQ","165300","165300","144800","2.527638","-0.662098","-0.163293","0.864619","0.000066082","137970.9799","0","4538931","238891","696640853950","36665308103"
"2021/06","CJ ENM","035760","KSQ","182700","186800","165000","1.995065","1.092576","-0.199828","0.584773","0.000037869","500983.832","4.545455","4345263","197512","755289895900","34331358905"
"2021/07","CJ ENM","035760","KSQ","163100","189000","163100","1.587149","-0.46073","-0.175975","1.013018","0.000052678","355453.893","0","2804118","127460","496475735900","22567078905"
"2021/08","CJ ENM","035760","KSQ","153100","165500","144000","1.905645","-0.317076","-0.178256","1.093823","0.000082157","148259.6161","0","2576819","122706","399308586900","19014694614"
"2021/09","CJ ENM","035760","KSQ","151400","155900","148000","1.227431","4.179218","-0.159185","0.268198","0.000059621","225699.576","10.526316","1557745","81987","235961581200","12419030589"
"2021/10","CJ ENM","035760","KSQ","176400","185900","149800","2.353672","-0.789215","-0.204357","0.030875","0.000044091","674571.8615","0","4875953","256629","848532575600","44659609242"
"2021/11","CJ ENM","035760","KSQ","135800","180400","135800","3.160551","0.280485","-0.179626","1.223571","0.000065128","281036.4542","0","4453684","202440","729803362335","33172880106"
"2021/12","CJ ENM","035760","KSQ","138800","143100","134300","1.374032","0.659426","-0.181041","0.312821","0.000081536","132040.8317","4.545455","2315550","105252","322453505594","14656977527"
"2022/01","CJ ENM","035760","KSQ","122900","140000","119500","2.302098","-0.565274","-0.241456","0.896281","0.000184191","67417.9216","0","1568203","78410","207460850500","10373042525"
"2022/02","CJ ENM","035760","KSQ","130000","138000","123500","3.364776","2.205562","-0.223467","1.099843","0.000159299","118838.066","0","1939333","107741","252046433400","14002579633"
"2022/03","CJ ENM","035760","KSQ","131400","135000","121600","2.199627","3.174699","-0.219439","1.073224","0.000157266","81876.1865","4.761905","1750179","83342","227163289200","10817299486"
