연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2018/01","대우조선해양","042660","STK","24250","24250","15350","4.952496","-0.815825","0.32532","0.501177","0.00037361","339022.7387","4.545455","17420965","791862","343000866450","15590948475"
"2018/02","대우조선해양","042660","STK","25000","25000","18950","4.525952","-0.681683","0.343312","2.426064","0.000235614","562080.0893","11.111111","15038010","835445","338510614950","18806145275"
"2018/03","대우조선해양","042660","STK","27600","29000","23650","3.733339","1.212429","0.32499","1.156278","0.000122927","994423.8891","0","23281091","1108623","633286114200","30156481629"
"2018/04","대우조선해양","042660","STK","24000","27900","24000","3.07699","0.556635","0.324325","1.294502","0.000133455","608449.7461","0","14234474","677832","375169902600","17865233457"
"2018/05","대우조선해양","042660","STK","27150","27550","24200","2.13497","-1.35209","0.30299","0.493813","0.000124822","549462.1715","0","11483766","574188","302362217775","15118110889"
"2018/06","대우조선해양","042660","STK","27000","27900","23550","3.285329","-0.595777","0.314231","2.353166","0.000170528","348152.8861","0","12563777","661251","327904439350","17258128387"
"2018/07","대우조선해양","042660","STK","26350","26450","23100","3.317241","1.222015","0.339749","2.024417","0.000184001","360718.8266","4.545455","10524053","478366","261757930434","11898087747"
"2018/08","대우조선해양","042660","STK","28450","29300","25300","2.544859","5.703151","0.326486","0.187952","0.000122664","602023.0814","0","10020302","455468","275595912825","12527086947"
"2018/09","대우조선해양","042660","STK","34650","34950","29150","1.892943","-1.264034","0.082314","-0.853172","0.000104677","640401.262","5.882353","9134896","537347","291600396410","17152964495"
"2018/10","대우조선해양","042660","STK","29250","37850","27300","3.579595","-0.737085","-0.208329","1.032893","0.00016278","262724.5866","0","13388829","637563","429986818200","20475562771"
"2018/11","대우조선해양","042660","STK","32850","37200","28400","3.182277","-0.535737","-0.18193","1.438191","0.000136682","677671.621","4.545455","17822107","810096","599045867829","27229357629"
"2018/12","대우조선해양","042660","STK","34150","37400","32500","3.73878","1.047969","-0.186796","1.539559","0.000136372","447073.7152","0","10067989","529894","350295755650","18436618718"
"2019/01","대우조선해양","042660","STK","37000","37000","31400","2.317287","1.313686","-0.188816","0.085716","0.000107373","582457.3725","4.545455","16448662","747666","590000034900","26818183405"
"2019/02","대우조선해양","042660","STK","31600","34600","31000","2.697291","3.442433","-0.173252","0.180413","0.000075239","758548.8342","0","12413468","730204","412088399700","24240494100"
"2019/03","대우조선해양","042660","STK","27950","31600","27150","1.815945","-0.115092","-0.162518","1.442118","0.000194738","336266.5462","10","6495007","324750","189721859950","9486092998"
"2019/04","대우조선해양","042660","STK","29050","30050","28250","1.81162","0.931059","-0.177508","1.414614","0.00021168","316177.8336","0","4754783","216127","138782577550","6308298980"
"2019/05","대우조선해양","042660","STK","29800","29900","27000","2.054452","-0.626829","-0.135284","1.797342","0.000284142","258401.3826","0","4005230","190725","114443843750","5449706845"
"2019/06","대우조선해양","042660","STK","32700","33000","29150","1.670185","1.276718","-0.15003","0.235536","0.000171284","337385.6751","0","4518784","237831","142716573600","7511398611"
"2019/07","대우조선해양","042660","STK","29350","32750","28850","1.661096","0.907273","-0.146999","0.479091","0.000373562","114924.7414","4.347826","2504605","108896","77969570450","3389981324"
"2019/08","대우조선해양","042660","STK","27300","28500","23950","3.665746","3.096487","-0.131946","2.538826","0.000410051","239321.7564","0","4136676","196985","105775223050","5036915383"
"2019/09","대우조선해양","042660","STK","30600","31500","27650","1.801525","0.499837","-0.161876","1.439652","0.000327149","146369.7689","5.263158","2961650","155876","88887441550","4678286397"
"2019/10","대우조선해양","042660","STK","28150","30600","28150","1.558301","-1.042373","-0.159048","1.428715","0.000402302","109127.1834","4.761905","2561638","121983","76224393950","3629733045"
"2019/11","대우조선해양","042660","STK","26350","29250","26000","1.592921","0.916955","-0.146632","1.26442","0.000372253","165997.7724","0","2539690","120938","70282285700","3346775510"
"2019/12","대우조선해양","042660","STK","27850","28150","25850","1.542313","-0.311297","-0.168184","0.595732","0.000289481","201390.4377","5","2751299","137565","74965618850","3748280943"
"2020/01","대우조선해양","042660","STK","24700","27500","24650","2.069405","0.76042","-0.165295","1.28282","0.000460796","114493.4844","10","2331596","116580","61486269650","3074313483"
"2020/02","대우조선해양","042660","STK","22150","25900","22150","2.494459","4.883323","-0.154858","1.306348","0.00041333","125649.2906","5","3132014","156601","76255228750","3812761438"
"2020/03","대우조선해양","042660","STK","13450","23150","11200","5.7706","-0.51556","-0.395687","1.214059","0.000831114","185205.018","4.545455","9313346","423334","135664367500","6166562159"
"2020/04","대우조선해양","042660","STK","17150","17700","13200","3.414386","-1.074611","0.050238","1.164186","0.000421723","245730.1358","10","9113588","455679","147786022650","7389301133"
"2020/05","대우조선해양","042660","STK","21800","21800","16250","3.630004","1.348052","0.042191","1.655393","0.000318184","251183.5883","5.263158","9492358","499598","179085130900","9425533205"
"2020/06","대우조선해양","042660","STK","27050","29350","23400","5.449543","0.887688","0.045183","1.565969","0.00012862","689810.4838","4.545455","30713453","1396066","837345504900","38061159314"
"2020/07","대우조선해양","042660","STK","23650","24900","22350","2.645728","2.319944","-0.036327","1.36073","0.000219587","303718.3754","4.347826","7451643","323984","178656734850","7767684124"
"2020/08","대우조선해양","042660","STK","22150","25650","22100","3.582532","1.921299","-0.066824","1.813436","0.000255849","331857.7079","5","8039778","401989","192804427650","9640221383"
"2020/09","대우조선해양","042660","STK","23800","25050","22000","2.697841","-1.152948","-0.067827","1.494324","0.000322252","194535.3485","4.761905","6683482","318261","157225754100","7486940671"
"2020/10","대우조선해양","042660","STK","21350","24500","21350","1.657023","-1.342456","-0.045501","1.102548","0.000288676","252005.2087","0","5454873","287099","128245798500","6749778868"
"2020/11","대우조선해양","042660","STK","27050","27250","21400","2.839258","0.750245","0.010609","1.444394","0.000173091","419078.9221","0","14002033","666763","360057580050","17145599050"
"2020/12","대우조선해양","042660","STK","27400","28500","26100","1.557571","-0.934501","-0.02649","1.079694","0.000109283","516223.2003","4.761905","8843386","421114","242849438200","11564258962"
"2021/01","대우조선해양","042660","STK","24450","29550","24450","2.443827","-0.639372","-0.055376","0.963716","0.000174451","640538.178","5","9503798","475190","266049787350","13302489368"
"2021/02","대우조선해양","042660","STK","25450","27100","25450","2.092469","-0.424377","-0.073171","1.016791","0.00031159","153451.5499","5.555556","3879519","215529","101265612850","5625867381"
"2021/03","대우조선해양","042660","STK","28300","29050","24850","2.270468","2.326194","-0.067782","0.293821","0.000140865","396116.7317","18.181818","9264385","421108","253595063300","11527048332"
"2021/04","대우조선해양","042660","STK","36700","36700","27400","2.714456","1.066867","-0.062844","-0.853239","0.000118539","403612.4745","4.545455","12306158","559371","387504798300","17613854468"
"2021/05","대우조선해양","042660","STK","33700","40300","32700","2.900474","0.12029","-0.08529","1.254232","0.000077334","631786.8304","5.263158","18463832","971781","677307661000","35647771632"
"2021/06","대우조선해양","042660","STK","35800","39400","35450","2.725881","6.822825","-0.117945","2.447657","0.000086335","455372.132","4.545455","14068752","639489","524103478750","23822885398"
"2021/07","대우조선해양","042660","STK","32500","36050","32150","1.929159","-0.299344","-0.099329","2.203634","0.000171014","289719.1251","0","6484673","294758","218544631500","9933846886"
"2021/08","대우조선해양","042660","STK","28050","32450","25200","2.859186","0.630952","-0.090009","2.107945","0.000176456","302801.9568","4.761905","8275611","394077","236385988650","11256475650"
"2021/09","대우조선해양","042660","STK","26900","29650","25900","2.563125","-1.100134","-0.0752","0.962385","0.000196069","276840.9502","0","7534246","396539","209250427600","11013180400"
"2021/10","대우조선해양","042660","STK","25800","26350","23150","3.000032","2.41479","-0.078807","1.40443","0.000178928","431935.6827","5.263158","9047738","476197","221882066950","11678003524"
"2021/11","대우조선해양","042660","STK","23100","26350","23100","2.843092","3.405252","-0.077198","1.619445","0.00014998","610115.1509","4.545455","14747670","670349","363205321400","16509332791"
"2021/12","대우조선해양","042660","STK","23050","25150","22650","1.794162","0.731593","-0.088258","1.222587","0.000190971","332453.932","4.545455","6481497","294614","153685471450","6985703248"
"2022/01","대우조선해양","042660","STK","19750","25550","18350","3.781889","0.170573","-0.097282","1.695123","0.000295484","324261.2261","5","9365336","468267","216785876550","10839293828"
"2022/02","대우조선해양","042660","STK","26500","27000","20800","5.749567","9.198782","-0.124018","2.141026","0.000387972","612136.0781","0","12917876","717660","321802324200","17877906900"
"2022/03","대우조선해양","042660","STK","24800","27500","23650","3.0579","-0.744371","-0.128121","-0.18389","0.00015293","427519.1154","4.761905","13806881","657471","357018866500","17000898405"
"2022/04","대우조선해양","042660","STK","26300","28150","23750","2.948134","0.156105","-0.126621","1.181602","0.000197336","345845.8632","0","11231728","534844","296716643250","14129363964"
"2022/05","대우조선해양","042660","STK","22050","26050","20500","2.799552","5.165145","-0.078412","0.415686","0.000174656","322689.1194","4.761905","9260376","440970","209408873950","9971851140"
"2022/06","대우조선해양","042660","STK","24000","24000","20350","3.863482","0.236154","-0.007595","1.472422","0.000246709","431005.8425","0","9660261","483013","214998876950","10749943848"
"2022/07","대우조선해양","042660","STK","19850","23450","19200","2.986105","2.268893","-0.007779","1.993762","0.000196535","454050.0819","4.761905","10476423","498877","212974802050","10141657240"
"2022/08","대우조선해양","042660","STK","20150","21950","20150","2.250992","1.239648","-0.019453","-0.078514","0.00016624","281762.417","18.181818","9374434","426111","196984534750","8953842489"
"2022/09","대우조선해양","042660","STK","18950","24950","18450","6.244003","3.673396","-0.01707","-0.509639","0.000169888","461624.2362","5","36933987","1846699","812715156200","40635757810"
"2022/10","대우조선해양","042660","STK","18300","21000","17600","3.477995","0.920143","-0.016046","1.645873","0.000255041","323021.5743","5.263158","10593006","557527","201145669900","10586614205"
"2022/11","대우조선해양","042660","STK","19100","20150","18350","1.976475","0.307152","-0.03808","0.895698","0.000262064","304119.3627","9.090909","7142979","324681","136765159550","6216598161"
"2022/12","대우조선해양","042660","STK","18850","19250","18200","1.65866","2.636403",,"1.067144","0.000252758","450222.4958","0","3412237","284353","64849412400","5404117700"
