¿¬¿ù,Á¾¸ñ¸í,Á¾¸ñÄÚµå,½ÃÀå¾ÆÀÌµð,Á¾°¡,ÃÖ°í°¡(Á¾°¡),ÃÖÀú°¡(Á¾°¡),Ç¥ÁØÆíÂ÷,Ã·µµ,°ø¿Öµµ,º£Å¸,Amihud,Amivest,Zeros,°Å·¡·®_ÇÕ°è,°Å·¡·®_ÀÏÆò±Õ,°Å·¡´ë±Ý_ÇÕ°è,°Å·¡´ë±Ý_ÀÏÆò±Õ
"2018/01","Çö´ëÁ¦Ã¶","004020","STK","57000","60500","57000","1.648344","-1.17756","0.369793","-0.449215","0.000053317","529153.8655","0","9796204","445282","575835213750","26174327898"
"2018/02","Çö´ëÁ¦Ã¶","004020","STK","53600","57900","52200","1.168601","-0.560395","0.353218","0.663275","0.000048234","659620.5265","0","5902923","327940","318965109600","17720283867"
"2018/03","Çö´ëÁ¦Ã¶","004020","STK","51000","52400","49450","1.896604","-0.48058","0.361577","1.040107","0.000087859","325822.9579","4.761905","7372430","351068","377913745850","17995892660"
"2018/04","Çö´ëÁ¦Ã¶","004020","STK","60600","60600","49850","3.123982","10.414278","0.325042","1.544075","0.000040989","573037.5062","19.047619","10828021","515620","590107022800","28100334419"
"2018/05","Çö´ëÁ¦Ã¶","004020","STK","61800","68700","58700","4.548478","4.251528","0.309858","1.753429","0.000028846","1356009.1557","0","31805209","1590260","2058042570291","102902128515"
"2018/06","Çö´ëÁ¦Ã¶","004020","STK","52600","64800","51800","3.19129","-0.717223","0.385078","2.282583","0.000045621","496330.1855","5.263158","23574771","1240777","1398455021800","73602895884"
"2018/07","Çö´ëÁ¦Ã¶","004020","STK","53700","53800","47400","2.203015","0.567128","0.413006","1.560838","0.000064974","797298.8041","0","10927915","496723","542999050075","24681775003"
"2018/08","Çö´ëÁ¦Ã¶","004020","STK","53300","54900","52100","1.553205","0.285251","0.406507","1.416664","0.000075852","371576.0503","4.545455","6950470","315930","372731774800","16942353400"
"2018/09","Çö´ëÁ¦Ã¶","004020","STK","56500","57300","51800","2.035627","0.675034","0.128448","1.368068","0.000060168","230773.9751","23.529412","6821144","401244","372438652157","21908156009"
"2018/10","Çö´ëÁ¦Ã¶","004020","STK","41750","56100","41550","1.843093","0.22372","-0.774643","1.01975","0.00007197","449483.8635","0","9577525","456073","455651306002","21697681238"
"2018/11","Çö´ëÁ¦Ã¶","004020","STK","43100","45000","41550","2.277181","-0.081616","-0.775993","1.364463","0.000101093","456995.8383","0","8377838","380811","362958122206","16498096464"
"2018/12","Çö´ëÁ¦Ã¶","004020","STK","45250","48150","43800","2.245359","2.556124","-0.785918","1.385362","0.000102666","322516.8693","0","6876140","361902","315652655950","16613297682"
"2019/01","Çö´ëÁ¦Ã¶","004020","STK","51200","51700","44000","2.21893","4.640689","-0.798734","1.72598","0.000084656","461888.1199","4.545455","7904603","359300","391704471350","17804748698"
"2019/02","Çö´ëÁ¦Ã¶","004020","STK","49850","51300","49300","1.365118","-0.211075","-0.804247","1.379532","0.000076519","461845.2411","0","4560007","268236","229795042350","13517355432"
"2019/03","Çö´ëÁ¦Ã¶","004020","STK","44900","49650","44500","1.286156","3.981287","-0.773177","0.882234","0.000063477","721949.988","10","5616643","280832","261860732400","13093036620"
"2019/04","Çö´ëÁ¦Ã¶","004020","STK","46300","48950","45800","1.606713","0.775405","-0.791303","1.506155","0.000101141","395243.3857","4.545455","5111639","232347","243111640505","11050529114"
"2019/05","Çö´ëÁ¦Ã¶","004020","STK","40800","45850","40250","1.068928","0.59654","-0.757373","0.932943","0.000091944","554558.2687","0","5355444","255021","226141971400","10768665305"
"2019/06","Çö´ëÁ¦Ã¶","004020","STK","41800","42300","40100","1.030329","-0.732813","-0.753794","1.212429","0.000083744","413653.7762","0","5098348","268334","211450760050","11128987371"
"2019/07","Çö´ëÁ¦Ã¶","004020","STK","38800","42750","38800","1.429528","-0.765232","-0.706836","1.191146","0.000127649","354227.9855","0","5896982","256391","237277793250","10316425793"
"2019/08","Çö´ëÁ¦Ã¶","004020","STK","37300","38000","35850","1.634656","0.454205","-0.66598","1.179213","0.000124684","502098.5796","4.761905","6051387","288161","222145397250","10578352250"
"2019/09","Çö´ëÁ¦Ã¶","004020","STK","38900","40750","37350","1.140174","0.309773","-0.676031","1.254422","0.000095216","395585.403","5.263158","4227896","222521","166119139500","8743112605"
"2019/10","Çö´ëÁ¦Ã¶","004020","STK","31800","39000","31800","1.572087","-0.6592","-0.654031","1.399065","0.000103426","415112.0157","0","8360347","398112","292253793800","13916847324"
"2019/11","Çö´ëÁ¦Ã¶","004020","STK","31750","32950","31050","1.372349","1.249873","-0.669681","1.158062","0.000067395","1011149.1385","0","10038437","478021","322543432486","15359211071"
