¿¬¿ù,Á¾¸ñ¸í,Á¾¸ñÄÚµå,½ÃÀå¾ÆÀÌµð,Á¾°¡,ÃÖ°í°¡(Á¾°¡),ÃÖÀú°¡(Á¾°¡),Ç¥ÁØÆíÂ÷,Ã·µµ,°ø¿Öµµ,º£Å¸,Amihud,Amivest,Zeros,°Å·¡·®_ÇÕ°è,°Å·¡·®_ÀÏÆò±Õ,°Å·¡´ë±Ý_ÇÕ°è,°Å·¡´ë±Ý_ÀÏÆò±Õ
"2018/01","POSCOÈ¦µù½º","005490","STK","380500","395000","339000","2.176908","0.624147","-0.171516","0.732771","0.000017635","403396.4824","0","5213493","236977","1959186255706","89053920714"
"2018/02","POSCOÈ¦µù½º","005490","STK","361500","395000","352000","2.230035","-0.49152","-0.187906","1.220631","0.000021848","202213.3815","5.555556","3919377","217743","1446462814892","80359045272"
"2018/03","POSCOÈ¦µù½º","005490","STK","325500","358000","321500","2.673039","-0.158576","-0.176224","1.375614","0.000020955","268853.8655","9.52381","5598363","266589","1917980488000","91332404190"
"2018/04","POSCOÈ¦µù½º","005490","STK","372500","372500","313000","2.253766","0.562044","-0.184778","1.307513","0.000019226","371600.7465","0","5119698","243795","1725706416992","82176496047"
"2018/05","POSCOÈ¦µù½º","005490","STK","339500","372500","339500","1.980376","-0.639176","-0.156542","0.960581","0.000021799","327145.064","5","4413870","220694","1576804140773","78840207039"
"2018/06","POSCOÈ¦µù½º","005490","STK","329000","372000","322000","2.660716","-1.075147","-0.110746","1.915734","0.000027905","112642.3194","10.526316","4267161","224587","1496564896486","78766573499"
"2018/07","POSCOÈ¦µù½º","005490","STK","330500","330500","305000","1.869891","0.28434","-0.090616","0.881981","0.000021789","341173.6131","4.545455","4395552","199798","1392929603331","63314981970"
"2018/08","POSCOÈ¦µù½º","005490","STK","326500","334500","313000","1.733215","-0.529734","-0.092737","1.402595","0.000020691","363837.5235","0","4465678","202985","1455363054968","66152866135"
"2018/09","POSCOÈ¦µù½º","005490","STK","294500","319500","291500","1.607007","0.211562","-0.040604","1.518101","0.000010258","680422.2772","5.882353","7183975","422587","2154247717617","126720453977"
"2018/10","POSCOÈ¦µù½º","005490","STK","258000","295500","254000","2.504071","0.568279","-0.50967","1.171026","0.000021184","319246.3734","4.761905","6242985","297285","1674430887575","79734804170"
"2018/11","POSCOÈ¦µù½º","005490","STK","247500","274000","239500","2.28875","0.902262","-0.519801","1.494746","0.000022798","323555.0402","0","6626205","301191","1681670392834","76439563311"
"2018/12","POSCOÈ¦µù½º","005490","STK","243000","259500","241500","1.831604","1.33574","-0.522036","1.303126","0.000023609","273287.0926","0","4800921","252680","1201845519048","63255027318"
"2019/01","POSCOÈ¦µù½º","005490","STK","274000","285000","237000","2.248764","0.812349","-0.52304","1.682372","0.000022522","402830.9099","4.545455","5720537","260024","1493522290760","67887376853"
"2019/02","POSCOÈ¦µù½º","005490","STK","263000","276000","262500","1.698944","0.944643","-0.517649","0.723059","0.000017175","398768.2596","0","4493566","264327","1206376888310","70963346371"
"2019/03","POSCOÈ¦µù½º","005490","STK","253000","263500","248000","1.288176","0.020311","-0.499761","1.059755","0.000016909","430721.5275","0","4607397","230370","1179231849566","58961592478"
"2019/04","POSCOÈ¦µù½º","005490","STK","255000","276500","254500","1.63098","4.455248","-0.498403","1.304183","0.000015912","360954.5989","9.090909","5309857","241357","1411587600645","64163072757"
"2019/05","POSCOÈ¦µù½º","005490","STK","237500","254000","229000","0.957428","0.297193","-0.502101","0.445661","0.000016438","359797.9427","4.761905","5031555","239598","1208168404015","57531828763"
"2019/06","POSCOÈ¦µù½º","005490","STK","244500","245000","234000","1.144984","-0.908412","-0.49868","1.23482","0.000015767","255308.1084","10.526316","4398549","231503","1056962501536","55629605344"
"2019/07","POSCOÈ¦µù½º","005490","STK","225500","252000","225500","1.203222","1.362554","-0.501578","0.830496","0.000022252","248371.1747","4.347826","4313326","187536","1030868444000","44820367130"
"2019/08","POSCOÈ¦µù½º","005490","STK","211000","224000","203500","1.574915","0.239009","-0.481426","1.371013","0.000025902","305548.3878","4.761905","4854046","231145","1013995872990","48285517761"
"2019/09","POSCOÈ¦µù½º","005490","STK","227000","238000","210500","1.780157","5.331585","-0.489848","1.557921","0.000018021","277693.948","21.052632","4637774","244093","1053833236050","55464907161"
"2019/10","POSCOÈ¦µù½º","005490","STK","211500","229000","211000","1.485033","2.240081","-0.489304","1.092142","0.000021016","383223.8387","4.761905","4636054","220764","1020455473593","48593117790"
"2019/11","POSCOÈ¦µù½º","005490","STK","230500","233500","213500","1.42612","-0.24789","-0.507301","0.91564","0.000018853","371035.3889","0","5106830","243182","1146894393352","54614018731"
"2019/12","POSCOÈ¦µù½º","005490","STK","236500","248500","227000","1.336767","-0.111425","-0.534168","1.551894","0.000020367","338933.2984","0","4472560","223628","1065707205195","53285360260"
"2020/01","POSCOÈ¦µù½º","005490","STK","221000","247000","221000","1.874435","3.695168","-0.500509","1.267009","0.000017774","352784.8061","10","5296792","264840","1243995665670","62199783284"
