연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2018/01","호텔신라","008770","STK","93000","97000","83200","2.161314","0.265043","0.064315","-0.538984","0.0000425","469000.7872","4.545455","9562959","434680","883548780714","40161308214"
"2018/02","호텔신라","008770","STK","81800","97100","81300","2.953024","0.623527","0.043504","1.869373","0.000068007","371331.6297","0","6071584","337310","525117197218","29173177623"
"2018/03","호텔신라","008770","STK","95900","95900","80600","2.998888","5.562178","0.041419","1.107948","0.000045757","866221.1421","4.761905","8948339","426111","805109321576","38338539123"
"2018/04","호텔신라","008770","STK","116000","116000","100000","2.74971","-0.146609","0.033273","1.857909","0.000050877","277549.499","0","9365644","445983","983907787233","46852751773"
"2018/05","호텔신라","008770","STK","124000","127500","118000","2.265075","0.799071","0.032827","0.701845","0.000038815","220561.8202","20","7030636","351532","855492308770","42774615439"
"2018/06","호텔신라","008770","STK","123500","132000","116000","2.918654","-1.003648","0.041116","1.030384","0.000058121","159332.9945","10.526316","6270399","330021","779105858860","41005571519"
"2018/07","호텔신라","008770","STK","99800","119000","90800","4.073195","1.390998","0.06227","1.303694","0.000036836","493607.6795","9.090909","15299332","695424","1546442935678","70292860713"
"2018/08","호텔신라","008770","STK","108000","108000","97500","2.888887","0.721071","0.036167","2.509292","0.000041426","314540.0586","13.636364","9583625","435619","991539637400","45069983518"
"2018/09","호텔신라","008770","STK","108500","109000","98200","2.203679","-0.871439","0.232998","1.222939","0.000043272","257871.572","5.882353","6755400","397376","699826341048","41166255356"
"2018/10","호텔신라","008770","STK","71300","108000","71300","3.366323","0.373972","-0.645727","1.767109","0.000043517","488285.3321","9.52381","16612747","791083","1397395944170","66542664008"
"2018/11","호텔신라","008770","STK","86300","86300","72300","3.870924","4.008472","-0.611704","2.252609","0.000031288","781863.7144","9.090909","18317793","832627","1469202031000","66781910500"
"2018/12","호텔신라","008770","STK","76500","86300","72500","2.634073","2.003307","-0.60795","1.443793","0.00004013","783661.6608","0","11474062","603898","905949220200","47681537905"
"2019/01","호텔신라","008770","STK","76600","81100","69500","2.917986","0.14268","-0.616913","1.056428","0.000034163","634209.7414","0","18807088","854868","1403650202400","63802281927"
"2019/02","호텔신라","008770","STK","82000","85900","72400","2.231741","0.201438","-0.620908","1.694494","0.000023865","1125932.0908","5.882353","13926605","819212","1103412697558","64906629268"
"2019/03","호텔신라","008770","STK","95400","95400","80600","2.745838","0.500714","-0.631393","1.139202","0.000027056","1363396.3212","0","15329398","766470","1356059161141","67802958057"
"2019/04","호텔신라","008770","STK","115000","115000","92900","2.165049","-0.241363","-0.653502","0.360768","0.000032391","582429.4491","4.545455","11480147","521825","1172830056800","53310457127"
"2019/05","호텔신라","008770","STK","94600","114500","91200","3.050721","-0.154102","-0.623897","1.404849","0.000034023","663530.665","4.761905","12719401","605686","1273237766704","60630369843"
"2019/06","호텔신라","008770","STK","97000","103000","90700","2.463744","0.589004","-0.632076","2.05099","0.000037224","422537.2236","5.263158","8177219","430380","784482038800","41288528358"
"2019/07","호텔신라","008770","STK","78700","98700","77900","2.175462","0.301466","-0.608141","0.964551","0.000038449","550186.5537","0","12170557","529155","1044787232300","45425531839"
"2019/08","호텔신라","008770","STK","78800","81400","74000","2.62984","-0.454391","-0.571275","1.291034","0.000062551","291801.1023","0","9660292","460014","751804874120","35800232101"
"2019/09","호텔신라","008770","STK","86200","86800","78800","1.857525","2.517697","-0.58146","0.01657","0.000035924","538854.9151","10.526316","7304849","384466","616920307800","32469489884"
"2019/10","호텔신라","008770","STK","77500","82500","75100","2.040718","1.028987","-0.598311","0.319246","0.000036779","404328.1977","4.761905","9849128","469006","774797730700","36895130033"
"2019/11","호텔신라","008770","STK","84700","84700","79100","1.608901","1.506514","-0.629396","0.761089","0.000044783","362991.0784","9.52381","7082457","337260","581031511700","27668167224"
"2019/12","호텔신라","008770","STK","90800","90800","80600","1.800702","0.476941","-0.687749","0.912103","0.000051551","451670.7356","0","5646274","282314","479811334500","23990566725"
"2020/01","호텔신라","008770","STK","87400","108500","87000","3.60501","1.978257","-0.652677","2.130692","0.000034139","511193.7034","0","17152450","857623","1653086710110","82654335506"
"2020/02","호텔신라","008770","STK","80300","97600","80300","3.223283","0.115802","-0.595319","1.649546","0.000031535","674978.3656","5","16806334","840317","1519556745300","75977837265"
"2020/03","호텔신라","008770","STK","70500","86700","61800","5.20485","-0.576342","-0.557201","1.069296","0.00006774","650347.8979","0","19952476","906931","1475540031100","67070001414"
"2020/04","호텔신라","008770","STK","85200","85200","67000","2.669522","-0.699566","-0.179971","1.075562","0.000035233","743301.8498","0","17069710","853486","1303115637200","65155781860"
"2020/05","호텔신라","008770","STK","79200","84800","79200","1.94618","1.373158","-0.175384","1.054048","0.000030845","512322.208","5.263158","11302888","594889","921756251400","48513486916"
"2020/06","호텔신라","008770","STK","71000","83300","66000","2.701066","2.703141","-0.210427","0.912178","0.000040142","829437.0677","0","16634213","756101","1260712178300","57305099014"
"2020/07","호텔신라","008770","STK","70300","72000","68800","1.617124","-0.273594","-0.227762","0.713918","0.000044307","522755.3507","0","8827000","383783","623131519200","27092674748"
"2020/08","호텔신라","008770","STK","70300","78900","69300","3.047623","4.544615","-0.265965","1.25786","0.000039189","666771.5229","0","15455708","772785","1140985510600","57049275530"
"2020/09","호텔신라","008770","STK","76100","77500","72200","2.287482","-0.497455","-0.264045","0.985041","0.000037309","843464.8795","0","13919303","662824","1044444831302","49735468157"
"2020/10","호텔신라","008770","STK","74200","77900","74200","1.429528","1.903829","-0.261754","0.637051","0.000037045","1054300.0368","0","8586847","451939","657876647100","34625086689"
"2020/11","호텔신라","008770","STK","80000","83500","74900","1.735974","3.797979","-0.278317","0.310522","0.000025929","805988.335","0","15238410","725639","1227481115500","58451481690"
"2020/12","호텔신라","008770","STK","82300","85000","79700","1.423206","2.396735","-0.319623","0.830851","0.000022854","1117185.4875","4.761905","11663425","555401","962179008800","45818048038"
"2021/01","호텔신라","008770","STK","80900","88500","80900","1.764174","0.481306","-0.361177","0.365121","0.00001493","1538411.6966","5","22049002","1102450","1868241733675","93412086684"
"2021/02","호텔신라","008770","STK","81600","84800","81100","1.271003","-0.307573","-0.384836","0.175901","0.000016647","729409.9145","22.222222","11788695","654928","974983050300","54165725017"
"2021/03","호텔신라","008770","STK","86900","88000","82400","1.261546","2.810027","-0.389978","0.210596","0.000018005","1523386.1636","0","12885500","585705","1106544808900","50297491314"
"2021/04","호텔신라","008770","STK","86500","88600","83400","1.249324","0.968846","-0.396181","0.107895","0.000019085","1017112.5381","4.545455","13137265","597148","1132769610200","51489527736"
"2021/05","호텔신라","008770","STK","101500","101500","89200","2.038744","-0.850315","-0.434784","0.174489","0.000017976","1030835.6088","0","18799189","989431","1761406599100","92705610479"
"2021/06","호텔신라","008770","STK","97000","101500","95400","1.590595","-0.400696","-0.443998","-0.045753","0.000020846","965171.0528","0","12836187","583463","1259546525100","57252114777"
"2021/07","호텔신라","008770","STK","93500","97200","91900","1.634418","2.091993","-0.452489","1.707555","0.00003476","672687.7498","0","7947151","361234","750864504155","34130204734"
"2021/08","호텔신라","008770","STK","89800","94400","84300","1.864671","1.876875","-0.445631","1.458646","0.000034781","595178.1081","4.761905","6997395","333209","627376143200","29875054438"
"2021/09","호텔신라","008770","STK","86600","90400","86500","1.267676","5.377815","-0.442379","1.104117","0.000031182","526053.8606","5.263158","5734084","301794","508453119000","26760690474"
"2021/10","호텔신라","008770","STK","87400","92800","84700","1.774844","0.605398","-0.453919","0.304175","0.000030244","642757.8117","0","8864959","466577","797893165900","41994377153"
