연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2018/01","신세계","004170","STK","343000","343000","280500","3.138653","2.154133","0.447202","0.204989","0.000098253","80030.4215","0","1638790","74490","522276757500","23739852614"
"2018/02","신세계","004170","STK","343000","358000","309500","3.079974","-0.736462","0.457928","1.334527","0.000133079","69597.799","0","1181647","65647","392930973000","21829498500"
"2018/03","신세계","004170","STK","357500","357500","321500","2.876999","-1.284254","0.457928","1.567184","0.000149394","29052.8071","0","1141929","54378","383027247250","18239392726"
"2018/04","신세계","004170","STK","417500","417500","366500","2.64175","0.644895","0.441535","0.616256","0.00008592","50556.2404","9.52381","1247552","59407","487348746966","23207083189"
"2018/05","신세계","004170","STK","439000","465500","394500","2.987114","0.358672","0.422121","0.708829","0.000071803","39448.5759","15","1280973","64049","551443454775","27572172739"
"2018/06","신세계","004170","STK","401500","445000","382500","3.271707","0.434895","0.452366","1.940962","0.000058181","101713.8756","0","1865528","98186","765715082500","40300793816"
"2018/07","신세계","004170","STK","332000","387500","303500","3.531215","0.098764","0.452223","1.073495","0.000075175","100461.4615","0","2366069","107549","786684402637","35758381938"
"2018/08","신세계","004170","STK","324500","346500","280500","3.213858","2.026116","0.459144","1.728146","0.000069716","62732.3725","9.090909","2097492","95341","651957265500","29634421159"
"2018/09","신세계","004170","STK","362500","362500","309000","2.744242","-0.635167","0.278197","1.43435","0.000078265","55093.3979","0","1372726","80749","465305224000","27370895529"
"2018/10","신세계","004170","STK","258500","363500","252000","3.78893","2.458583","-0.559783","1.530768","0.000108259","61243.0296","0","2082537","99168","608133409000","28958733762"
"2018/11","신세계","004170","STK","291000","303000","252500","3.252842","2.674455","-0.549432","1.239618","0.000094454","53490.7249","4.545455","1969058","89503","546492254500","24840557023"
"2018/12","신세계","004170","STK","256000","294000","246500","2.154641","1.166714","-0.541943","1.327032","0.000094343","74413.1224","0","1265171","66588","335675237292","17667117752"
"2019/01","신세계","004170","STK","264500","274500","236500","2.32663","-0.43241","-0.575083","1.05394","0.000082098","123948.8632","0","2049178","93144","522969141685","23771324622"
"2019/02","신세계","004170","STK","285500","293000","251500","2.296361","-0.412803","-0.579016","0.908127","0.000081793","81980.4702","5.882353","1282882","75464","349552057500","20561885735"
"2019/03","신세계","004170","STK","337500","337500","283000","2.596414","1.367786","-0.592561","0.967491","0.000084835","75804.1264","0","1419756","70988","436491837500","21824591875"
"2019/04","신세계","004170","STK","340000","340000","315000","1.759377","-0.074063","-0.609943","0.045928","0.000057897","114092.7854","4.545455","1436538","65297","465287838368","21149447199"
"2019/05","신세계","004170","STK","298000","341000","288500","2.765935","-0.437094","-0.591907","1.335182","0.000100222","63260.7341","0","1417339","67492","435183413000","20723019667"
"2019/06","신세계","004170","STK","301000","312000","293500","1.852116","0.847587","-0.590235","2.080257","0.000097124","38901.1156","5.263158","844997","44474","255012105000","13421689737"
"2019/07","신세계","004170","STK","253500","306500","253500","1.745394","-0.496949","-0.563132","1.1894","0.000128353","54889.4342","4.347826","965984","41999","266920402140","11605234876"
"2019/08","신세계","004170","STK","231000","260000","216500","2.511305","-0.564159","-0.517722","1.233448","0.000189606","27777.9028","4.761905","1085907","51710","250037292500","11906537738"
"2019/09","신세계","004170","STK","262500","267500","236500","2.665885","-0.274216","-0.53897","0.794068","0.000144164","35983.7893","15.789474","892047","46950","226295992500","11910315395"
"2019/10","신세계","004170","STK","236000","257000","229500","1.772106","-0.668904","-0.551437","0.470396","0.000144981","50005.4916","0","915137","43578","220944208000","10521152762"
"2019/11","신세계","004170","STK","281500","283000","235500","2.13337","3.241293","-0.571648","0.502538","0.000085001","58700.4726","19.047619","1058959","50427","277598042326","13218954396"
"2019/12","신세계","004170","STK","289000","294500","277500","1.637837","-0.776965","-0.615899","1.218946","0.00011881","40522.3911","5","761239","38062","217432255000","10871612750"
"2020/01","신세계","004170","STK","267000","324000","266000","3.771985","4.095779","-0.55017","2.3299","0.000088326","55095.9238","5","1625110","81256","484289169500","24214458475"
"2020/02","신세계","004170","STK","236000","300000","236000","3.326098","0.168688","-0.504819","1.796636","0.000098942","70229.6059","5","1814128","90706","487076711500","24353835575"
"2020/03","신세계","004170","STK","217500","264500","204000","5.484732","-0.791425","-0.45006","1.039013","0.000189572","34184.9993","0","2379849","108175","550351682500","25015985568"
"2020/04","신세계","004170","STK","265000","265000","208500","3.102589","0.157262","-0.090972","1.200973","0.000088646","93748.9747","5","2316935","115847","558134683500","27906734175"
"2020/05","신세계","004170","STK","245000","264500","233500","2.420591","0.601663","-0.085288","0.647485","0.000082427","98272.0599","5.263158","1794033","94423","445301679550","23436930503"
"2020/06","신세계","004170","STK","220500","254000","206000","2.909104","0.993689","-0.109473","1.025506","0.00009738","74472.8956","0","2155439","97975","492093737500","22367897159"
"2020/07","신세계","004170","STK","209000","221500","207500","1.663821","-0.047866","-0.17866","0.655597","0.000079066","76169.8779","4.347826","1665549","72415","355685184500","15464573239"
"2020/08","신세계","004170","STK","203000","230000","200500","2.650824","5.26277","-0.20364","1.060961","0.000063134","104323.5753","0","2392868","119643","509745189500","25487259475"
"2020/09","신세계","004170","STK","212500","218500","202500","2.021829","-0.358092","-0.203337","1.086837","0.000073561","105873.8368","4.761905","2316905","110329","490705100500","23366909548"
"2020/10","신세계","004170","STK","207500","225500","207500","2.272252","1.351323","-0.197898","0.924798","0.00007569","88941.8307","5.263158","1950278","102646","423139128000","22270480421"
"2020/11","신세계","004170","STK","230500","237000","209000","1.711367","3.544225","-0.156218","0.548449","0.000046624","108910.5524","14.285714","2447155","116531","561414950500","26734045262"
"2020/12","신세계","004170","STK","239500","253000","231000","2.082894","0.862606","-0.189539","1.176433","0.000057143","87791.6111","4.761905","2320907","110519","556845482000","26516451524"
"2021/01","신세계","004170","STK","233500","255000","233500","2.186113","-0.110139","-0.217585","0.75634","0.000042465","120181.9639","10","3368483","168424","831073120520","41553656026"
"2021/02","신세계","004170","STK","267000","274000","235500","2.304116","-0.189457","-0.255412","0.331555","0.00004746","149795.6552","0","3355376","186410","871805067500","48433614861"
"2021/03","신세계","004170","STK","281000","295000","270000","1.983711","-0.132528","-0.273806","0.64008","0.000041317","137659.8899","9.090909","3155692","143441","899578890000","40889949545"
"2021/04","신세계","004170","STK","304500","304500","273000","1.709466","-0.226338","-0.281568","-0.197784","0.000044756","106267.8068","4.545455","2473341","112425","706718255000","32123557045"
"2021/05","신세계","004170","STK","321500","322000","302000","2.005402","-0.099593","-0.305088","0.277367","0.000038401","99087.9529","10.526316","2484883","130783","779132942500","41006996974"
"2021/06","신세계","004170","STK","285500","320500","277000","1.729511","1.082325","-0.313569","0.683247","0.000024484","212416.2235","0","3274016","148819","960077194000","43639872455"
"2021/07","신세계","004170","STK","266000","284500","266000","1.221236","-0.879661","-0.308894","1.457827","0.000064953","54521.7907","9.090909","1322107","60096","365171662000","16598711909"
"2021/08","신세계","004170","STK","269000","272500","246000","1.946606","2.647249","-0.307724","1.410046","0.000067648","98988.9389","0","1369094","65195","361816931000","17229377667"
"2021/09","신세계","004170","STK","263500","281000","263500","1.37941","0.516695","-0.308745","0.283241","0.000059859","87160.8068","5.263158","1239240","65223","338070934500","17793207079"
"2021/10","신세계","004170","STK","248000","266000","248000","2.101989","0.319785","-0.313179","0.638006","0.000081795","118302.0663","0","1461526","76922","375464023000","19761264368"
"2021/11","신세계","004170","STK","217500","243000","215500","1.586065","1.908435","-0.312331","0.086779","0.000053735","141731.5645","13.636364","2755002","125227","631490222500","28704101023"
"2021/12","신세계","004170","STK","254000","255000","222000","1.826128","1.29004","-0.327587","1.234254","0.000076035","66865.9295","9.090909","1681864","76448","408073360500","18548789114"
"2022/01","신세계","004170","STK","232000","254500","221000","2.685309","1.479476","-0.307907","1.497903","0.000094678","83545.5361","0","1500898","75045","358810851884","17940542594"
