연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2018/01","KT","030200","STK","29650","30400","29500","0.782488","2.19822","-0.126238","0.195765","0.000032207","1407142.2518","9.090909","15152425","688747","459774562334","20898843742"
"2018/02","KT","030200","STK","27900","29550","27450","1.064182","2.825402","-0.150686","0.432471","0.00003728","1468401.1965","5.555556","17885252","993625","509146303774","28285905765"
"2018/03","KT","030200","STK","27550","27850","26950","0.6682","-0.808974","-0.147648","0.251561","0.00003885","978087.6539","19.047619","11203646","533507","308692516883","14699643661"
"2018/04","KT","030200","STK","27250","27700","26700","0.853916","5.606998","-0.143771","-0.384463","0.000037435","897520.6544","19.047619","10694479","509261","293523945664","13977330746"
"2018/05","KT","030200","STK","27000","27800","27000","0.669379","1.181761","-0.119583","0.005835","0.00003646","1152208.9561","5","9109290","455465","250220456764","12511022838"
"2018/06","KT","030200","STK","27400","28550","27000","0.892876","-0.693861","-0.0506","0.334847","0.000050592","651370.4157","21.052632","10968537","577291","308738071947","16249372208"
"2018/07","KT","030200","STK","28500","28500","26900","1.021838","-0.763287","-0.030047","0.391815","0.000073313","652875.3693","4.545455","9513996","432454","265095230215","12049783192"
"2018/08","KT","030200","STK","28900","29600","28150","1.135644","0.787694","-0.042653","-0.066997","0.000045546","887127.7168","9.090909","13943849","633811","404772803557","18398763798"
"2018/09","KT","030200","STK","30150","30150","28450","1.216344","-0.461486","-0.034238","-0.19548","0.000049708","832102.1662","5.882353","11119436","654084","328958336952","19350490409"
"2018/10","KT","030200","STK","28600","30250","28550","1.280531","0.466725","-0.305551","0.391436","0.000048434","1293501.7191","4.761905","14555266","693108","436083796550","20765895074"
"2018/11","KT","030200","STK","30500","30550","28650","1.169144","-0.436162","-0.276688","-0.396218","0.000054067","1111627.0299","4.545455","11918823","541765","355593661605","16163348255"
"2018/12","KT","030200","STK","29800","31150","29600","1.285122","-0.791206","-0.282039","-0.176185","0.000057094","1072688.6474","0","12347178","649851","377150502011","19850026422"
"2019/01","KT","030200","STK","28600","30600","28600","0.80167","1.497193","-0.299187","-0.328071","0.000041167","1274952.484","0","11963968","543817","354087360448","16094880020"
"2019/02","KT","030200","STK","28450","28750","28300","0.494011","1.717911","-0.296983","0.124146","0.000027669","1613373.1812","11.764706","8792245","517191","251143064021","14773121413"
"2019/03","KT","030200","STK","27400","28300","27400","0.577438","0.267475","-0.292847","0.138215","0.0000367","1254178.0704","5","9927256","496363","277011309871","13850565494"
"2019/04","KT","030200","STK","27350","27700","27100","0.701358","0.961951","-0.272974","0.015262","0.000027094","1723152.2029","9.090909","15988240","726738","438407477238","19927612602"
"2019/05","KT","030200","STK","27950","28450","27100","1.103938","-0.094288","-0.219891","0.305221","0.000033988","1251133.0759","4.761905","22604292","1076395","629966820982","29998420047"
"2019/06","KT","030200","STK","28350","28600","27600","0.778667","1.821748","-0.223857","-0.728693","0.000034937","1590112.6132","0","10861749","571671","307077293016","16161962790"
"2019/07","KT","030200","STK","27700","28450","27550","0.581351","0.867357","-0.222178","0.329878","0.000039687","886951.7283","13.043478","9159157","398224","255944088125","11128003832"
"2019/08","KT","030200","STK","27000","27950","26500","0.841257","1.444355","-0.22381","0.00442","0.000049746","1010682.5526","14.285714","10437385","497018","284201531900","13533406281"
"2019/09","KT","030200","STK","27450","27750","27050","0.414311","1.03291","-0.235813","0.24428","0.000029822","1049355.6058","31.578947","7737114","407217","211629913900","11138416521"
"2019/10","KT","030200","STK","26500","27450","26500","0.436647","0.979747","-0.224558","0.401316","0.000029612","1485008.6101","9.52381","10500103","500005","282454609900","13450219519"
"2019/11","KT","030200","STK","26950","27500","26550","0.564445","-0.315909","-0.234625","0.315097","0.000032352","1394952.0264","9.52381","11282981","537285","306165208950","14579295664"
"2019/12","KT","030200","STK","27000","27400","26700","0.794489","5.108784","-0.246009","0.228541","0.000027402","2264854.613","5","16062351","803118","433674769100","21683738455"
"2020/01","KT","030200","STK","25350","26700","25350","0.766035","2.214628","-0.228722","0.496997","0.000031118","1030872.3812","25","12617484","630874","328926663247","16446333162"
"2020/02","KT","030200","STK","23900","25450","23900","1.088944","0.574529","-0.230778","0.452666","0.000043184","1076777.1645","10","14318916","715946","353896035550","17694801778"
"2020/03","KT","030200","STK","19850","24300","17650","3.580796","-0.459891","-0.568142","0.79411","0.000108224","746230.2488","4.545455","27352762","1243307","562128572210","25551298737"
"2020/04","KT","030200","STK","23850","23850","19350","2.431048","1.552796","0.302122","0.886954","0.000066265","1295574.7632","5","24545581","1227279","538512701200","26925635060"
"2020/05","KT","030200","STK","24350","25000","23450","1.292347","-0.362654","0.306421","0.388764","0.000039637","896657.6198","15.789474","20027348","1054071","488082351100","25688544795"
"2020/06","KT","030200","STK","23550","25550","22700","1.899546","0.762494","0.264805","0.831272","0.000063994","1213580.7401","0","23125394","1051154","562583375450","25571971611"
"2020/07","KT","030200","STK","23800","24700","23450","0.989162","1.482135","0.256429","0.630008","0.000031668","1627492.2207","8.695652","20910987","909173","503391901800","21886604426"
"2020/08","KT","030200","STK","23900","25600","23600","1.647223","1.209296","0.214588","0.863879","0.000031243","1847215.0928","10","27161708","1358085","661858663850","33092933193"
"2020/09","KT","030200","STK","22950","23850","22400","0.951185","0.412685","0.259378","0.657046","0.000035014","1517803.4511","14.285714","18238726","868511","424898476200","20233260771"
"2020/10","KT","030200","STK","22100","23150","22100","0.789445","0.961798","0.26131","0.635682","0.000029742","1679597.6328","10.526316","16250493","855289","372207444663","19589865509"
