연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2018/01","LG유플러스","032640","STK","14300","15600","13900","2.539667","3.072876","-0.343872","0.551255","0.000057537","1486074.9501","4.545455","39097759","1777171","580312013996","26377818818"
"2018/02","LG유플러스","032640","STK","12550","14450","12550","1.664502","0.661787","-0.375025","0.834639","0.000053566","1881920.5915","11.111111","32266518","1792584","428341955475","23796775304"
"2018/03","LG유플러스","032640","STK","12250","13050","12200","1.642799","-0.600559","-0.376524","0.378146","0.000072073","1654938.9969","0","31537654","1501793","395168119681","18817529509"
"2018/04","LG유플러스","032640","STK","12300","12750","11900","1.472943","3.233357","-0.384872","-0.35243","0.00005588","1372402.9372","14.285714","30715443","1462640","376946620239","17949839059"
"2018/05","LG유플러스","032640","STK","11700","12900","11700","1.597682","-0.489955","-0.353764","0.090242","0.000084491","1566183.7788","0","27566098","1378305","346543503350","17327175168"
"2018/06","LG유플러스","032640","STK","14000","14450","11900","2.84461","0.119257","-0.365187","0.044203","0.000061059","2424162.235","0","58422187","3074852","784847919725","41307785249"
"2018/07","LG유플러스","032640","STK","15400","15500","13400","1.442107","-0.227525","-0.336231","0.947491","0.000049443","1822832.8363","13.636364","38777543","1762616","565396097800","25699822627"
"2018/08","LG유플러스","032640","STK","15700","16300","15050","2.083705","4.999855","-0.344334","-1.177046","0.000036301","2525096.8488","9.090909","72340999","3288227","1143195965646","51963452984"
"2018/09","LG유플러스","032640","STK","18300","18300","15250","2.671232","-0.555192","-0.054086","-0.149694","0.000051734","2071927.6471","0","40559152","2385832","669281103430","39369476672"
"2018/10","LG유플러스","032640","STK","16150","18050","16050","2.457878","-0.42783","-0.482808","0.291011","0.000060301","1543756.9902","0","39981662","1903889","683524352117","32548778672"
"2018/11","LG유플러스","032640","STK","17700","17700","14900","1.91322","2.5187","-0.47393","0.3097","0.000025962","2557284.4517","27.272727","81402566","3700117","1303190587735","59235935806"
"2018/12","LG유플러스","032640","STK","17650","17950","17000","1.704668","0.359096","-0.476184","0.820535","0.000041176","1728322.2024","15.789474","33749186","1776273","591950593416","31155294390"
"2019/01","LG유플러스","032640","STK","15100","18200","15000","2.355728","1.204076","-0.471224","-0.451638","0.000045266","2024553.3974","0","55182901","2508314","920308831210","41832219600"
"2019/02","LG유플러스","032640","STK","15000","15600","14700","2.152287","3.245266","-0.472142","-0.385344","0.000033012","2417880.8224","5.882353","48162370","2833081","720441015050","42378883238"
"2019/03","LG유플러스","032640","STK","15450","15650","14650","1.460594","-0.499585","-0.478452","-0.357133","0.000043404","1651346.1322","15","33406775","1670339","505576226200","25278811310"
"2019/04","LG유플러스","032640","STK","14300","15650","14300","1.487022","10.806831","-0.47171","-0.287339","0.000026434","2089014.3502","22.727273","39967260","1816694","586864630996","26675665045"
"2019/05","LG유플러스","032640","STK","13950","15800","13800","2.307144","1.720086","-0.456168","0.305399","0.000047275","1584960.2757","4.761905","49910705","2376700","739500051050","35214288145"
"2019/06","LG유플러스","032640","STK","14500","14700","14000","1.103343","0.544566","-0.472884","0.779594","0.000047568","1098597.6804","26.315789","20458391","1076757","295517917050","15553574582"
"2019/07","LG유플러스","032640","STK","13000","14800","12850","1.416699","-0.440279","-0.482362","0.529978","0.000074411","974665.5726","13.043478","26338477","1145151","360885791750","15690686598"
"2019/08","LG유플러스","032640","STK","13200","13450","12200","1.755431","-0.765149","-0.503426","-0.050093","0.000074953","906025.4743","19.047619","30695874","1461708","389345306725","18540252701"
"2019/09","LG유플러스","032640","STK","13650","13850","13100","1.190697","-0.283548","-0.489974","0.837886","0.000051192","1147890.1545","21.052632","24993664","1315456","337779770150","17777882639"
"2019/10","LG유플러스","032640","STK","13450","13950","13350","1.078753","1.722128","-0.492454","0.741196","0.000055113","637116.5128","38.095238","19130803","910991","263151199150","12531009483"
"2019/11","LG유플러스","032640","STK","13400","14200","13200","1.672644","2.251474","-0.495633","0.059648","0.000058566","1486768.8947","9.52381","31280196","1489533","433533317300","20644443681"
"2019/12","LG유플러스","032640","STK","14200","14550","13550","0.983018","-0.169305","-0.533496","0.284981","0.000047477","1478190.8533","20","24877757","1243888","347571706168","17378585308"
"2020/01","LG유플러스","032640","STK","13250","13850","13050","1.501307","0.60508","-0.543616","0.571723","0.000053756","1903237.405","5","39885388","1994269","537675617390","26883780870"
"2020/02","LG유플러스","032640","STK","13200","14500","13050","1.391689","-0.720462","-0.514502","0.575475","0.000032261","1719160.8504","25","53732649","2686632","737834191150","36891709558"
"2020/03","LG유플러스","032640","STK","10800","13300","9430","3.476734","-0.382333","-0.690868","0.730795","0.000104311","935637.1931","18.181818","52597613","2390801","591946672840","26906666947"
"2020/04","LG유플러스","032640","STK","13350","13350","10550","3.235061","0.662321","0.044293","1.16043","0.000090136","1392162.2119","5","43468094","2173405","528194677000","26409733850"
"2020/05","LG유플러스","032640","STK","13150","14200","12700","1.930807","0.333821","0.045256","0.524323","0.000049539","2186684.5598","5.263158","42194742","2220776","565105218925","29742379943"
"2020/06","LG유플러스","032640","STK","12200","13350","11900","1.827913","1.39362","0.017086","0.736881","0.000051078","2607404.2156","4.545455","44657038","2029865","564569899750","25662268170"
"2020/07","LG유플러스","032640","STK","11450","12500","11300","1.783362","0.302899","0.011905","0.979604","0.000054884","1559616.4878","8.695652","48916367","2126799","586089923350","25482170580"
"2020/08","LG유플러스","032640","STK","11950","12400","11300","2.446112","-0.128873","-0.019477","1.173174","0.000053632","2134021.2492","5","57880279","2894014","692833713350","34641685668"
"2020/09","LG유플러스","032640","STK","11500","12100","10800","1.566453","0.225058","0.017011","0.896235","0.000057116","1690304.5921","9.52381","46178720","2198987","538267319505","25631777119"
"2020/10","LG유플러스","032640","STK","11050","11750","11050","1.21774","-0.369159","0.007932","0.977072","0.000063279","1236259.082","15.789474","25978760","1367303","301424047400","15864423547"
"2020/11","LG유플러스","032640","STK","11950","12150","11200","1.711276","1.057577","0.025536","0.979524","0.000046956","2442419.2612","14.285714","54751759","2607227","640222711850","30486795802"
