¿¬¿ù,Á¾¸ñ¸í,Á¾¸ñÄÚµå,½ÃÀå¾ÆÀÌµð,Á¾°¡,ÃÖ°í°¡(Á¾°¡),ÃÖÀú°¡(Á¾°¡),Ç¥ÁØÆíÂ÷,Ã·µµ,°ø¿Öµµ,º£Å¸,Amihud,Amivest,Zeros,°Å·¡·®_ÇÕ°è,°Å·¡·®_ÀÏÆò±Õ,°Å·¡´ë±Ý_ÇÕ°è,°Å·¡´ë±Ý_ÀÏÆò±Õ
"2018/01","SKÅÚ·¹ÄÞ","017670","STK","265500","280000","259500","1.790747","1.316341","-0.099844","0.219256","0.000022105","195261.8855","18.181818","3936581","178936","1060074379083","48185199049"
"2018/02","SKÅÚ·¹ÄÞ","017670","STK","240000","262000","239500","1.203784","-0.662444","-0.143323","0.567135","0.000022573","254355.4056","5.555556","3043979","169110","748876898298","41604272128"
"2018/03","SKÅÚ·¹ÄÞ","017670","STK","233500","239500","226500","1.303455","-0.750633","-0.129031","0.395968","0.000026131","225075.4863","4.761905","3832650","182507","891030152000","42430007238"
"2018/04","SKÅÚ·¹ÄÞ","017670","STK","228500","237000","222000","1.108888","-0.988589","-0.119019","-0.114518","0.000023173","209467.7523","4.761905","3907630","186078","889310533082","42348120623"
"2018/05","SKÅÚ·¹ÄÞ","017670","STK","222000","231500","220500","0.947982","-0.322168","-0.087806","0.301673","0.000018874","235762.4789","15","3204146","160207","720443171380","36022158569"
"2018/06","SKÅÚ·¹ÄÞ","017670","STK","233000","246500","222000","1.857201","0.591","-0.09743","1.042398","0.000023207","191674.1341","10.526316","4562701","240142","1085045826827","57107675096"
"2018/07","SKÅÚ·¹ÄÞ","017670","STK","250500","250500","227500","1.043188","-0.706456","-0.068916","0.423227","0.000027294","213174.1773","4.545455","2843944","129270","674991255592","30681420709"
"2018/08","SKÅÚ·¹ÄÞ","017670","STK","262500","264500","247000","1.497134","0.107283","-0.090159","-0.727968","0.000029409","210167.5592","0","3460027","157274","891388191562","40517645071"
"2018/09","SKÅÚ·¹ÄÞ","017670","STK","282000","282000","256500","1.463219","0.345567","-0.023689","0.263112","0.000027709","213941.9431","0","2865863","168580","778135028270","45772648722"
"2018/10","SKÅÚ·¹ÄÞ","017670","STK","268000","286000","268000","2.028978","0.33806","-0.267442","0.538089","0.000032111","191713.9758","4.761905","3988169","189913","1102493786830","52499704135"
"2018/11","SKÅÚ·¹ÄÞ","017670","STK","289500","289500","257500","1.742892","-0.275367","-0.238021","-0.775015","0.000029888","192256.2765","4.545455","3818659","173575","1044615607107","47482527596"
"2018/12","SKÅÚ·¹ÄÞ","017670","STK","269500","287500","266000","1.481122","-1.291021","-0.228912","-0.373708","0.000024888","154671.6503","15.789474","3478437","183076","966202702461","50852773814"
"2019/01","SKÅÚ·¹ÄÞ","017670","STK","258000","279500","258000","1.497284","-0.490871","-0.260207","-0.716046","0.000024764","246404.1593","0","3771855","171448","1012782743500","46035579250"
"2019/02","SKÅÚ·¹ÄÞ","017670","STK","260500","263000","255000","0.85798","1.141483","-0.259584","0.524636","0.000011222","374904.3321","17.647059","3308193","194600","858856333273","50520960781"
