연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","현대글로비스","086280","STK","136000","146500","134500","1.234976","-0.194168","0.345285","0.42244","0.000063866","141508.7482","5.263158","2105877","110836","295497464685","15552498141"
"2018/01","현대글로비스","086280","STK","139500","141500","135500","1.366437","1.411579","0.314122","-0.343255","0.000075987","112590.2475","4.545455","2190869","99585","303009516000","13773159818"
"2018/02","현대글로비스","086280","STK","142500","145500","131000","1.981772","0.970493","0.335688","0.307912","0.000073826","112854.3024","11.111111","2622555","145698","367350233500","20408346306"
"2018/03","현대글로비스","086280","STK","169000","182000","138500","4.096893","0.864511","0.274331","-0.447644","0.000069412","132951.9131","4.761905","7716687","367461","1268716880000","60415089524"
"2018/04","현대글로비스","086280","STK","168500","188000","166000","2.489562","1.000027","0.271017","-1.249999","0.000042987","209782.7149","0","5232202","249152","917145786500","43673608881"
"2018/05","현대글로비스","086280","STK","134500","170000","131000","2.321914","-1.015561","0.297867","1.150629","0.000057615","175803.4314","5","4897641","244882","732796880809","36639844040"
"2018/06","현대글로비스","086280","STK","115500","138000","115500","1.488729","0.389407","0.26499","0.450052","0.00009772","99860.0357","5.263158","2153923","113364","274460837882","14445307257"
"2018/07","현대글로비스","086280","STK","137000","139500","111500","2.240305","0.951495","0.276796","1.018363","0.000118725","76764.6414","13.636364","2382755","108307","298076786605","13548944846"
"2018/08","현대글로비스","086280","STK","121000","138000","119500","1.851141","1.352255","0.294107","1.167451","0.000114411","71998.7362","9.090909","2027096","92141","258370019500","11744091795"
"2018/09","현대글로비스","086280","STK","130000","134000","120000","2.449421","0.933816","0.023594","0.897902","0.000136434","71264.7926","11.764706","1645382","96787","209629730589","12331160623"
"2018/10","현대글로비스","086280","STK","114000","127500","105500","2.966923","0.252164","-0.327529","1.356931","0.000203485","60945.2586","4.761905","2099338","99968","234149206000","11149962190"
"2018/11","현대글로비스","086280","STK","123500","123500","112000","2.439972","-1.066369","-0.303508","1.01809","0.00017326","62555.9045","4.545455","2044801","92946","240020308500","10910014023"
"2018/12","현대글로비스","086280","STK","129000","134500","119500","2.562133","10.447012","-0.309842","1.21616","0.000139216","69275.62","10.526316","1448797","76252","185351216912","9755327206"
"2019/01","현대글로비스","086280","STK","142000","146500","125500","2.4239","1.260103","-0.308283","-0.167107","0.000132006","87853.9359","9.090909","2071075","94140","287618232000","13073556000"
