연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","대한항공","003490","STK","33850","34350","30750","2.144047","3.36129","0.297945","1.567573","0.000065998","1075690.3524","0","13955929","734523","456899700600","24047352663"
"2018/01","대한항공","003490","STK","38550","38550","34900","2.101493","0.750799","0.284769","1.051825","0.000059197","777648.3032","4.545455","14666617","666664","539264436950","24512019861"
"2018/02","대한항공","003490","STK","32650","38350","32650","1.851278","-0.537368","0.21167","0.690656","0.000079942","490174.1137","11.111111","10018943","556608","354895655850","19716425325"
"2018/03","대한항공","003490","STK","33800","33900","30800","2.062861","1.164593","0.198968","1.326434","0.000084123","841721.2485","0","10557759","502750","344116546100","16386502195"
"2018/04","대한항공","003490","STK","34150","35950","33100","2.323148","2.511007","0.188627","0.292621","0.000050616","785552.6656","9.52381","16186844","770802","555647275350","26459394064"
"2018/05","대한항공","003490","STK","31950","34500","31700","1.815743","0.28258","0.208128","0.879883","0.000082703","662666.1044","0","11161663","558083","369222669455","18461133473"
"2018/06","대한항공","003490","STK","28250","33300","27050","2.580115","-0.345234","0.321012","2.08657","0.000096416","685937.3569","0","11802118","621164","358410961650","18863734824"
"2018/07","대한항공","003490","STK","29200","29200","27100","1.899666","0.270171","0.323458","1.469199","0.000114896","507128.2021","0","9296664","422576","262677464250","11939884739"
"2018/08","대한항공","003490","STK","28050","29600","27100","1.494441","-1.012629","0.328682","1.400096","0.000132407","415494.2748","4.545455","7481197","340054","209609482550","9527703752"
"2018/09","대한항공","003490","STK","28100","29250","27350","1.470126","1.355937","0.078662","0.32237","0.000089806","602840.4501","5.882353","7323809","430812","206882355632","12169550331"
"2018/10","대한항공","003490","STK","27450","28100","25450","2.692949","1.337419","-0.021852","1.41984","0.00016684","391357.7994","9.52381","8278758","394227","221184822150","10532610579"
"2018/11","대한항공","003490","STK","31900","33450","28050","2.88227","3.047404","0.006852","0.803186","0.000073349","811627.5079","4.545455","18383290","835604","579499601250","26340890966"
"2018/12","대한항공","003490","STK","33050","34000","31000","1.583815","-1.619506","0.003568","0.366833","0.000089999","472619.5648","5.263158","10316269","542962","335593124700","17662796037"
"2019/01","대한항공","003490","STK","36400","36950","31800","2.143007","0.009214","0.020688","0.485628","0.000083391","677047.6696","0","12921713","587351","452190959150","20554134507"
"2019/02","대한항공","003490","STK","36800","36950","35050","1.465536","0.820906","0.02643","0.944302","0.000071213","694567.8245","0","7270496","427676","262917677250","15465745721"
"2019/03","대한항공","003490","STK","31850","36550","31450","2.019347","-0.207559","0.076055","1.449244","0.000088924","647668.7831","5","11826204","591310","394201837600","19710091880"
"2019/04","대한항공","003490","STK","33150","37750","31900","2.719842","2.3416","0.038494","0.954363","0.000046355","1431838.6029","4.545455","28710914","1305042","1010441308700","45929150395"
"2019/05","대한항공","003490","STK","31550","33700","30700","1.517078","1.064028","0.021463","0.083708","0.000069345","473185.129","14.285714","10460432","498116","338565917950","16122186569"
"2019/06","대한항공","003490","STK","28950","32500","28950","1.096516","0.067012","0.03358","0.754358","0.000054338","861126.0451","5.263158","9623525","506501","297345114750","15649742882"
"2019/07","대한항공","003490","STK","25550","29300","25550","1.20234","-0.301018","0.001425","0.74361","0.000098295","648085.8627","13.043478","9768634","424723","268333246700","11666662900"
"2019/08","대한항공","003490","STK","22200","25750","21800","1.751158","-0.3864","0.0204","1.277851","0.000124244","553563.7694","4.761905","10866675","517461","253505632646","12071696793"
"2019/09","대한항공","003490","STK","22900","24300","22200","1.538558","2.110507","0.009852","1.149973","0.000107413","514054.4121","0","8977582","472504","209335630700","11017664774"
"2019/10","대한항공","003490","STK","24900","25550","22800","2.115782","0.343291","-0.032974","1.978404","0.000167932","354275.5768","0","9444978","449761","230952303350","10997728731"
"2019/11","대한항공","003490","STK","24750","27000","24750","2.161783","0.295067","-0.012912","1.847657","0.000126811","540087.3923","14.285714","9252331","440587","240236141200","11439816248"
"2019/12","대한항공","003490","STK","28500","29100","24250","1.954197","2.412258","-0.071984","1.428922","0.000079437","498469.7885","15","11270771","563539","306633135250","15331656763"
"2020/01","대한항공","003490","STK","23650","27850","23650","2.349862","1.512063","-0.068247","1.555594","0.000119204","541600.5552","5","10802177","540109","279697890200","13984894510"
"2020/02","대한항공","003490","STK","22300","27000","22100","2.751036","1.500022","-0.045355","1.295536","0.000076645","796907.1925","10","20840805","1042040","507669719250","25383485963"
"2020/03","대한항공","003490","STK","18700","25100","13600","8.038593","3.5092","-0.195903","1.613605","0.000113914","604669.9379","9.090909","51657335","2348061","947739144800","43079052036"
"2020/04","대한항공","003490","STK","19800","20900","18650","2.775537","1.852141","-0.00367","0.780329","0.000036897","2950562.8986","5","56024921","2801246","1117487299600","55874364980"
"2020/05","대한항공","003490","STK","20700","21400","18050","3.23431","0.058802","-0.00675","1.333869","0.000080805","1012684.8223","0","33718542","1774660","662201976250","34852735592"
"2020/06","대한항공","003490","STK","17350","22900","17350","3.010102","0.618781","-0.018937","1.048015","0.000084357","1128108.9909","0","39258842","1784493","800237993850","36374454266"
"2020/07","대한항공","003490","STK","17400","19450","16650","2.671988","1.87969","-0.067319","1.137852","0.000073785","1200830.9422","4.347826","38454059","1671916","685553080800","29806655687"
"2020/08","대한항공","003490","STK","17650","19700","17150","2.846093","0.764134","-0.1007","1.343788","0.00004708","1990131.9863","0","64811278","3240564","1223371601550","61168580078"
"2020/09","대한항공","003490","STK","18850","19200","17950","1.606778","-0.499639","-0.109551","1.102444","0.00005657","1955457.3135","0","29277590","1394171","546043011000","26002048143"
"2020/10","대한항공","003490","STK","19950","21400","19300","1.893438","0.16668","-0.117347","1.131395","0.000036409","1914016.7887","10.526316","36804150","1937061","749347969450","39439366813"
"2020/11","대한항공","003490","STK","25500","26950","20100","4.850921","1.265548","0.024094","1.902223","0.000028571","3007931.9879","0","209034351","9954017","5381871740800","256279606705"
"2020/12","대한항공","003490","STK","27200","28400","25800","2.076263","-0.742466","-0.000534","0.695776","0.000021613","2933032.6979","9.52381","79160857","3769565","2135081021400","101670524829"
"2021/01","대한항공","003490","STK","28700","34950","27650","3.966153","1.286276","-0.060891","0.937113","0.000017538","4298261.5214","0","125231104","6261555","3838017894500","191900894725"
"2021/02","대한항공","003490","STK","28150","31400","28150","2.05116","0.094918","-0.069557","0.25599","0.000020142","2693242.2627","0","49446412","2747023","1462108096250","81228227569"
"2021/03","대한항공","003490","STK","27200","29050","26750","1.915891","0.469316","-0.042831","0.870002","0.000023343","3074715.0252","4.545455","47608977","2164044","1315805690200","59809349555"
"2021/04","대한항공","003490","STK","26900","27250","26200","1.062754","0.407082","-0.076939","0.399566","0.00001486","3365460.2063","9.090909","44317963","2014453","1184898102250","53859004648"
"2021/05","대한항공","003490","STK","31950","31950","26350","2.493439","0.365549","-0.11541","1.142387","0.0000108","5445723.725","0","98808117","5200427","2948090467750","155162656197"
"2021/06","대한항공","003490","STK","31500","34500","31450","2.049151","3.508058","-0.137583","-0.225943","0.000009579","5972650.1762","4.545455","85535881","3887995","2827251486350","128511431198"
