¿¬¿ù,Á¾¸ñ¸í,Á¾¸ñÄÚµå,½ÃÀå¾ÆÀÌµð,Á¾°¡,ÃÖ°í°¡(Á¾°¡),ÃÖÀú°¡(Á¾°¡),Ç¥ÁØÆíÂ÷,Ã·µµ,°ø¿Öµµ,º£Å¸,Amihud,Amivest,Zeros,°Å·¡·®_ÇÕ°è,°Å·¡·®_ÀÏÆò±Õ,°Å·¡´ë±Ý_ÇÕ°è,°Å·¡´ë±Ý_ÀÏÆò±Õ
"2017/12","ÆÒ¿À¼Ç","028670","STK","5270","6130","4915","3.610009","-0.894885","-0.148198","1.174396","0.000122912","2367568.9661","0","88628033","4664633","501409543232","26389975960"
"2018/01","ÆÒ¿À¼Ç","028670","STK","6020","6110","5270","3.020808","-0.574814","-0.139322","-0.352595","0.000119987","2669342.19","0","83922110","3814641","481293866360","21876993925"
"2018/02","ÆÒ¿À¼Ç","028670","STK","5930","6130","5360","2.430416","-0.164158","-0.111593","1.328033","0.000108125","3216471.5027","5.555556","59094383","3283021","345451669150","19191759397"
"2018/03","ÆÒ¿À¼Ç","028670","STK","5200","5790","5080","2.204405","-0.254736","-0.103536","1.244341","0.000140071","1976156.8033","0","57032621","2715839","312182359270","14865826632"
"2018/04","ÆÒ¿À¼Ç","028670","STK","5500","5500","4700","3.016049","2.395799","-0.11606","3.097721","0.000146666","1947466.7431","0","65429699","3115700","333603290730","15885870987"
"2018/05","ÆÒ¿À¼Ç","028670","STK","5060","5740","5030","2.515702","2.159837","-0.113122","0.980744","0.000115426","3059709.7412","0","56590871","2829544","300744813080","15037240654"
"2018/06","ÆÒ¿À¼Ç","028670","STK","4885","5380","4780","1.855929","0.127432","0.039219","1.165144","0.000190278","1892314.308","0","27959791","1471568","141368591475","7440452183"
"2018/07","ÆÒ¿À¼Ç","028670","STK","5150","5180","4455","2.689013","-0.292002","0.11821","1.482255","0.000200444","2059508.8204","4.545455","40463493","1839250","196221882990","8919176500"
"2018/08","ÆÒ¿À¼Ç","028670","STK","5160","5360","4905","1.768824","1.915421","0.110958","0.879475","0.000152282","2248461.7402","0","32616958","1482589","169091755640","7685988893"
"2018/09","ÆÒ¿À¼Ç","028670","STK","5240","5250","4920","1.704467","1.132661","0.100101","1.277665","0.000154405","2809340.3177","0","25570477","1504146","128893767060","7581986298"
"2018/10","ÆÒ¿À¼Ç","028670","STK","4770","5270","4580","2.141739","-0.415129","-0.10115","1.09932","0.000261939","1860019.5634","0","29190644","1390031","144593204055","6885390669"
"2018/11","ÆÒ¿À¼Ç","028670","STK","4580","4900","4240","2.891995","1.292202","-0.149126","1.743962","0.000278995","1971216.7378","4.545455","34121531","1550979","154744847579","7033856708"
"2018/12","ÆÒ¿À¼Ç","028670","STK","4445","4660","4155","2.232218","1.362267","-0.150127","1.086745","0.000333452","1412865.686","0","20298742","1068355","90767827797","4777254095"
"2019/01","ÆÒ¿À¼Ç","028670","STK","4525","4755","4395","1.347868","1.038804","-0.226637","0.828917","0.000202125","1780162.627","13.636364","22060862","1002766","101979085895","4635412995"
