연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
Dec-17,포스코인터내셔널,47050,STK,18150,18800,17600,2.027629,-0.809466,0.299209,1.2046,0.000236849,325462.1125,0,7238370,380967,1.31185E+11,6904477706
Jan-18,포스코인터내셔널,47050,STK,24100,24750,18750,3.643115,2.824757,0.260911,0.900634,0.000142966,668875.7767,4.545455,19736815,897128,4.28887E+11,19494863820
Feb-18,포스코인터내셔널,47050,STK,20200,24600,20200,2.34813,-0.561617,0.197442,1.170199,0.000160494,399304.7102,5.555556,10545428,585857,2.30019E+11,12778851439
Mar-18,포스코인터내셔널,47050,STK,22900,23300,19300,2.636343,-0.1843,0.172692,1.062622,0.000140863,446902.5136,19.047619,13988283,666109,2.97645E+11,14173568532
Apr-18,포스코인터내셔널,47050,STK,22550,24050,22250,2.580312,1.169485,0.173939,1.104561,0.000152857,393631.1067,14.285714,10226769,486989,2.37921E+11,11329565086
May-18,포스코인터내셔널,47050,STK,22900,25650,21800,3.932646,0.358074,0.161399,2.087371,0.000153506,427663.2801,5,16719819,835991,4.01608E+11,20080406828
Jun-18,포스코인터내셔널,47050,STK,21400,24250,20150,2.913857,-0.791524,0.175136,1.610561,0.000189178,367161.508,0,10516615,553506,2.30375E+11,12124994342
Jul-18,포스코인터내셔널,47050,STK,19150,21200,17750,3.180696,3.687567,0.192009,1.109281,0.00020227,344754.9679,4.545455,11424049,519275,2.22157E+11,10098046270
Aug-18,포스코인터내셔널,47050,STK,18250,18950,17700,1.492551,-0.182048,0.200052,1.081014,0.000228705,315152.854,4.545455,5977389,271700,1.08597E+11,4936244448
Sep-18,포스코인터내셔널,47050,STK,20950,20950,18000,2.291177,-0.889898,0.022637,1.453355,0.00022911,356931.8584,5.882353,6640297,390606,1.30181E+11,7657689309
Oct-18,포스코인터내셔널,47050,STK,17800,21650,17150,2.144605,-0.235563,-0.376219,0.800094,0.000263452,510717.0373,0,8055173,383580,1.58928E+11,7567993774
Nov-18,포스코인터내셔널,47050,STK,19300,20250,17400,3.103204,0.304662,-0.356706,1.329039,0.000370958,143690.6351,13.636364,7700184,350008,1.4714E+11,6688166884
Dec-18,포스코인터내셔널,47050,STK,18200,19500,17900,1.566246,0.283297,-0.356799,0.983757,0.000288172,249398.4207,5.263158,4668550,245713,87245790300,4591883700
Jan-19,포스코인터내셔널,47050,STK,20000,20750,17500,2.450169,-0.070982,-0.354855,1.57887,0.000307247,296570.1013,4.545455,6762375,307381,1.31754E+11,5988799214
Feb-19,포스코인터내셔널,47050,STK,18950,20000,18950,1.426477,-0.338093,-0.347229,0.916533,0.000198541,348164.0981,17.647059,4631841,272461,89758366215,5279903895
Mar-19,포스코인터내셔널,47050,STK,17750,18800,17600,1.086309,-0.300253,-0.35066,0.937032,0.000267131,211399.356,10,3965494,198275,72964290300,3648214515
Apr-19,포스코인터내셔널,47050,STK,18300,18950,18000,1.568598,-0.489596,-0.372013,0.377948,0.000231674,246321.74,22.727273,5746943,261225,1.05524E+11,4796523727
May-19,포스코인터내셔널,47050,STK,17200,18350,16450,1.45054,-0.666912,-0.359831,1.278821,0.000321966,215910.551,9.52381,4741038,225764,81708822150,3890896293
Jun-19,포스코인터내셔널,47050,STK,18350,18650,16950,1.592372,1.762909,-0.353064,0.379315,0.00027718,287449.8032,5.263158,4255738,223986,76038412300,4002021700
