연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2018/01","HMM","011200","STK","4620","5010","4425","1.782015","1.684886","0.53199","0.174845","0.000054107","10722867.6651","50","85091369","7735579","387860802560","35260072960"
"2018/02","HMM","011200","STK","4365","4800","4040","2.850989","-0.647578","0.488249","1.43551","0.000246812","1655380.8914","5.555556","47741744","2808338","213100648830","12535332284"
"2018/03","HMM","011200","STK","4375","4440","4215","1.984852","-0.81038","0.474735","1.169558","0.000189236","2277172.3838","4.761905","50510257","2405250","221551182260","10550056298"
"2018/04","HMM","011200","STK","6070","6070","4420","5.527919","1.724164","0.430522","4.468425","0.000062592","8319369.2802","0","321686830","15318420","1682187009500","80104143310"
"2018/05","HMM","011200","STK","5910","6600","5390","6.523692","7.028299","0.453427","2.905195","0.000050345","7575051.8603","5","254664104","12733205","1559845955050","77992297753"
"2018/06","HMM","011200","STK","5030","5810","4830","3.081401","-1.150271","0.389507","2.174579","0.000203501","1752615.9863","0","54056012","2845053","295857507785","15571447778"
"2018/07","HMM","011200","STK","4785","4805","4285","2.685308","-0.010572","0.399588","2.146523","0.000314127","1161788.5077","4.545455","27294432","1240656","125778075920","5717185269"
"2018/08","HMM","011200","STK","4550","4950","4550","1.825393","0.707892","0.40615","0.374673","0.000243584","2055719.2485","4.545455","25128396","1142200","121189794650","5508627030"
"2018/09","HMM","011200","STK","4920","4990","4525","2.125283","4.649081","0.47962","-0.242543","0.000173735","1792496.9202","5.882353","50511570","2971269","249256135340","14662125608"
"2018/10","HMM","011200","STK","3780","4880","3640","2.499255","-0.855306","-0.057275","1.24436","0.000348488","856305.2361","0","32503173","1547770","143027853525","6810850168"
"2018/11","HMM","011200","STK","3780","4185","3750","2.579878","2.821601","-0.066749","1.413918","0.000451766","969201.2641","0","21045247","956602","83497396865","3795336221"
"2018/12","HMM","011200","STK","3695","3900","3455","2.277806","-1.534218","-0.068112","1.584302","0.000622798","729233.5617","0","17278278","909383","62263410110","3277021585"
"2019/01","HMM","011200","STK","4005","4035","3635","1.380324","0.312133","-0.042428","0.360449","0.00023899","2162706.8251","0","28594420","1299746","109962884295","4998312923"
"2019/02","HMM","011200","STK","4000","4515","4000","3.265852","3.886956","-0.042826","1.428921","0.000202946","2411416.1545","5.882353","35606381","2094493","155523234995","9148425588"
"2019/03","HMM","011200","STK","3640","3900","3540","1.303268","0.94082","-0.060489","0.773353","0.000354049","906240.7195","5","19420799","971040","73025194135","3651259707"
"2019/04","HMM","011200","STK","4020","4200","3675","2.837632","9.260583","-0.072915","1.017584","0.000386594","1030044.0051","0","29300962","1331862","115446356815","5247561673"
