가게이름,카테고리,전체평점,평점건수,리뷰수,리뷰작성자,리뷰작성일,작성자리뷰작성수,작성자평균평점,리뷰평점,리뷰내용,X3_Sentiment,X1_Organic_Count,X2_Ad_Count,X1_Organic_Ratio,X2_Ad_Ratio,X1_Organic_Flag,X2_Ad_Flag,X4_Specificity,X5_rating_mean,X6_review_num,X7_content_sim,X8_Is_Viral,label,is_StrongLabeled,validated_label,ad_prob,ad_pred,store_bigrams,store_unigrams,cluster_id,group_bigrams,group_unigrams
세구네술집,술집,5.0,1,0,유민,2024-02-14,1.0,5.0,5.0,내용없음,0.5,0,0,0.0,0.0,0,0,4,5.0,1.0,0.0,0,-1.0,False,,0.1112915520607085,0,"[""맛있 삼겹살"", ""갈비 맛있""]","[""맛있"", ""사장"", ""분위기"", ""친절"", ""양이"", ""양도"", ""김치찌개"", ""서비스"", ""조용"", ""노래"", ""인하대"", ""가격""]",0,"[""쌀국수 맛있"", ""전골 맛있"", ""맛있 쌀국수""]","[""맛있"", ""분위기"", ""인하대"", ""친절"", ""사장"", ""쌀국수"", ""친구"", ""양도"", ""전골"", ""직원"", ""가격"", ""국물""]"
라향각마라탕 인하대점,중국요리,4.3,6,0,양고기,2023-04-07,5.0,4.4,5.0,내용없음,0.5,0,0,0.0,0.0,0,0,4,4.4,5.0,0.0,0,-1.0,False,,0.0945204687609629,0,"[""고기 양이"", ""맛있 국물"", ""맛있 고기""]","[""맛있"", ""인하대"", ""친절"", ""국물"", ""테이블"", ""고기"", ""양이"", ""해물"", ""사장"", ""직원"", ""매콤"", ""새우""]",3,"[""라멘 맛있"", ""국물 맛있"", ""인하대 라멘""]","[""맛있"", ""친절"", ""라멘"", ""인하대"", ""사장"", ""국물"", ""깔끔"", ""고기"", ""신선"", ""양도"", ""직원"", ""가격""]"
라향각마라탕 인하대점,중국요리,4.3,6,0,???,2022-06-09,6.0,4.3,4.0,나쁘진 않은데 내 입맛엔 영 안맞는듯 ,0.8128005266189575,0,1,0.0,0.1666666666666666,0,1,21,4.3,6.0,0.0,0,-1.0,False,,0.4510540290425015,1,"[""고기 양이"", ""맛있 국물"", ""맛있 고기""]","[""맛있"", ""인하대"", ""친절"", ""국물"", ""테이블"", ""고기"", ""양이"", ""해물"", ""사장"", ""직원"", ""매콤"", ""새우""]",3,"[""라멘 맛있"", ""국물 맛있"", ""인하대 라멘""]","[""맛있"", ""친절"", ""라멘"", ""인하대"", ""사장"", ""국물"", ""깔끔"", ""고기"", ""신선"", ""양도"", ""직원"", ""가격""]"
라향각마라탕 인하대점,중국요리,4.3,6,0,ams,2021-06-28,53.0,4.9,5.0,내용없음,0.5,0,0,0.0,0.0,0,0,4,4.9,53.0,0.5,0,-1.0,False,,0.0841218928641481,0,"[""고기 양이"", ""맛있 국물"", ""맛있 고기""]","[""맛있"", ""인하대"", ""친절"", ""국물"", ""테이블"", ""고기"", ""양이"", ""해물"", ""사장"", ""직원"", ""매콤"", ""새우""]",3,"[""라멘 맛있"", ""국물 맛있"", ""인하대 라멘""]","[""맛있"", ""친절"", ""라멘"", ""인하대"", ""사장"", ""국물"", ""깔끔"", ""고기"", ""신선"", ""양도"", ""직원"", ""가격""]"
라향각마라탕 인하대점,중국요리,4.3,6,0,맛집 감별사,2020-04-25,50.0,4.2,5.0,내용없음,0.5,0,0,0.0,0.0,0,0,4,4.2,50.0,0.0,0,-1.0,False,,0.0840909395096985,0,"[""고기 양이"", ""맛있 국물"", ""맛있 고기""]","[""맛있"", ""인하대"", ""친절"", ""국물"", ""테이블"", ""고기"", ""양이"", ""해물"", ""사장"", ""직원"", ""매콤"", ""새우""]",3,"[""라멘 맛있"", ""국물 맛있"", ""인하대 라멘""]","[""맛있"", ""친절"", ""라멘"", ""인하대"", ""사장"", ""국물"", ""깔끔"", ""고기"", ""신선"", ""양도"", ""직원"", ""가격""]"
라향각마라탕 인하대점,중국요리,4.3,6,0,ㅇㅅㅇ,2020-02-22,116.0,3.3,2.0,맛없음 ,0.5,0,0,0.0,0.0,0,0,4,3.3,116.0,0.0,0,0.0,False,,0.082880158193972,0,"[""고기 양이"", ""맛있 국물"", ""맛있 고기""]","[""맛있"", ""인하대"", ""친절"", ""국물"", ""테이블"", ""고기"", ""양이"", ""해물"", ""사장"", ""직원"", ""매콤"", ""새우""]",3,"[""라멘 맛있"", ""국물 맛있"", ""인하대 라멘""]","[""맛있"", ""친절"", ""라멘"", ""인하대"", ""사장"", ""국물"", ""깔끔"", ""고기"", ""신선"", ""양도"", ""직원"", ""가격""]"
라향각마라탕 인하대점,중국요리,4.3,6,0,ㅋㅎㅎ,2019-11-22,381.0,4.3,5.0,그나마 인하대에선.. ,0.7361007332801819,0,0,0.0,0.0,0,0,12,4.3,381.0,0.0681318681318681,0,-1.0,False,,0.0839747465513349,0,"[""고기 양이"", ""맛있 국물"", ""맛있 고기""]","[""맛있"", ""인하대"", ""친절"", ""국물"", ""테이블"", ""고기"", ""양이"", ""해물"", ""사장"", ""직원"", ""매콤"", ""새우""]",3,"[""라멘 맛있"", ""국물 맛있"", ""인하대 라멘""]","[""맛있"", ""친절"", ""라멘"", ""인하대"", ""사장"", ""국물"", ""깔끔"", ""고기"", ""신선"", ""양도"", ""직원"", ""가격""]"
짝노패밀리,음식점,4.5,2,0,수댕이??,2025-07-07,88.0,4.0,5.0,지하라서 분위기가 어두우면서 차분하고 조용해서 데이트하기 좋았어요! 안주도 너무맛있어요????가격까지 착해서 많이 ... 더보기,0.5947562456130981,0,0,0.0,0.0,0,0,71,4.0,88.0,0.0294117647058823,0,-1.0,False,,0.0834010999105821,0,"[""육회 맛있"", ""인하대 분위기""]","[""인하대"", ""육회"", ""맛있"", ""분위기"", ""계란"", ""사장"", ""순두부찌개"", ""저렴"", ""신선"", ""계란찜"", ""가격"", ""혜자""]",0,"[""쌀국수 맛있"", ""전골 맛있"", ""맛있 쌀국수""]","[""맛있"", ""분위기"", ""인하대"", ""친절"", ""사장"", ""쌀국수"", ""친구"", ""양도"", ""전골"", ""직원"", ""가격"", ""국물""]"
짝노패밀리,음식점,4.5,2,0,3점평범4점맛있5점최고,2022-02-24,518.0,3.8,4.0,좋아하는 건어물 안주 집 ,0.7489948868751526,0,0,0.0,0.0,0,0,14,3.8,518.0,0.0176349890776768,0,-1.0,False,,0.0823590579954645,0,"[""육회 맛있"", ""인하대 분위기""]","[""인하대"", ""육회"", ""맛있"", ""분위기"", ""계란"", ""사장"", ""순두부찌개"", ""저렴"", ""신선"", ""계란찜"", ""가격"", ""혜자""]",0,"[""쌀국수 맛있"", ""전골 맛있"", ""맛있 쌀국수""]","[""맛있"", ""분위기"", ""인하대"", ""친절"", ""사장"", ""쌀국수"", ""친구"", ""양도"", ""전골"", ""직원"", ""가격"", ""국물""]"
제철홍어무침꽃게장,"해물,생선",5.0,2,0,비비비,2023-11-03,37.0,4.6,5.0,정말 맛있었어요!! 원래 각 주문에 2인이상인거 같은데 문 열자마자 가서 양념 간장 하나씩 되냐고 하니 안 바쁘니 해주신다고 해주셨네요 ㅠ암꽃... 더보기,0.5187450051307678,2,0,0.0952380952380952,0.0,1,0,86,4.6,37.0,0.0114942528735632,0,-1.0,False,,0.0837591744902102,0,"[""반찬 맛있"", ""맛있 고기"", ""고기 맛있""]","[""게장"", ""맛있"", ""무침"", ""반찬"", ""꽃게"", ""사장"", ""친절"", ""신선"", ""깔끔"", ""가격"", ""테이블"", ""고기""]",9,"[""반찬 맛있"", ""맛있 반찬"", ""된장찌개 맛있""]","[""맛있"", ""친절"", ""인하대"", ""가격"", ""양도"", ""반찬"", ""깔끔"", ""우동"", ""사장"", ""게장"", ""저렴"", ""덮밥""]"
