가게이름,카테고리,전체평점,평점건수,리뷰수,영업상태,영업시간,주소,지번,,연락처,홈페이지,리뷰작성자,작성자리뷰작성수,작성자평균평점,팔로워,리뷰평점,리뷰작성일,리뷰내용,리뷰이미지,
참새식당,한식,,,,,,인천 미추홀구 인하로 인하대점133번길 43 (우)22208,용현동 77-36,,328749672,"웹사이트를 알려주세요
수정제안",,,,,,,,,
윤이불닭발,닭요리,5,"1
개","21
개",영업 전,영업 전14:00 오픈연중무휴월(11/3)14:00 ~ 02:00화(11/4)14:00 ~ 02:00수(11/5)14:00 ~ 02:00목(11/6)14:00 ~ 02:00금(11/7)14:00 ~ 02:00토(11/8)14:00 ~ 02:00일(11/9)14:00 ~ 02:00수정제안,인천 미추홀구 인주대로174번길 31-1 1층 (우)22182,용현동 139-21,,,"웹사이트를 알려주세요
수정제안","
신나래",392,4.8,20,5,2023.08.01.,가성비가 너무 좋아서 종종 시켜먹는데 맛있어요!기본으로 나오는 스프도 고소하고 담백한게 맛있어요! ,,https://place.map.kakao.com/681186615#review
페리카나 용현1호점,치킨,4.2,"5
개",,영업 전,영업 전15:00 오픈월(11/3)15:00 ~ 24:00화(11/4)15:00 ~ 24:00수(11/5)15:00 ~ 24:00목(11/6)15:00 ~ 24:00금(11/7)15:00 ~ 24:00토(11/8)15:00 ~ 24:00일(11/9)15:00 ~ 24:00수정제안,인천 미추홀구 인주대로174번길 36 1층 (우)22182,용현동 152-1,,327155902,"http://www.pelicana.co.kr
수정제안","
김복수",3,3.7,0,5,2024.12.29.,페리카나 용현1호점 오늘  처음 주문 했습니다. 후라이드 깨끗한 기름에 알맞게 튀겨서 튀김은 아삭아삭 속살은 부드러웠습니다. 맛있게 잘 먹었습니다. 용현1호점 젊은대표님 부~자 되세요.. ,,https://place.map.kakao.com/15482666#review
페리카나 용현1호점,치킨,4.2,"5
개",,영업 전,영업 전15:00 오픈월(11/3)15:00 ~ 24:00화(11/4)15:00 ~ 24:00수(11/5)15:00 ~ 24:00목(11/6)15:00 ~ 24:00금(11/7)15:00 ~ 24:00토(11/8)15:00 ~ 24:00일(11/9)15:00 ~ 24:00수정제안,인천 미추홀구 인주대로174번길 36 1층 (우)22182,용현동 152-1,,327155902,"http://www.pelicana.co.kr
수정제안","
팩트만말한다",21,2.2,1,1,2024.05.15.,"같은 페리카나인데 요긴 왜 맛이 이따구냐...

기름도 오래된거 쓴거 다 ... 더보기",,https://place.map.kakao.com/15482666#review
페리카나 용현1호점,치킨,4.2,"5
개",,영업 전,영업 전15:00 오픈월(11/3)15:00 ~ 24:00화(11/4)15:00 ~ 24:00수(11/5)15:00 ~ 24:00목(11/6)15:00 ~ 24:00금(11/7)15:00 ~ 24:00토(11/8)15:00 ~ 24:00일(11/9)15:00 ~ 24:00수정제안,인천 미추홀구 인주대로174번길 36 1층 (우)22182,용현동 152-1,,327155902,"http://www.pelicana.co.kr
수정제안","
창현",1,5,0,5,2022.10.05.,아주 맛있군요^^ ,,https://place.map.kakao.com/15482666#review
페리카나 용현1호점,치킨,4.2,"5
개",,영업 전,영업 전15:00 오픈월(11/3)15:00 ~ 24:00화(11/4)15:00 ~ 24:00수(11/5)15:00 ~ 24:00목(11/6)15:00 ~ 24:00금(11/7)15:00 ~ 24:00토(11/8)15:00 ~ 24:00일(11/9)15:00 ~ 24:00수정제안,인천 미추홀구 인주대로174번길 36 1층 (우)22182,용현동 152-1,,327155902,"http://www.pelicana.co.kr
수정제안","
원스",2,5,0,5,2022.10.05.,배달오신 분이 아드님이시라는데 완전 친절하고 훈남이시네요.. 치킨도 짱맛임당 ,,https://place.map.kakao.com/15482666#review
페리카나 용현1호점,치킨,4.2,"5
개",,영업 전,영업 전15:00 오픈월(11/3)15:00 ~ 24:00화(11/4)15:00 ~ 24:00수(11/5)15:00 ~ 24:00목(11/6)15:00 ~ 24:00금(11/7)15:00 ~ 24:00토(11/8)15:00 ~ 24:00일(11/9)15:00 ~ 24:00수정제안,인천 미추홀구 인주대로174번길 36 1층 (우)22182,용현동 152-1,,327155902,"http://www.pelicana.co.kr
수정제안","
ㅋㅎㅎ",381,4.3,24,5,2019.12.16.,"엄청 친절하시고 맛있음
양도 많음 ",https://img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F59deac8a4971f98457d6efc10269f090189da91a%3Foriginal,https://place.map.kakao.com/15482666#review
돼지게티 인하대점,양식,,,,영업 전,영업 전17:30 오픈월(11/3)17:30 ~ 02:00화(11/4)17:30 ~ 02:00수(11/5)17:30 ~ 02:00목(11/6)17:30 ~ 02:00금(11/7)17:30 ~ 02:00토(11/8)17:30 ~ 02:00일(11/9)17:30 ~ 02:00요기요 제공수정제안,인천 미추홀구 인하로 인하대점77번길 26 (우)22207,용현동 181-17,,50720868465,"웹사이트를 알려주세요
수정제안",,,,,,,,,
세구네술집,술집,5,"1
개",,영업 전,영업 전17:00 오픈월(11/3)17:00 ~ 02:00화(11/4)17:00 ~ 02:00수(11/5)17:00 ~ 02:00목(11/6)17:00 ~ 02:00금(11/7)17:00 ~ 02:00토(11/8)17:00 ~ 02:00일(11/9)17:00 ~ 02:00요기요 제공수정제안,인천 미추홀구 인하로 인하대점77번길 17 지하 1층 (우)22207,용현동 194-21,,,"웹사이트를 알려주세요
수정제안","
유민",1,5,0,5,2024.02.14.,,,https://place.map.kakao.com/735978413#review
칠만시대주점,"호프,요리주점",,,"35
개",영업 전,영업 전11:00 오픈월(11/3)11:00 ~ 23:0014:00 ~ 17:00 브레이크타임22:30 라스트오더화(11/4)11:00 ~ 23:0014:00 ~ 17:00 브레이크타임22:30 라스트오더수(11/5)11:00 ~ 23:0014:00 ~ 17:00 브레이크타임22:30 라스트오더목(11/6)11:00 ~ 23:0014:00 ~ 17:00 브레이크타임22:30 라스트오더금(11/7)11:00 ~ 23:0014:00 ~ 17:00 브레이크타임22:30 라스트오더토(11/8)11:00 ~ 23:0014:00 ~ 17:00 브레이크타임22:30 라스트오더일(11/9)휴무일수정제안,인천 미추홀구 한나루로477번길 105 (우)22208,용현동 92-40,,7078083684,"웹사이트를 알려주세요
수정제안",,,,,,,,,
