가게이름,카테고리,전체평점,평점건수,리뷰수,리뷰작성자,리뷰작성일,작성자리뷰작성수,작성자평균평점,리뷰평점,리뷰내용,X3_Sentiment,X1_Organic_Count,X2_Ad_Count,X1_Organic_Ratio,X2_Ad_Ratio,X1_Organic_Flag,X2_Ad_Flag,X4_Specificity,X5_rating_mean,X6_review_num,X7_content_sim,X8_Is_Viral,label,is_StrongLabeled,validated_label,ad_prob,ad_pred
윤이불닭발,닭요리,5.0,1,21,신나래,2023-08-01,392.0,4.8,5.0,가성비가 너무 좋아서 종종 시켜먹는데 맛있어요!기본으로 나오는 스프도 고소하고 담백한게 맛있어요! ,0.5041908025741577,0,1,0.0,0.0909090909090909,0,1,55,4.8,392.0,0.0184330296751363,0,-1.0,False,,0.08378969202779823,0
페리카나 용현1호점,치킨,4.2,5,0,김복수,2024-12-29,3.0,3.7,5.0,페리카나 용현1호점 오늘  처음 주문 했습니다. 후라이드 깨끗한 기름에 알맞게 튀겨서 튀김은 아삭아삭 속살은 부드러웠습니다. 맛있게 잘 먹었습니다. 용현1호점 젊은대표님 부~자 되세요.. ,0.5216729640960693,1,0,0.0454545454545454,0.0,1,0,105,3.7,3.0,0.0,0,-1.0,False,,0.08425840247030655,0
페리카나 용현1호점,치킨,4.2,5,0,팩트만말한다,2024-05-15,21.0,2.2,1.0,같은 페리카나인데 요긴 왜 맛이 이따구냐...기름도 오래된거 쓴거 다 ... 더보기,0.3822550177574157,0,0,0.0,0.0,0,0,46,2.2,21.0,0.0,0,0.0,False,,0.08519116078739015,0
페리카나 용현1호점,치킨,4.2,5,0,창현,2022-10-05,1.0,5.0,5.0,아주 맛있군요^^ ,0.5,0,0,0.0,0.0,0,0,10,5.0,1.0,0.0,1,-1.0,False,,0.129395679376649,0
페리카나 용현1호점,치킨,4.2,5,0,원스,2022-10-05,2.0,5.0,5.0,배달오신 분이 아드님이시라는데 완전 친절하고 훈남이시네요.. 치킨도 짱맛임당 ,0.5044284462928772,1,0,0.125,0.0,1,0,43,5.0,2.0,0.0,1,-1.0,False,,0.20469265485445026,0
페리카나 용현1호점,치킨,4.2,5,0,ㅋㅎㅎ,2019-12-16,381.0,4.3,5.0,엄청 친절하시고 맛있음양도 많음 ,0.5045285224914551,1,0,0.25,0.0,1,0,18,4.3,381.0,0.0681318681318681,0,-1.0,False,,0.08775824519972178,0
세구네술집,술집,5.0,1,0,유민,2024-02-14,1.0,5.0,5.0,내용없음,0.5,0,0,0.0,0.0,0,0,4,5.0,1.0,0.0,0,-1.0,False,,0.11129155206070854,0
BitterSweet,"호프,요리주점",3.0,1,0,류재형,2025-06-02,180.0,3.2,3.0,내용없음,0.5,0,0,0.0,0.0,0,0,4,3.2,180.0,0.7990779375177871,0,0.0,False,,0.08260960123303544,0
라향각마라탕 인하대점,중국요리,4.3,6,0,양고기,2023-04-07,5.0,4.4,5.0,내용없음,0.5,0,0,0.0,0.0,0,0,4,4.4,5.0,0.0,0,-1.0,False,,0.0945204687609629,0
라향각마라탕 인하대점,중국요리,4.3,6,0,???,2022-06-09,6.0,4.3,4.0,나쁘진 않은데 내 입맛엔 영 안맞는듯 ,0.8128005266189575,0,1,0.0,0.1666666666666666,0,1,21,4.3,6.0,0.0,0,-1.0,False,,0.4510540290425015,1
라향각마라탕 인하대점,중국요리,4.3,6,0,ams,2021-06-28,53.0,4.9,5.0,내용없음,0.5,0,0,0.0,0.0,0,0,4,4.9,53.0,0.5,0,-1.0,False,,0.08412189286414819,0
라향각마라탕 인하대점,중국요리,4.3,6,0,맛집 감별사,2020-04-25,50.0,4.2,5.0,내용없음,0.5,0,0,0.0,0.0,0,0,4,4.2,50.0,0.0,0,-1.0,False,,0.0840909395096985,0
라향각마라탕 인하대점,중국요리,4.3,6,0,ㅇㅅㅇ,2020-02-22,116.0,3.3,2.0,맛없음 ,0.5,0,0,0.0,0.0,0,0,4,3.3,116.0,0.0,0,0.0,False,,0.08288015819397207,0
라향각마라탕 인하대점,중국요리,4.3,6,0,ㅋㅎㅎ,2019-11-22,381.0,4.3,5.0,그나마 인하대에선.. ,0.7361007332801819,0,0,0.0,0.0,0,0,12,4.3,381.0,0.0681318681318681,0,-1.0,False,,0.08397474655133497,0
짝노패밀리,음식점,4.5,2,0,수댕이??,2025-07-07,88.0,4.0,5.0,지하라서 분위기가 어두우면서 차분하고 조용해서 데이트하기 좋았어요! 안주도 너무맛있어요????가격까지 착해서 많이 ... 더보기,0.5947562456130981,0,0,0.0,0.0,0,0,71,4.0,88.0,0.0294117647058823,0,-1.0,False,,0.08340109991058213,0
짝노패밀리,음식점,4.5,2,0,3점평범4점맛있5점최고,2022-02-24,518.0,3.8,4.0,좋아하는 건어물 안주 집 ,0.7489948868751526,0,0,0.0,0.0,0,0,14,3.8,518.0,0.0176349890776768,0,-1.0,False,,0.08235905799546459,0
봄날은간다,칵테일바,3.9,10,0,.,2025-10-22,55.0,3.4,1.0,박기볼래 기어다님........ 인테리어 난잡함 ,0.2137203961610794,0,0,0.0,0.0,0,0,27,3.4,55.0,0.0202690769996144,0,0.0,False,,0.08516439227406408,0
봄날은간다,칵테일바,3.9,10,0,노르웨이의 숲,2023-08-03,37.0,3.4,2.0,초대형견이 걸어다니니 물리지 않도록 조심하시고 베란다엔 강아지똥이 가득하니 밟지않도록 주의하세요 ,0.5894163250923157,0,0,0.0,0.0,0,0,54,3.4,37.0,0.0,0,0.0,True,0.0,0.08354796595972624,0
봄날은간다,칵테일바,3.9,10,0,남재,2023-06-06,2.0,2.5,4.0,2시좀 넘어서 왔더니 문 닫힌곳....아쉽... ,0.3246790468692779,0,0,0.0,0.0,0,0,27,2.5,2.0,0.0,0,0.0,True,,0.08949404399141607,0
봄날은간다,칵테일바,3.9,10,0,박수하,2023-05-22,15.0,5.0,5.0,내용없음,0.5,0,0,0.0,0.0,0,0,4,5.0,15.0,1.0,0,-1.0,False,,0.09035324522059458,0
봄날은간다,칵테일바,3.9,10,0,퉁그리,2023-04-22,391.0,3.9,4.0,인테리어 좋고 분위기도 좋아요 ,0.5031033158302307,0,0,0.0,0.0,0,0,17,3.9,391.0,0.0197786732371712,0,-1.0,False,,0.08228600131587574,0
봄날은간다,칵테일바,3.9,10,0,3점평범4점맛있5점최고,2022-02-03,518.0,3.8,4.0,분위기 좋은 칵테일바 ,0.5263245701789856,0,0,0.0,0.0,0,0,12,3.8,518.0,0.0176349890776768,0,-1.0,False,,0.08235905799546459,0
봄날은간다,칵테일바,3.9,10,0,정찬희,2021-11-14,3.0,5.0,5.0,내용없음,0.5,0,0,0.0,0.0,0,0,4,5.0,3.0,0.0,0,-1.0,False,,0.11388834130376775,0
봄날은간다,칵테일바,3.9,10,0,왕민,2021-06-06,18.0,3.6,5.0,세상에서 제일맛있는 모히또가 존재하는 바 ,0.5092689394950867,0,0,0.0,0.0,0,0,23,3.6,18.0,0.0,0,-1.0,False,,0.09170318300168538,0
봄날은간다,칵테일바,3.9,10,0,lucky,2020-11-05,44.0,4.1,4.0,분위기 좋은 칵테일바인테리어가 예쁘고칵테일 제조하는 바테이블쪽 가면 주르륵 놓여있는 술병들이 외국 느낌... 더보기,0.7717055082321167,0,1,0.0,0.0769230769230769,0,1,64,4.1,44.0,0.0,0,-1.0,False,,0.08365848955786134,0
봄날은간다,칵테일바,3.9,10,0,ㅋㅎㅎ,2020-04-01,381.0,4.3,5.0,짱큰 개들 있음 ,0.5,0,0,0.0,0.0,0,0,9,4.3,381.0,0.0681318681318681,0,-1.0,False,,0.08397474655133497,0
제철홍어무침꽃게장,"해물,생선",5.0,2,0,비비비,2023-11-03,37.0,4.6,5.0,정말 맛있었어요!! 원래 각 주문에 2인이상인거 같은데 문 열자마자 가서 양념 간장 하나씩 되냐고 하니 안 바쁘니 해주신다고 해주셨네요 ㅠ암꽃... 더보기,0.5187450051307678,2,0,0.0952380952380952,0.0,1,0,86,4.6,37.0,0.0114942528735632,0,-1.0,False,,0.08375917449021023,0
제철홍어무침꽃게장,"해물,생선",5.0,2,0,또다시사랑,2022-04-06,33.0,3.8,5.0,사진? 뭣이 중헌디~~~인천에서 이집... 더보기,0.5915833115577698,0,0,0.0,0.0,0,0,27,3.8,33.0,0.0,0,-1.0,False,,0.084762818198653,0
인하 정일품,한식,5.0,2,0,마타누이,2025-09-12,63.0,4.6,5.0,"가격이 정말 착하고 음식도 맛있는 곳입니다. 제육볶음, 보쌈, 갈비, 김치찌개 등 다양한 한식 메뉴들을 골라 먹을 수 있어서 아주 좋습니다. ",0.5024852752685547,1,2,0.05,0.1,1,1,79,4.6,63.0,0.0616162488298779,0,-1.0,False,,0.0833068638423301,0
인하 정일품,한식,5.0,2,0,의진,2023-09-10,32.0,4.1,5.0,1티어 김볶밥 ,0.5,0,0,0.0,0.0,0,0,8,4.1,32.0,0.25,0,-1.0,False,,0.08303227748374244,0
감탄떡볶이 인하대점,떡볶이,5.0,4,0,기어다니는 치타,2025-03-30,8.0,5.0,5.0,1인세트 좋아요 ,0.5,0,0,0.0,0.0,0,0,9,5.0,8.0,0.0,0,-1.0,False,,0.12377776332063892,0
감탄떡볶이 인하대점,떡볶이,5.0,4,0,hd,2021-10-10,374.0,4.3,5.0,내용없음,0.5,0,0,0.0,0.0,0,0,4,4.3,374.0,0.0,0,-1.0,False,,0.08450668306092948,0
감탄떡볶이 인하대점,떡볶이,5.0,4,0,^^,2020-04-24,1.0,5.0,5.0,최고의 맛집! 떡볶이는 물론이고 튀김 어묵 순대 허브탕수육 어떤 메뉴를 시켜도 JMTGR 사장님도 정말정말 친절하시고 깨끗한 최고의 맛집! 추천합니다!! ,0.5019550919532776,2,1,0.1052631578947368,0.0526315789473684,1,1,86,5.0,1.0,0.0,0,0.0,True,,0.09386764689102359,0
감탄떡볶이 인하대점,떡볶이,5.0,4,0,허니캐럿,2020-01-19,24.0,3.5,5.0,인생맛집 ,0.5,0,0,0.0,0.0,0,0,5,3.5,24.0,0.0,0,-1.0,False,,0.08295824226513662,0
한담마라탕,중식,1.0,1,0,이중희,2025-05-24,14.0,3.3,1.0,여기 양 진짜 적고 콜라도 미지근해요 맛없음 ,0.4274506270885467,0,0,0.0,0.0,0,0,25,3.3,14.0,0.0,0,0.0,False,,0.08735407682756581,0
29포차,실내포장마차,5.0,1,0,김한성,2024-11-10,1.0,5.0,5.0,내용없음,0.5,0,0,0.0,0.0,0,0,4,5.0,1.0,0.0,0,-1.0,False,,0.11129155206070854,0
삼삼오오,한식,4.3,4,0,찍먹이쥬,2024-02-18,23.0,3.6,5.0,어릴 때 자주 가던 집인데 가성비는 개 지리면서도 맛도 괜찮음  ,0.5068691968917847,0,0,0.0,0.0,0,0,36,3.6,23.0,0.0335353535353535,0,-1.0,False,,0.08483066045961367,0
삼삼오오,한식,4.3,4,0,느낌 가는 대로,2023-04-03,71.0,4.8,5.0,치킨불고기는 집에서 닭가슴살로 만든 찜닭 느낌이고 돌솥비빔밥도 무난했어요. 제육볶음이 제일 괜찮은 것 같아요. 떡볶이 되게 신기한 맛인데 은근 중독성 있어요. 가격은 6500~7000원입니다. ,0.5123802423477173,0,1,0.0,0.0454545454545454,0,1,108,4.8,71.0,0.0200483943111257,0,-1.0,False,,0.08529609940210525,0
삼삼오오,한식,4.3,4,0,Leo,2022-11-01,2.0,4.5,4.0,몇시까지 운영하십니까? ,0.3716659545898437,0,0,0.0,0.0,0,0,13,4.5,2.0,0.0,0,-1.0,False,,0.0967851022099816,0
삼삼오오,한식,4.3,4,0,퉁그리,2021-11-19,391.0,3.9,3.0,한끼떼우기에 적절 ,0.5,0,0,0.0,0.0,0,0,10,3.9,391.0,0.0197786732371712,0,0.0,False,,0.08228600131587574,0
영종식당,한식,4.7,3,0,다녀왔어요,2025-02-06,46.0,4.3,5.0,파전 맛있어요또 갈래요 ,0.5062627792358398,0,0,0.0,0.0,0,0,13,4.3,46.0,0.0089285714285714,0,-1.0,False,,0.083315030238577,0
영종식당,한식,4.7,3,0,위라,2023-10-01,7.0,5.0,5.0,가성비 좋은 백반집 ,0.5068232417106628,0,0,0.0,0.0,0,0,11,5.0,7.0,0.0,0,-1.0,False,,0.13202040872951254,0
영종식당,한식,4.7,3,0,허동진,2023-06-22,1.0,4.0,4.0,고등어조림 / 제육 가성비 좋고 전류도 나쁘지 않음 ,0.6181971430778503,0,0,0.0,0.0,0,0,29,4.0,1.0,0.0,0,-1.0,False,,0.09824852697704094,0
불아더숯불바베큐치킨 인천용현점,치킨,1.0,3,0,바람난맨,2025-10-19,3.0,2.0,1.0,쿠팡잇츠 보고 시켰습니다.시중에파는 냉장 훈제 닭 맛과 소스를 버무린 맛 입니다. ,0.5118595361709595,0,0,0.0,0.0,0,0,46,2.0,3.0,0.0,0,0.0,False,,0.0855036564352104,0
