가게이름,카테고리,전체평점,평점건수,리뷰수,리뷰작성자,리뷰작성일,작성자리뷰작성수,작성자평균평점,리뷰평점,리뷰내용,validated_label
정직유부 인하대점,"초밥,롤",4.9,8,21,gastronomie,2023-08-14,98,3.8,4,깔끔하게 한끼 먹기 좋아요. 냉모밀 진짜 차갑네요. 먹고나서 덜덜덜 ,0
썬더치킨 인하대점,치킨,3.9,17,11,잇힝,2024-02-15,23,2.4,3,3~5천원더주고 체인점꺼 드세요돈아까워서 억지로 먹었네요 ,0
일미닭갈비파전 인하대점,닭요리,4.8,16,40,김연성,2020-06-08,3,3.7,5,사장님 친절하시고 음식도 맛있어요! ,0
정인곱창 인하본점,"곱창,막창",3.9,10,59,가성비대학생,2022-04-25,98,3.6,3,맛있게 먹었으나 속이 안좋고 가격이 만육천원은 좀.. ,0
이치라멘&돈가츠,일본식라면,4.1,18,0,친절한 고양이,2023-05-24,16,4.7,5,매운 라멘에 차슈추가 꼭이요 꼭.. 이 가격에 이런 맛은 정말 감동입니다.. ,0
박지혜 모던순대국 소머리국밥 인하직영점,순대,2.5,13,43,안승한,2025-08-07,5,4.0,4,22년엔 박창순이었죠.박지혜 창렬 순댓국이요. 인하대 주변 시세를 생각하면 너무 비쌌어요. 하지만 24시간 영업이다보니 심야할증 붙는다는 생각으로 ... 더보기,0
신흥갈비,갈비,4.5,11,21,ㅋㅎㅎ,2020-04-01,381,4.3,4,예전엔 감동적이었는데 점점 육즙이 덜 하고 고기질이 평범해진 느낌 ,0
족사랑 인하대점,"육류,고기",4.8,6,0,고독한호야,2025-09-25,13,2.6,5,어쩌다 보니 잊고 지내다가 12년 만에 배달시켜 먹어봤어요!ㅎ배민 어플 10년 쓰다가 없애고 4년 가까이 배달 끊었다가~배민... 더보기,0
당나발포차 인하대점,실내포장마차,5.0,49,68,라오니맘83,2025-04-04,53,4.9,5,"지인 추천으로 처음 가봤는데, 기대 이상이었어요. 조도랑 음악이 너무 과하지 않아서 오랜만에 편하게 술 한잔 했네요. 다음엔 다른 안주도 도전해보려구요. ",0
하노이별 인하대점,베트남음식,4.8,22,133,윤수민,2023-05-22,2,5.0,5,"가성비 너무 좋은 식당이에요ㅠㅠ 쌀국수 안에 고기도 엄청 많이 들어가있고 맛도 너무 좋아요! 마라 쌀국수 해장으로도 진짜 추천합니다.. 얼큰하고 시원하고,, ",0
