가게이름,카테고리,전체평점,평점건수,리뷰수,리뷰작성자,리뷰작성일,작성자리뷰작성수,작성자평균평점,리뷰평점,리뷰내용,X3_Sentiment,X1_Organic_Count,X2_Ad_Count,X1_Organic_Ratio,X2_Ad_Ratio,X1_Organic_Flag,X2_Ad_Flag,X4_Specificity,X5_rating_mean,X6_review_num,X7_content_sim,X8_Is_Viral,label,is_StrongLabeled,validated_label,ad_prob,ad_pred,text_len
청담족발,"족발,보쌈",4.0,4,30,서헌,2025-03-28,9,3.0,2,일단 주인분은 친절하시나 홀의 음식은 so terrible 모두기성품을쓰니 맛도질도 ㅠㅠ 전죄송한데 비추천입니디ㅡ ,0.566885233,1,1,0.083333333,0.083333333,1,1,64,3.0,9,0.0,0,0,False,0,0.073509145,0,64
시장을여는사람들 인하대점,술집,2.0,4,0,.,2025-09-18,55,3.4,1,음식은 나쁘지않은데주방에서 뭐 심하게 태웠는지 전 좌석 손님들이 켁켁대는데 주방에서 범인으로 추정되는 사람이 손님들이 괴로워하는거 뻔히 아는데 쳐 쪼개면서 즐기고있는데요?  ,0.687291443,2,1,0.1,0.05,1,1,97,3.4,55,0.020269077,0,0,False,0,0.075189549,0,97
인하중국집,중국요리,4.6,11,0,jae gil,2025-07-21,2,3.0,5,단골인데전화받으시는분이 빨리끊을려고해서말을빨리해서 시켜야함ㅋㅋㅋㅋㅋ ,0.410747468,0,0,0.0,0.0,0,0,38,3.0,2,0.0,0,-1,False,0,0.078770928,0,38
주접집,"호프,요리주점",4.6,5,130,곽주연,2025-01-25,2,5.0,5,사장님 너무 친절하십니다 ! 매번 재방문 하는 중입니다! 매번 감사합니다:) ,0.504876316,1,0,0.1,0.0,1,0,43,5.0,2,0.0,0,-1,False,1,0.089575229,1,43
이모떡즉석떡볶이,떡볶이,4.3,24,201,박주희,2021-03-17,12,4.3,5,ㄹㅇ 하 개존맛탱 옛날에 매운거 하면 엽떧 초보맛보단 맵고 덜덜덜보단 안 매움 ,0.639369905,0,0,0.0,0.0,0,0,44,4.3,12,0.0,0,-1,False,0,0.089114759,1,44
동대문엽기떡볶이 인천인하대점,떡볶이,1.6,7,16,흥,2024-12-22,4,2.0,1,개개개맛없음 살면서 이리 맛없는 엽떡 첨먹어봄좋은 후기들 다.... 믿을 수 없음다른 엽떡 먹어보세요 훨 맛잇어서 눈 휘둥구레질듯 ,0.510270894,0,0,0.0,0.0,0,0,73,2.0,4,0.0,0,0,False,0,0.071742817,0,73
춘리마라탕,중국요리,4.0,6,0,uni,2025-03-28,47,4.3,5,대학가 근처라서 그런가 다른 지점보다 양 많아요 맛은 물론 있음! 꿔바로우 꼭 시키삼 ,0.701905489,0,1,0.0,0.076923077,0,1,48,4.3,47,0.0,0,-1,False,0,0.070018821,0,48
커리야,인도음식,4.3,29,41,고은찬,2023-09-14,45,5.0,5,샴푸 향신료 빼고 달라고 하면 넘 맛있어요 ,0.514250934,0,0,0.0,0.0,0,0,24,5.0,45,0.032510121,0,-1,False,0,0.077894816,0,24
불판위에서춤추는갈매기,"육류,고기",2.2,30,33,따라라란,2023-12-22,8,3.0,1,맛 좋고 가성비 좋지만 사장님이 너무 심하게 불친절하셔서 다시 재방문은 절대 안할 것 같습니다.말 한마디마다 한숨쉬시면서 눈치 주시는게..ㅎ ,0.876290739,2,0,0.111111111,0.0,1,0,79,3.0,8,0.0,1,0,False,0,0.076924625,0,79
육쌈냉면 인하대점,냉면,2.7,21,16,전우진,2024-01-07,12,3.4,1,알바생인지 사장인지 모르겠는데 남자분이 고객응대가 엉망입니다. 가깝지만 않았어도 절대 안가는 곳. ,0.146706119,1,0,0.090909091,0.0,1,0,55,3.4,12,0.0,0,0,False,0,0.070434906,0,55
담벼락,"호프,요리주점",3.4,5,29,희희,2025-02-01,85,3.6,1,"요식업을 운영할때 가장 중요한건 위생이라고 생각하는데 일행 셋이랑 같이 갔다가 다음 날에 나 빼고 다 같이 식중독 걸리고, 한명은 진짜 심해서 응급실까지 갔음 기본도 안 된 곳. 여기 안주 먹을바에 인경호 똥물 퍼마실게요 ",0.478327096,0,0,0.0,0.0,0,0,124,3.6,85,0.008547009,0,0,False,0,0.077985922,0,124
당나발포차 인하대점,실내포장마차,5.0,49,68,프로여행러,2025-04-03,21,4.9,5,수업 끝나고 친구들이랑 갔는데 완전 찐맛집 발견한 기분! 분위기도 활기차고 다 같이 수다 떨기 딱 좋아요?? ,0.506306827,0,0,0.0,0.0,0,0,61,4.9,21,0.0,0,-1,False,0,0.07445544,0,61
우리소참한우정육식당 인하본점,"육류,고기",4.4,30,17,차차나,2025-07-27,6,2.3,1,여자알바가 싸가지가 졸라게 없네요 일하기 싫은 표정 말투에 사람이 들어왔는데 본체도 안하고 물도 안갖다주고 주문도 안받고 그릇도 툭툭 놓고 한숨 푹... 더보기,0.111094728,2,0,0.090909091,0.0,1,0,89,2.3,6,0.025,0,0,False,0,0.070185899,0,89
