도입_URL,가게이름,카테고리,전체평점,방문자리뷰,리뷰작성자,리뷰작성수,리뷰내용,방문시간,validated_label
"https://map.naver.com/p/entry/place/1953650417?c=13.00,0,0,0,dh",두루정 인하대점,한식,미공개,418,05d****,6,파채랑 두루치기랑 너무 잘어울리고 매콤해서 완젼 굿!!! 후식으로 볶음밥까지 먹었어요!!!! 완젼 별⭐️⭐️⭐️⭐️⭐️,3.11.화,0
"https://map.naver.com/p/entry/place/37658191?c=13.00,0,0,0,dh",국제식당 인하대본점,이자카야,4.66,445,19415,531,오므 커리 라이스 넘 맛있게 잘 먹었습니다! 나베도 국물이 쏘주 술~술 넘어가는 맛이에요! 무엇보다 일 하시는 분이 친절하게 해주셔서 더 맛있게 먹을 수 있었어요! 감사합니당 💓,5.29.목,0
"https://map.naver.com/p/entry/place/1710907962?c=13.00,0,0,0,dh",뭉클로 샌드위치 디저트,샌드위치,미공개,140,dlw****,95,"에그치즈2피스 너무 맛있네요~
그리고 사장님도 친절하시고 알바분들도 상냥하네요
다음에 또 이용하도록 하겠습니다~",23.3.13.월,0
"https://map.naver.com/p/entry/place/1255008599?c=13.00,0,0,0,dh",오구피자 주안용남시장점,피자,미공개,40,ssunforest,493,"재료도 신선하고 맛있어서 피자 생각날때마다 이 집에서 주문하고 있어요
사장님 번창하세요 😊",23.12.15.금,1
"https://map.naver.com/p/entry/place/1711877761?c=13.00,0,0,0,dh",코피아,이탈리아음식,미공개,536,뾰로로롱65,1,인하대후문 이탈리아음식 찾다가 간 10년넘은 식당 코피아에서 인하대데이트 했답니다~^^ 토마토치킨 파스타 매콤한맛이예요~ 양도 많아 배불배불♡ 감튀랑 버팔로윙 잘어울리는!! 브런치메뉴로 알차게 즐기기도 좋은것 같아용,23.5.17.수,0
"https://map.naver.com/p/entry/place/1196972257?c=15.00,0,0,0,dh",청년밥상빨라우 인하대점,"찌개,전골",미공개,23,qks****,3,"지나가다 눈콕만 하다가.. 드디어 와봤습니다!!
아직 이른시각이라 여유롭게 주문했는데 엄청 빨리 나왔어요.. 제가..계란후라이를 엄청 좋아하는데.. 아니..이계란들 생협꺼드라고요? 밥보다는 계란을 더 많이 먹었네요ㅎㅎ 2층에 있어서 잘 안보여서 그렇지 일단 와 본 결과.. 앞으로는 종종 올 것 같아요. 가성비 짱입니다. 전 좀 간이 쎈편이라 좀 끓여서 먹었더니 정말 맛있었어요ㅠㅠ
친절하신 이모님들 잘먹었습니다! 다음에 또 올거야....",3.28.금,0
"https://map.naver.com/p/entry/place/1696712049?c=13.00,0,0,0,dh",역전우동0410 인하대점,"우동,소바",미공개,370,놀이사랑여행자,1,"정말 혼밥하기 좋은 곳.
식당 안이 넓지 않아 두 사람 이상은 함께먹을 수 없음.
음식도 나쁘지 않은 가성비 맛집^^
하지만 맵찔이는 매콤한 음식 먹지 말기~
맵찔이인 나는 매콤제육시켰다가 종일 설사했음ㅠ",22.12.19.월,0
"https://map.naver.com/p/entry/place/1963692965?c=15.00,0,0,0,dh",정인곱창 인하본점,"곱창,막창,양",4.77,418,wxyu999,18,"남자친구랑 둘이가서 곱창2인분 대창1인분 돼지막창1인분 총 4인분 배터지게먹었어요 지금방문하면 소3인분 시키면 대창100g 서비스로 주시는것까지,,,,, 남는게 있나요!!!!!! 부추무침이랑 콩나물무침 무절임 콩나물국 나오는것도 넘 맛있어요 !!!‘ㅜㅜ 김치말이국수랑 볶음밥은 말도 안되게 맛있어요,,, 항상가서 먹을때마다 감탄하면서 먹어용,,, 무엇보다 사장님이 친절하셔서 기분좋게 먹다가 옵니다!!!!!!!! 담에 또 갈게용~❤️",2.21.금,0
"https://map.naver.com/p/entry/place/20753378?c=15.00,0,0,0,dh",지지고 인천 인하대점,"도시락,컵밥",4.51,508,여행가가재,479,오랜만에 옛날 생각에 사 먹었는데 여전히 맛있어요. 매운맛 강추!! 불닭볶음면 보다도 안 매워요.,23.1.30.월,1
"https://map.naver.com/p/entry/place/1087559229?c=13.00,0,0,0,dh",스톡홀름 샐러드,"다이어트,샐러드",미공개,359,por****,26,재료가 신선하고 너무너무~~맛있어요^^사장님도 친절하셔서 근처 왔을 때마다 들리게 되네요😁😁,23.4.3.월,1
