도입_URL,가게이름,카테고리,전체평점,방문자리뷰,리뷰작성자,리뷰작성수,리뷰내용,방문시간,validated_label
"https://map.naver.com/p/entry/place/1102006774?c=13.00,0,0,0,dh",샐러리아 인하대점,"다이어트,샐러드",미공개,634,안녕하숩니까,5,너무너무 맛있었습니다! 이런 맛... 저만 알고 싶은데 다들 알고 있는것 같네요 ㅎㅎ 연어가 정말 싱싱하고 재료와의 조합이 좋습니다 2층과 3층이 있어 자리가 많고 쾌적합니다 인테리어도 귀여워요ㅎㅎ 포케 먹을 땐 여기로 자주 올 것 같습니다! 같이 온 언니랑 다시 올게요!! 🥰🥰,24.9.10.화,0
"https://map.naver.com/p/entry/place/1133615983?c=13.00,0,0,0,dh",왕돈까스,돈가스,미공개,445,꾸보놀이터,1,"음료 셀프 무한리필!
냉면 돈까스 합리적가격👍👍👍
진심 오랫동안 애정하는 음식점 중 한곳입니다😭",23.2.1.수,0
"https://map.naver.com/p/entry/place/1939722709?c=13.00,0,0,0,dh",덮수룩,한식,미공개,149,수48,8,"음식이 너무 맛있습니다~
덮밥, 사이드 모두 소스도 맛있고 재료도 맛있습니다~
음식도 빨리 나오고 너무너무 조아요~~
내년에 근처로 이사오는데 단골 예약ㅎㅎ",7.12.토,0
"https://map.naver.com/p/entry/place/1406506965?c=15.00,0,0,0,dh",하노이별 인하대점,베트남음식,미공개,430,아뇨미2,55,"쌀국수 맛있어용❤️
인테리어가 완전 베트남 같아요
베트남 노래도 흘러나오고..
베트남 안가도 되겠으요 ㅋㅋㅋㅋㅋㅋ
잘 먹었습니당🍀👍",1.27.월,0
"https://map.naver.com/p/entry/place/1574688174?c=15.00,0,0,0,dh",솥고기67번길,돼지고기구이,미공개,557,나비소녀11,40,"매번 궁금했던 솥고기 67번길 오늘 처음 와봤는데 진짜 대박이에요 매장 너무 깔끔하고 쾌적한데 고기도 짱 신선하고 모듬구이 시켜서 하나하나 구워먹는데 입에서 녹아요… 가격이 저렴해서 사실 큰 기대를 안 했는데 어떻게 이 가격에 파시는 거지 더 받으셔야하는 거 아닌가 싶어요 이런 생각 들 정도로 너무 맛있어요 진짜!! 인후 고깃집 여기 1등 주고 싶습니다 사장님 너무 최고예요🥺👍
(리뷰 쓴 내용에 비해 사진이 이상한 건 제가 급하게 먹느라 못 찍어서 그래요 그치만 진짜 짱맛탱)",10.1.수,0
"https://map.naver.com/p/entry/place/1574688174?c=15.00,0,0,0,dh",솥고기67번길,돼지고기구이,미공개,557,뾰로로롱65,1,"커다란 빔 화면도 볼수있어 경기 잇을때 보면어 식사하거나 술마시가 좋을 밥집,술집!!^^ 고기 가성비 최고네",23.7.19.수,0
"https://map.naver.com/p/entry/place/1470889138?c=13.00,0,0,0,dh",화양연화,요리주점,미공개,636,나는와이프잘얻었다,60,마라전골 꿔바로우 세트 강추합니다! 적절한 마라맛 맵지 않고 꿔바로우도 아삭한 튀김에 소스가 맛있어요👍,24.12.21.토,0
"https://map.naver.com/p/entry/place/1470889138?c=13.00,0,0,0,dh",화양연화,요리주점,미공개,636,S2명공S2,21,"인하대 후문 술집은 여기만 갈 것 같아요! 안주 구성도 너무 잘 되어 있고 매장도 넓고 쾌적해요 ㅎㅎ 화장실도 안에 있어서 편하구요!! 술집이 갖춰야할 장점을 다 가진 곳입니다❤️ 제로토닉 홍차도 있으니까 완벽해요,, 소주에 타먹기 너무 좋잖아요🥰 마라전골 간도 적당하고 새우 크기도 커서 정말 만족스러웠어요!! 인하대 후문 앞에 감성 술집은 많이 없는데 여기는 조명이랑 인테리어도 예쁘고 사진도 잘 나옵니다👍🏻👍🏻 그 피부 좋아보이고 예뻐보이는 적당히 어두운 조명 아시죠 딱 그거예요! 썸타는 분들 커플 분들 강력 추천드립니다❤️ 친구끼리 가시면 남찍사 셀카 거울샷 다 찍고 오세요 ㅎㅎ 맛있는
것도 먹고 갬성사진도 찍고 🐶이득 입니다❤️‍🔥 위치도 후문 가운데니까 꼭 들려보세요 오랜만에 대화하기 좋은 술집 찾았네요💖💖",24.7.6.토,0
"https://map.naver.com/p/entry/place/1294587914?c=13.00,0,0,0,dh",레오펍 인하대점,피자,4.68,564,나무9515,25,"출출할 때마다 종종와서 먹는데 항상 맛있고 양도 푸짐해요
늦게 까지 영업해서 좋아요!
오늘도 잘 먹고갑니다!",3.17.월,0
"https://map.naver.com/p/entry/place/1963692965?c=15.00,0,0,0,dh",정인곱창 인하본점,"곱창,막창,양",4.77,418,너구리2793,1,"맛은 있는데...! 맵찔이인 저에게는 기본 맛도 너어어어ㅓㅓ무 맵네료ㅜㅜㅜㅜ 그리고 대창 양이 너무 적어요,,,ㅜㅜ",21.2.2.화,0
"https://map.naver.com/p/entry/place/1119906656?c=13.00,0,0,0,dh",153횟집,생선회,미공개,20,Y루밍,22,"평소 먹던 초밥집이 횟집으로 가게 이전하게 되어 믿고 방문했어요!! 역시🫶🏻 정말 맛있고 신선해요!!
매운탕도 살도 많고 알하고 곤이도 들어있고!!
무조건 또 올거에요!! 포장하면 양을 더 넣어주셔서 다음엔 포장할까봐요💛💛
대박나세요☺️",4.2.수,0
"https://map.naver.com/p/entry/place/1474506390?c=13.00,0,0,0,dh",족보있는집 미추홀점,"족발,보쌈",4.68,51,킬키스요,763,집근처 맛집이라는 족발집이 휴무여서 시장근처로 처음 갔는데 시장이라는 편견을 깨고 매장도 깔끔하고 음식도 맛있네요 가성비 갑에 족발보쌈 칭찬합니다. 사장님도 친절하시고~~대박나십시요,21.8.11.수,0
"https://map.naver.com/p/entry/place/1623784940?c=13.00,0,0,0,dh",또취,요리주점,미공개,453,밍구닷39,15,매장분위기랑 노래랑 너무좋아요 ㅠㅠ 평수도 넓어서 단체로 오기 좋고 안주가 하나하나 퀄리 좋고 가성비가 너무 좋아요!! 인하대 학생이면 또취로!! ,23.5.11.목,0
"https://map.naver.com/p/entry/place/1678525038?c=13.00,0,0,0,dh",삼청당 인하대점,분식,미공개,620,Diya13,28,오이 먹냐고 친절하게 물어봐주시고 가게 안 음식 향기가 너무 좋아요!! 인테리어도 깔끔하고 너무 예뻐요,23.3.28.화,0
"https://map.naver.com/p/entry/place/37762180?c=15.00,0,0,0,dh",미로곱창볶음집 인하대점,"곱창,막창,양",4.48,556,sally3367,32,"곱창 간만에 땡겨서 갔는데 역시나 너무나 만족🥹
소금구이 막창은 망할 수가 없는 고소한 맛이니 무조건 드세용! 양념 막창도 생각보다 간이 막 쎄지 않아서 좋아요❣️ 넘 맛있게 잘 먹었어요. 인하대맛집 미로곱창 인정쓰👍 ++++ 치즈볶음밥이 김치볶음밥 느낌에 존마탱이니 꼭 드세요",4.3.목,0
"https://map.naver.com/p/entry/place/1090243948?c=13.00,0,0,0,dh",와이키키피자,피자,미공개,326,구구볼,6,갈릭포테이토 피자에 고구마 크러스트 추가해서 먹었는데 너무 맛있었어요!! 여기 메뉴 다 맛있을 것 같은데 다음에 또 올게요! 그리고 스파게티도 너무 맛있었어요:),24.11.28.목,0
"https://map.naver.com/p/entry/place/1042128520?c=13.00,0,0,0,dh",오이아샌드위치 인하대,샌드위치,미공개,179,최고심,616,햄에그 샌드위치 먹으려고 개강만 개같이 기다렸어요🥹 언제 먹어도 존맛 .... 감동인맛 🩵 사장님께서 서비스로 과자까지 챙겨주시구 .. 너무 감사합니다 잘 먹겠습니다 ~~,3.5.수,0
"https://map.naver.com/p/entry/place/1673075723?c=13.00,0,0,0,dh",헤드라이너,바(BAR),미공개,285,11637,4,"사장님이 친절하시고, 칵테일 너무 맛있습니다!! 음악도 너무 좋아요!!!
꼭 오세요!!
진짜 개추 b b",10.22.수,0
"https://map.naver.com/p/entry/place/1032865736?c=13.00,0,0,0,dh",국민정서 인하대후문점,요리주점,미공개,409,찐빵34,51,저번에 왔을때 안주도 맛있고 직원분들이 너무 친절했던 기억에 왔는데 역시나 안주 맛있고 가게 분위기 좋고 직원분들 너무나 천사같으세요 ㅎㅎ!! 심지어 생일이어서 하이볼도 서비스로 주셨어요 앞으로도 자주 올 거 같아요 :),2.23.일,0
"https://map.naver.com/p/entry/place/1042128520?c=13.00,0,0,0,dh",오이아샌드위치 인하대,샌드위치,미공개,179,김유나828,9,"매장이 생긴 초반부터 갔었는데 이제야 리뷰 남깁니다! 재료도 신선하고 내용물도 많아서 저녁으로 먹어도 배부릅니다ㅎㅎ
오이아 메뉴 중에서도 특히 에그베이컨을 좋아하는데 들어가있는 에그가 진짜 맛있습니다!!!
에그마요도 맛있는 비율을 찾으셨다고 하니 다음번엔 그걸 먹어봐야겠습니다🤭",24.1.4.목,0
"https://map.naver.com/p/entry/place/1403450091?c=18.31,0,0,0,dh",하이볼마또,퓨전음식,미공개,587,reefrressh,58,사진 찍었어야했는데 너므맛있어서 다먹어버렴ㅅ네요 취했어요 너무 맛있어요 서비스가 너무조아요,24.9.21.토,0
"https://map.naver.com/p/entry/place/33093374?c=13.00,0,0,0,dh",바리바리,한정식,미공개,51,Attempt7,3,"먹느라 급해서 사진은 못 찍었습니다.
밥,반찬,국,제육볶음까지 하나도 빠짐없이 정말 맛있게 먹었습니다.
인하대 최고 밥집!",10.31.금,0
"https://map.naver.com/p/entry/place/1963692965?c=15.00,0,0,0,dh",정인곱창 인하본점,"곱창,막창,양",4.77,418,지연둥이15,58,"양도 많고 채소들도 너무 신선했어요!!
사장님께서도 너무 친절히 맞이해 주시고
저희가 잘 못 구우니 직접 구워주시기 까지 하셨어요
마무리 볶음밥까지 먹으니 너무 완벽한 마무리 였습니당 너무 좋았어용👍🏻",24.2.14.수,0
