도입_URL,가게이름,카테고리,전체평점,방문자리뷰,리뷰작성자,리뷰작성수,리뷰내용,방문시간,validated_label
"https://map.naver.com/p/entry/place/1748522357?c=13.00,0,0,0,dh",큐슈울트라아멘 인하대점,일본식라면,미공개,279,댓알럽,17,정말 맛있게 먹었어요! 직원분도 친절하고 자주 방문해야겠어요 🥰🥰 인하대 후문 최고 맛집이에요,24.3.11.월,0
"https://map.naver.com/p/entry/place/2009691902?c=15.00,0,0,0,dh",디탕 인하대점,베트남음식,미공개,376,됴7614,64,"양지쌀국수와 팟타이를 먹었는데, 둘 다 맛이 정말 좋았습니다.
가게 분위기도 깔끔하고 편안해서 식사하기 좋았고, 직원분들도 친절했어요. 베트남/태국 음식 좋아하시는 분들께 추천합니다!",10.2.목,0
"https://map.naver.com/p/entry/place/37658191?c=13.00,0,0,0,dh",국제식당 인하대본점,이자카야,4.66,445,유월멍,8,"인하대 후문에서 가장 좋아하는 술집입니다!
주기적으로 메뉴판이 바뀌어 올 때마다 새로운 가게에 온 듯한 느낌을 받는데요
새로 생긴 메뉴들과 기존의 메뉴들 모두 최고의 맛이 납니다
굉장한 튀김 고수셔서 치킨난반, 가라게, 광어튀김, 유린기 등등 맛있게 먹었던 튀김들을 나열하면 끝도 없어질 듯 하네요
다만! 광어튀김이 사라진건 너무너무너무 아쉽습니다ㅠㅠ
자주 찾아뵐테니 부디.. 부디 소량판매만 해주셔도 되니 부디.. 부디 광어튀김 다시 판매해주시면 정말 감사하겠습니다
오늘도 국제식당 덕에 좋은 추억이 하나 생겼습니다
정말 감사합니다
다음에 또 찾아뵙겠습니다!",3.6.목,1
"https://map.naver.com/p/entry/place/2009691902?c=15.00,0,0,0,dh",디탕 인하대점,베트남음식,미공개,376,sdms02,88,서비스로 주는 코코넛쉬림프도 서비스같지않게 너무 맛있고 꿰이 무한리필에 본메뉴인 쌀국수랑 분짜도 너무 맛있어요 사장님도 친절해서 기분좋은 식사였어여,7.23.수,0
"https://map.naver.com/p/entry/place/1878533608?c=13.00,0,0,0,dh",빙그레정육식당 인하대본점,"육류,고기요리",미공개,651,Ellen6529,35,정육식당이라 신선하고 다른 곳 보다 값이 싸서 좋았어요! 대학가라 그런지 싸서 대학생들이 부담없이 먹을 수 있는 것 같아요🌸,1.11.토,0
"https://map.naver.com/p/entry/place/38548187?c=15.00,0,0,0,dh",영지숯불갈비 본점,돼지고기구이,미공개,435,룰루꾸꾸,1,"숯불갈비 덕후인 신랑이 후기보고 너무 가보고싶어해서 찾아찾아 방문했어요~!
가게규모가 큰건 아니었지만 왠지모를 맛집느낌이 솔솔~~^^
뼈있는 돼지갈비는 아니고 양념구이라고 생각하면 될 듯 합니다. 고기에 양념이 적당히 잘 베어있어서 숯불에 구워내니 너무 맛있었어요! 1인분에 400g이라서 왠만한 대식가도 1인당 1인분 먹으면 충분할 듯 합니다 저희가 그랬거든요ㅋㅋ
게다가 오후3시이전에 방문하여 고기 주문하면 미니물냉면이 서비스로 나옵니다 그것도 고기 주문한 만큼이요^^ 요 이벤트때문인지 평일 낮시간인 것 치고는 손님이 꽤 있었어요.
고기에 냉면까지 알차게 먹고 배를 두들기며 나왔네요~
사장님도 친절하시고 분위기도 식사하기에 너무 편안했어요^^
저희는 또 방문할겁니다ㅎㅎㅎ",24.2.23.금,1
"https://map.naver.com/p/entry/place/1880447979?c=13.00,0,0,0,dh",세구네술집,요리주점,미공개,54,에도리도리,43,"내돈내먹입니당,,😆일단 빔프로젝트에 노래나오는거 분위기부터 넘 좋아서 안주 나오기전에 술한병마셨어용ㅎㅎㅎ 근데 안주 퀄리티도 미쳤어요,,, 너무 맛있고 양도 많아요ㅠㅠ 아무리 인하대 후문 술집이라해도 이가격에 이 맛이라뇨❤️ 사장님께서 재료 아끼지 않으시는게 넘 느껴져요💖 콘치즈탕도 먹었는데 말모말모,,너무맛있어요>_<! 치즈이불 100장 덮고있는 옥수수콘 먹는 귀한 경험했어욤ㅎㅎㅎ그리구 바쁘신데도 사장님 엄청 친절하세요ㅠㅠ 단골 예약입니당❤️ 사장님 오래오래 장사해주세용",23.4.26.수,0
"https://map.naver.com/p/entry/place/38362158?c=15.00,0,0,0,dh",머루와다래,종합분식,미공개,20,화성인 식탐여교사의 먹스테이,1,"20년 이상 단골인 곳이어요
인하대 맛집 최고 가성비 갑입니다
순대떡볶이는 가장 특이하면서 인기메뉴여요
조청빨간 떡볶이가 또 먹고싶네요
수제 고구마 튀김도 엄청 맛있고요
자세한 먹방 영상은 유튜브-화성인 식탐여교사",23.2.3.금,1
"https://map.naver.com/p/entry/place/1957094833?c=15.00,0,0,0,dh",포케품은초밥 인하대점,"초밥,롤",미공개,416,맛빰a,50,"포케품은초밥 인하대점 재방문했습니다.
항상 포케와 후토마끼 주문합니다.
오늘도 맛있게 잘먹었습니다.
다음에도 잘 부탁드립니다 ^^",7.12.토,0
"https://map.naver.com/p/entry/place/1543018546?c=15.00,0,0,0,dh",산츠키,이자카야,미공개,61,ANGELA4,2,"가격도 너무 착하고
무엇보다 맛있어요!
가게 인테리어도 예뻐서 또 오고 싶어요.
안주들이 사케랑 하이볼이랑 너무 잘 어울려요",23.11.5.일,0
